method,metric,mean_raw,mean_corrected,median_delta,median_ci_low,median_ci_high,point_improved_n,ci_improved_n,ci_worsened_n,ci_overlaps_zero_n,fdr_significant_n,n_combinations
QDM_NP_annual,mRMSE,116.20256271663513,124.73692507778892,8.749120410995829,3.3250112399193297,17.163592232587696,22,19,32,9,51,60
QDM_NP_annual,mKGE,0.22917119312902437,0.2031891740732357,-0.04809623321798007,-0.1264917304254576,0.05697011939854327,25,14,20,26,29,60
QDM_NP_monthly,mRMSE,116.20256271663513,109.45304184513024,-5.574497919454991,-24.675757780809512,10.126081768830854,38,24,5,31,27,60
QDM_NP_monthly,mKGE,0.22917119312902437,0.329334179181517,0.07138705234736675,-0.07798965767214963,0.26447113787463616,41,20,0,40,17,60
QDM_P_annual,mRMSE,116.20256271663513,123.71607616135174,0.7335619948978902,-3.003703647203166,4.6681367257701325,29,23,27,10,50,60
QDM_P_annual,mKGE,0.22917119312902437,0.1521297194515009,-0.00640083614717768,-0.11832633777069845,0.056219210828231864,27,16,19,25,33,60
QDM_P_monthly,mRMSE,116.20256271663513,105.05990899373586,-11.07071098671232,-26.991879505977437,2.5435892432971854,44,27,1,32,27,60
QDM_P_monthly,mKGE,0.22917119312902437,0.3368473937369487,0.09490632483138145,-0.04136539499874047,0.26080573932593537,45,21,0,39,18,60
