model,station,method,metric,raw,corrected,delta_corrected_minus_raw,ci_low,ci_high,p_two_sided,n_bootstrap,p_fdr,point_improved,ci_improved,ci_worsened,fdr_significant
ACCESS-ESM1-5,500001,QDM_NP_annual,mRMSE,115.3991551550788,156.8108867278323,41.411731572753496,24.365194494626977,59.15793462534022,0.0009995002498750624,2000,0.001275957765797952,False,False,True,True
ACCESS-ESM1-5,500001,QDM_NP_annual,mKGE,0.25383738456892935,-0.035732020594844593,-0.28956940516377394,-0.6236369278024118,0.01147728445515468,0.06196901549225387,2000,0.10049029539284411,False,False,False,False
ACCESS-ESM1-5,500001,QDM_NP_monthly,mRMSE,115.3991551550788,125.57717476144093,10.178019606362128,-0.5887442591836283,19.662444386906227,0.06696651674162919,2000,0.12961261304831456,False,False,False,False
ACCESS-ESM1-5,500001,QDM_NP_monthly,mKGE,0.25383738456892935,0.2387951856136652,-0.015042198955264152,-0.1895582830810013,0.15195031580830776,0.8845577211394303,2000,0.9311133906730845,False,False,False,False
ACCESS-ESM1-5,500001,QDM_P_annual,mRMSE,115.3991551550788,196.0125316184408,80.61337646336199,46.40477666081392,112.53020180090215,0.0009995002498750624,2000,0.0015376926921154808,False,False,True,True
ACCESS-ESM1-5,500001,QDM_P_annual,mKGE,0.25383738456892935,-0.4420287660523041,-0.6958661506212335,-1.2634165070986232,-0.1417878369272411,0.004997501249375313,2000,0.010708931248661385,False,False,True,True
ACCESS-ESM1-5,500001,QDM_P_monthly,mRMSE,115.3991551550788,124.19046702176192,8.791311866683117,-0.8793179732395511,17.402315272791377,0.08895552223888056,2000,0.16679160419790107,False,False,False,False
ACCESS-ESM1-5,500001,QDM_P_monthly,mKGE,0.25383738456892935,0.25072116157809543,-0.0031162229908339167,-0.16023459628316916,0.1499329510698952,0.9685157421289355,2000,0.9685157421289355,False,False,False,False
ACCESS-ESM1-5,500002,QDM_NP_annual,mRMSE,141.84681336270745,180.78873731164254,38.941923948935084,22.338895041095515,55.74098855619542,0.0009995002498750624,2000,0.001275957765797952,False,False,True,True
ACCESS-ESM1-5,500002,QDM_NP_annual,mKGE,0.2642870923726286,-0.05705758684068263,-0.3213446792133112,-0.5454521701625427,-0.15020998961600227,0.0009995002498750624,2000,0.00399800099950025,False,False,True,True
ACCESS-ESM1-5,500002,QDM_NP_monthly,mRMSE,141.84681336270745,140.8676467529936,-0.9791666097138432,-11.441269691907904,10.315065654288066,0.912543728135932,2000,0.9235382308845578,True,False,False,False
ACCESS-ESM1-5,500002,QDM_NP_monthly,mKGE,0.2642870923726286,0.2767981611222733,0.012511068749644694,-0.07716556243172817,0.09172789950080866,0.8455772113943029,2000,0.905975583636753,True,False,False,False
