model,station,group,period,usable,note,wet_threshold_model_mm,obs_wet_freq_cal,mod_wet_freq_cal_raw,mod_wet_freq_cal_adapted,n_obs_wet_cal,n_mod_wet_cal,n_wet_target,n_delta_clipped_high,n_delta_clipped_low,n_output_capped,output_cap_mm,max_output_mm,obs_cal_max_mm,output_exceeds_obs_cal_max
CESM2,500301,all,calibration,True,,2.5815,0.251,0.4452,0.251,1832,1832,1832,0,0,0,,188.0,188.0,False
CESM2,500301,all,validation,True,,2.5815,0.251,0.4452,0.251,1832,1832,1319,0,0,0,,239.94,188.0,True
CanESM5,500001,all,calibration,True,,4.1762,0.2225,0.3612,0.2225,1624,1624,1624,0,0,0,,130.0,130.0,False
CanESM5,500001,all,validation,True,,4.1762,0.2225,0.3612,0.2225,1624,1624,822,0,0,0,,118.75,130.0,False
CanESM5,500002,all,calibration,True,,6.2118,0.2216,0.5923,0.2216,1618,1618,1618,0,0,0,,147.0,147.0,False
CanESM5,500002,all,validation,True,,6.2118,0.2216,0.5923,0.2216,1618,1618,908,0,0,0,,169.92,147.0,True
CanESM5,500003,all,calibration,True,,3.3957,0.2438,0.3612,0.2438,1780,1780,1780,0,0,0,,181.3,181.3,False
CanESM5,500003,all,validation,True,,3.3957,0.2438,0.3612,0.2438,1780,1780,919,0,0,0,,176.89,181.3,False
CanESM5,500004,all,calibration,True,,6.24,0.221,0.5923,0.2211,1613,1614,1614,0,0,0,,107.2,107.2,False
CanESM5,500004,all,validation,True,,6.24,0.221,0.5923,0.2211,1613,1614,905,0,0,0,,124.88,107.2,True
CanESM5,500005,all,calibration,True,,1.0686,0.5716,0.5923,0.5716,4173,4173,4173,0,0,0,,48.3,48.3,False
CanESM5,500005,all,validation,True,,1.0686,0.5716,0.5923,0.5716,4173,4173,2623,0,0,0,,55.86,48.3,True
CanESM5,500006,all,calibration,True,,1.041,0.5807,0.5923,0.5811,4239,4242,4242,0,0,0,,46.1,46.1,False
CanESM5,500006,all,validation,True,,1.041,0.5807,0.5923,0.5811,4239,4242,2651,0,0,0,,52.79,46.1,True
CanESM5,500007,all,calibration,True,,1.2415,0.5305,0.5923,0.5305,3873,3873,3873,0,0,0,,146.5,146.5,False
CanESM5,500007,all,validation,True,,1.2415,0.5305,0.5923,0.5305,3873,3873,2348,0,0,0,,160.37,146.5,True
CanESM5,500008,all,calibration,True,,0.8936,0.6238,0.5923,0.6238,4554,4554,4554,0,0,0,,68.0,68.0,False
CanESM5,500008,all,validation,True,,0.8936,0.6238,0.5923,0.6238,4554,4554,2944,0,0,0,,72.71,68.0,True
CanESM5,500009,all,calibration,True,,0.344,0.5934,0.3612,0.5936,4332,4333,4333,0,0,0,,48.8,48.8,False
CanESM5,500009,all,validation,True,,0.344,0.5934,0.3612,0.5936,4332,4333,2634,0,0,0,,53.28,48.8,True
CanESM5,500201,all,calibration,True,,5.6541,0.2353,0.5923,0.2353,1718,1718,1718,0,0,0,,296.9,296.9,False
CanESM5,500201,all,validation,True,,5.6541,0.2353,0.5923,0.2353,1718,1718,967,0,0,0,,322.44,296.9,True
CanESM5,500202,all,calibration,True,,4.4993,0.2134,0.3612,0.2134,1558,1558,1558,0,0,0,,298.5,298.5,False
CanESM5,500202,all,validation,True,,4.4993,0.2134,0.3612,0.2134,1558,1558,781,0,0,0,,274.69,298.5,False
CanESM5,500301,all,calibration,True,,5.1095,0.251,0.5923,0.251,1832,1832,1832,0,0,0,,188.0,188.0,False
CanESM5,500301,all,validation,True,,5.1095,0.251,0.5923,0.251,1832,1832,1030,0,0,0,,217.33,188.0,True
EC-Earth3,500001,all,calibration,True,,2.1373,0.2225,0.4142,0.2225,1625,1625,1625,0,0,0,,130.0,130.0,False
EC-Earth3,500001,all,validation,True,,2.1373,0.2225,0.4142,0.2225,1625,1625,1172,0,0,0,,97.38,130.0,False
EC-Earth3,500002,all,calibration,True,,7.4946,0.2215,0.5362,0.2215,1618,1618,1618,0,0,0,,147.0,147.0,False
EC-Earth3,500002,all,validation,True,,7.4946,0.2215,0.5362,0.2215,1618,1618,1173,0,0,0,,165.67,147.0,True
EC-Earth3,500003,all,calibration,True,,1.9361,0.2438,0.4142,0.2438,1781,1781,1781,0,0,0,,181.3,181.3,False
EC-Earth3,500003,all,validation,True,,1.9361,0.2438,0.4142,0.2438,1781,1781,1278,0,0,0,,149.38,181.3,False
EC-Earth3,500004,all,calibration,True,,4.1086,0.2208,0.4735,0.2208,1613,1613,1613,0,0,0,,107.2,107.2,False
EC-Earth3,500004,all,validation,True,,4.1086,0.2208,0.4735,0.2208,1613,1613,1125,0,0,0,,112.16,107.2,True
EC-Earth3,500005,all,calibration,True,,0.669,0.5714,0.4735,0.5717,4174,4176,4176,0,0,0,,48.3,48.3,False
EC-Earth3,500005,all,validation,True,,0.669,0.5714,0.4735,0.5717,4174,4176,2990,0,0,0,,49.65,48.3,True
EC-Earth3,500006,all,calibration,True,,0.6422,0.5804,0.4735,0.5804,4240,4240,4240,0,0,0,,46.1,46.1,False
EC-Earth3,500006,all,validation,True,,0.6422,0.5804,0.4735,0.5804,4240,4240,3038,0,0,0,,47.65,46.1,True
EC-Earth3,500007,all,calibration,True,,0.7871,0.5303,0.4735,0.5303,3874,3874,3874,0,0,0,,146.5,146.5,False
EC-Earth3,500007,all,validation,True,,0.7871,0.5303,0.4735,0.5303,3874,3874,2796,0,0,0,,144.34,146.5,False
EC-Earth3,500008,all,calibration,True,,0.4549,0.6235,0.4142,0.6237,4555,4556,4556,0,0,0,,68.0,68.0,False
EC-Earth3,500008,all,validation,True,,0.4549,0.6235,0.4142,0.6237,4555,4556,3271,0,0,0,,46.9,68.0,False
EC-Earth3,500009,all,calibration,True,,0.5088,0.5932,0.4142,0.5936,4333,4336,4336,0,0,0,,48.8,48.8,False
EC-Earth3,500009,all,validation,True,,0.5088,0.5932,0.4142,0.5936,4333,4336,3127,0,0,0,,44.56,48.8,False
EC-Earth3,500201,all,calibration,True,,3.63,0.2353,0.4735,0.2353,1719,1719,1719,0,0,0,,296.9,296.9,False
EC-Earth3,500201,all,validation,True,,3.63,0.2353,0.4735,0.2353,1719,1719,1192,0,0,0,,291.75,296.9,False
EC-Earth3,500202,all,calibration,True,,2.2474,0.2134,0.4142,0.2134,1559,1559,1559,0,0,0,,298.5,298.5,False
EC-Earth3,500202,all,validation,True,,2.2474,0.2134,0.4142,0.2134,1559,1559,1111,0,0,0,,208.16,298.5,False
EC-Earth3,500301,all,calibration,True,,1.865,0.2508,0.4142,0.2508,1832,1832,1832,0,0,0,,188.0,188.0,False
EC-Earth3,500301,all,validation,True,,1.865,0.2508,0.4142,0.2508,1832,1832,1327,0,0,0,,158.44,188.0,False
MIROC6,500001,all,calibration,True,,4.3247,0.2225,0.5711,0.2225,1625,1625,1625,0,0,0,,130.0,130.0,False
MIROC6,500001,all,validation,True,,4.3247,0.2225,0.5711,0.2225,1625,1625,1141,0,0,0,,108.59,130.0,False
MIROC6,500002,all,calibration,True,,7.9667,0.2215,0.7773,0.2215,1618,1618,1618,0,0,0,,147.0,147.0,False
MIROC6,500002,all,validation,True,,7.9667,0.2215,0.7773,0.2215,1618,1618,1117,0,0,0,,127.29,147.0,False
MIROC6,500003,all,calibration,True,,3.7472,0.2438,0.5711,0.2438,1781,1781,1781,0,0,0,,181.3,181.3,False
MIROC6,500003,all,validation,True,,3.7472,0.2438,0.5711,0.2438,1781,1781,1269,0,0,0,,152.89,181.3,False
MIROC6,500004,all,calibration,True,,4.3821,0.2208,0.5711,0.2208,1613,1613,1613,0,0,0,,107.2,107.2,False
MIROC6,500004,all,validation,True,,4.3821,0.2208,0.5711,0.2208,1613,1613,1134,0,0,0,,117.29,107.2,True
MIROC6,500005,all,calibration,True,,0.999,0.5714,0.5711,0.5715,4174,4175,4175,0,0,0,,48.3,48.3,False
MIROC6,500005,all,validation,True,,0.999,0.5714,0.5711,0.5715,4174,4175,2978,0,0,0,,51.06,48.3,True
MIROC6,500006,all,calibration,True,,0.9616,0.5804,0.5711,0.5804,4240,4240,4240,0,0,0,,46.1,46.1,False
MIROC6,500006,all,validation,True,,0.9616,0.5804,0.5711,0.5804,4240,4240,3024,0,0,0,,45.98,46.1,False
MIROC6,500007,all,calibration,True,,1.1675,0.5303,0.5711,0.5303,3874,3874,3874,0,0,0,,146.5,146.5,False
MIROC6,500007,all,validation,True,,1.1675,0.5303,0.5711,0.5303,3874,3874,2762,0,0,0,,112.99,146.5,False
