variant,model,station,dataset,period,n_days,mean_mm_day,obs_mean_mm_day,MBE,PBIAS,wet_freq,obs_wet_freq,wetfreq_bias,SDII,obs_SDII,SDII_relbias_pct,PSS,KS_D,q50_relbias_pct,q90_relbias_pct,q95_relbias_pct,q99_relbias_pct,Rx1day,obs_Rx1day,Rx5day,obs_Rx5day,R95pTOT,obs_R95pTOT,n_days_above_obs_hist_max,Rx1day_relbias_pct,mRMSE,mMAE,mMBE,mPBIAS,mr,mNSE,mKGE,md,mRSR,msd_obs,msd_sim,msd_ratio,mmean_obs,mmean_sim,mn,clim_r,monthly_anom_r,annual_r,annual_sd_ratio
primary,ACCESS-ESM1-5,500001,raw,calibration,7305,2.4402930869267627,2.6243805612594118,-0.18408747433264905,-7.014511426052766,0.528952772073922,0.22245037645448323,0.30650239561943876,4.166424689440994,11.708676923076922,-64.41592233850706,0.557812071985985,0.4414233158146202,-69.44262295081967,-68.31299999999997,-62.855061728395064,-47.580450957005745,54.53145000000001,69.895,115.73070000000003,122.56999999999998,83.2829,231.54000000000002,0,-21.980899921310524,86.90347499839022,62.27446249999999,-5.603162499999999,-7.014511426052754,0.3780992455828719,-0.11836480905233682,0.36362898513987896,0.6095521434652582,1.0553222046755606,82.34781246274174,72.85557645716517,0.8847299555179886,79.87958333333334,74.27642083333333,240,0.7566436741627661,-0.04517658903006735,-0.29704043819797754,1.0072467433269225
primary,ACCESS-ESM1-5,500001,raw,validation,5113,3.0037220809700766,2.7915509485624876,0.212171132407589,7.60047501611413,0.5748093096029728,0.22198318012908272,0.35282612947389014,4.847815243280027,12.49568281938326,-61.204078933884965,0.53320872423567,0.46052704552029294,-70.77941176470588,-60.94542877391919,-57.15756853396895,-48.13297818107675,61.11464285714286,83.44285714285714,170.348,159.77857142857147,141.21242857142857,265.57142857142856,0,-26.75868858072247,115.3991551550788,75.09287499999999,6.457327380952379,7.600475016114113,0.26342814399356734,-0.6220339502407997,0.25383738456892935,0.5190863220793636,1.269794859908982,90.8801561563657,99.23116113034818,1.091890301768562,84.95952380952382,91.41685119047618,168,0.5766084987266508,-0.0010960773338944815,0.03817230317068218,1.2769126322862656
primary,ACCESS-ESM1-5,500001,QDM,calibration,7305,2.6049144421629022,2.6243805612594118,-0.019466119096509527,-0.7417414754500301,0.22245037645448323,0.22245037645448323,0.0,11.710092307692308,11.708676923076922,0.012088339482634079,0.9981538461538462,0.0006153846153846154,0.0,0.0,0.0,0.0,71.30499999999999,69.895,168.82,122.56999999999998,231.58999999999997,231.54000000000002,0,2.017311681808422,115.2622744729023,73.14583333333333,-0.5924999999999978,-0.7417414754500236,0.373306967091138,-0.9673588247622336,0.24259033751980486,0.5831112005212307,1.3997005023667473,82.34781246274174,117.36938168512194,1.4252883977728699,79.87958333333334,79.28708333333334,240,0.7415385925060142,-0.05059441781779735,-0.30771128306483797,1.6143397181159027
primary,ACCESS-ESM1-5,500001,QDM,validation,5113,3.4710571630433464,2.7915509485624876,0.6795062144808588,24.341530102854527,0.261294738900841,0.22198318012908272,0.039311558771758265,13.275838211783952,12.49568281938326,6.243399449852535,0.8282841805376032,0.059410034556437785,-5.960085682673902,26.44155512407205,11.327863905036141,13.621442712792634,82.67057540246971,83.44285714285714,241.00832644194224,159.77857142857147,430.8502942566861,265.57142857142856,1,-0.9255216885314145,156.81987732511604,95.09889891492541,20.680448063337103,24.34153010285453,0.2904233130917152,-1.9954143150559336,-0.035903646906672027,0.48979470595983055,1.725567868251639,90.8801561563657,155.80359903361528,1.7143852478152022,84.95952380952382,105.63997187286093,168,0.6022048241655847,0.016793839607026757,0.09412586037773171,1.9575965665605972
primary,ACCESS-ESM1-5,500001,EQM,calibration,7305,2.6049144421629022,2.6243805612594118,-0.019466119096509527,-0.7417414754500301,0.22245037645448323,0.22245037645448323,0.0,11.710092307692308,11.708676923076922,0.012088339482634079,0.9981538461538462,0.0006153846153846154,0.0,0.0,0.0,0.0,71.30499999999999,69.895,168.82,122.56999999999998,231.58999999999997,231.54000000000002,0,2.017311681808422,115.2622744729023,73.14583333333333,-0.5924999999999978,-0.7417414754500236,0.373306967091138,-0.9673588247622336,0.24259033751980486,0.5831112005212307,1.3997005023667473,82.34781246274174,117.36938168512194,1.4252883977728699,79.87958333333334,79.28708333333334,240,0.7415385925060142,-0.05059441781779735,-0.30771128306483797,1.6143397181159027
primary,ACCESS-ESM1-5,500001,EQM,validation,5113,3.4225471061410966,2.7915509485624876,0.6309961575786089,22.603784391022533,0.26344611773909643,0.22198318012908272,0.04146293761001371,12.991450151224518,12.49568281938326,3.9675089309423317,0.840229061808097,0.04778116813673067,-8.823529411764701,21.791513881613593,7.270560190703392,-3.585001289797581,75.50830499823944,83.44285714285714,226.86650202732997,159.77857142857147,353.90976896098124,265.57142857142856,0,-9.508965076583442,151.54761574365463,93.39585940553286,19.20406758154421,22.603784391022526,0.29824071923785556,-1.7973892243079979,0.013651200498486338,0.5035195871880211,1.6675545262367981,90.8801561563657,150.42745035614905,1.6552287839088662,84.95952380952382,104.16359139106801,168,0.6082231384659442,0.020345871739295664,0.09280505057469285,1.869345247689829
primary,ACCESS-ESM1-5,500002,raw,calibration,7305,4.166246406570842,3.540273785078713,0.6259726214921288,17.68147492237557,0.5983572895277207,0.221492128678987,0.3768651608487337,6.6642415923129725,15.917490729295427,-58.132586940680696,0.6538063124781011,0.3467331176743901,-71.71875,-54.04266666666666,-53.03752931978103,-47.571432027677616,57.099250000000005,97.72500000000001,147.65089999999998,153.8,63.019600000000004,290.825,0,-41.57150166282937,109.27053496803244,75.19598333333333,19.053041666666665,17.68147492237556,0.5968383525998161,0.006468493106289164,0.5308679018361606,0.7575085782611315,0.9946817542720151,109.8547696273016,127.66417471944126,1.162117722813135,107.75708333333333,126.810125,240,0.817440615278348,0.023118606962003598,0.20268906840765713,1.6164421687440134
primary,ACCESS-ESM1-5,500002,raw,validation,5113,4.682210052806571,4.093213377664775,0.5889966751417957,14.389591277008503,0.6180324662624682,0.5026403285742226,0.11539213768824563,7.289194303797469,8.05136186770428,-9.466318573557432,0.7431155494261932,0.2116793084765798,-39.34374999999999,16.362962962962946,7.0715415019762755,-23.952710710778536,68.72692857142856,73.15714285714286,208.51707142857143,135.92857142857142,507.89807142857137,426.7000000000001,2,-6.055750829916051,141.84681336270745,94.82314285714286,17.92583333333333,14.389591277008492,0.43659338811245263,-0.8676481638212588,0.2642870923726286,0.6155291858282429,1.362545856279773,104.10424919569232,151.02518325428386,1.4507110364956464,124.57500000000002,142.50083333333333,168,0.732151813466856,-0.01818317384927551,0.1238805462529832,1.8688425460787603
primary,ACCESS-ESM1-5,500002,QDM,calibration,7305,3.525708418891171,3.540273785078713,-0.014565366187542228,-0.4114192029139531,0.221492128678987,0.221492128678987,0.0,15.917985166872684,15.917490729295427,0.0031062532761383407,1.0,0.0012360939431396785,0.0,0.0,0.0,0.0,91.68,97.72500000000001,209.48000000000002,153.8,290.82499999999993,290.825,0,-6.185725249424407,128.39420385412004,82.2875,-0.44333333333333086,-0.4114192029139594,0.5661276150248539,-0.3717227540127044,0.4111370475345989,0.7246329759059797,1.1687631250761,109.8547696273016,153.5898565533801,1.3981173241221678,107.75708333333333,107.31375000000001,240,0.8044945697513327,0.05158113916321985,0.19325418610864925,2.0132433924371993
primary,ACCESS-ESM1-5,500002,QDM,validation,5113,4.1386485906570964,4.093213377664775,0.045435212992321006,1.1100133025129892,0.23567377273616272,0.5026403285742226,-0.26696655583805984,17.56009247011665,8.05136186770428,118.10089719794989,0.6988520593506304,0.3008589373072638,109.16522160386786,153.93308013612784,121.08462236092691,47.35657939817022,109.05782719220579,73.15714285714286,311.850635955096,135.92857142857142,923.3612423171681,426.7000000000001,6,49.073382219379134,180.79518676527195,118.41458823336646,1.3827990716055494,1.1100133025129837,0.38044613332463445,-2.034098154946433,-0.05712765726234115,0.5391780096768497,1.7366744216695527,104.10424919569232,193.2668905330706,1.8564745630101303,124.57500000000002,125.95779907160555,168,0.6921898095995028,-0.016436454881373016,0.16448978502451533,2.562514989993344
