Date,YEAR,MONTH,DAY,Precipitation_mm,QC_Flag,Source_Row
1961-05-01,1961,5,1,0.0,OK,122
1961-05-02,1961,5,2,0.0,OK,123
1961-05-03,1961,5,3,27.8,OK,124
1961-05-04,1961,5,4,0.0,OK,125
1961-05-05,1961,5,5,0.0,OK,126
1961-05-06,1961,5,6,23.1,OK,127
1961-05-07,1961,5,7,1.3,OK,128
1961-05-08,1961,5,8,0.1,OK,129
1961-05-09,1961,5,9,8.1,OK,130
1961-05-10,1961,5,10,0.7,OK,131
1961-05-11,1961,5,11,0.0,OK,132
1961-05-12,1961,5,12,63.5,OK,133
1961-05-13,1961,5,13,0.0,OK,134
1961-05-14,1961,5,14,0.0,OK,135
1961-05-15,1961,5,15,0.0,OK,136
1961-05-16,1961,5,16,0.0,OK,137
1961-05-17,1961,5,17,0.0,OK,138
1961-05-18,1961,5,18,0.0,OK,139
1961-05-19,1961,5,19,0.0,OK,140
1961-05-20,1961,5,20,0.0,OK,141
1961-05-21,1961,5,21,1.1,OK,142
1961-05-22,1961,5,22,17.3,OK,143
1961-05-23,1961,5,23,14.4,OK,144
1961-05-24,1961,5,24,2.6,OK,145
1961-05-25,1961,5,25,22.1,OK,146
1961-05-26,1961,5,26,8.1,OK,147
1961-05-27,1961,5,27,28.6,OK,148
1961-05-28,1961,5,28,3.7,OK,149
1961-05-29,1961,5,29,5.3,OK,150
1961-05-30,1961,5,30,12.4,OK,151
1961-05-31,1961,5,31,9.6,OK,152
1961-06-01,1961,6,1,1.1,OK,153
1961-06-02,1961,6,2,9.8,OK,154
1961-06-03,1961,6,3,35.1,OK,155
1961-06-04,1961,6,4,11.3,OK,156
1961-06-05,1961,6,5,0.1,OK,157
1961-06-06,1961,6,6,0.0,OK,158
1961-06-07,1961,6,7,5.1,OK,159
1961-06-08,1961,6,8,0.0,OK,160
1961-06-09,1961,6,9,0.7,OK,161
1961-06-10,1961,6,10,1.2,OK,162
1961-06-11,1961,6,11,0.8,OK,163
1961-06-12,1961,6,12,5.7,OK,164
1961-06-13,1961,6,13,0.0,OK,165
1961-06-14,1961,6,14,0.3,OK,166
1961-06-15,1961,6,15,0.4,OK,167
1961-06-16,1961,6,16,2.1,OK,168
1961-06-17,1961,6,17,2.0,OK,169
1961-06-18,1961,6,18,0.0,OK,170
1961-06-19,1961,6,19,0.0,OK,171
1961-06-20,1961,6,20,2.2,OK,172
1961-06-21,1961,6,21,0.0,OK,173
1961-06-22,1961,6,22,0.0,OK,174
1961-06-23,1961,6,23,0.0,OK,175
1961-06-24,1961,6,24,0.0,OK,176
1961-06-25,1961,6,25,3.2,OK,177
1961-06-26,1961,6,26,7.5,OK,178
1961-06-27,1961,6,27,14.5,OK,179
1961-06-28,1961,6,28,5.6,OK,180
1961-06-29,1961,6,29,1.5,OK,181
1961-06-30,1961,6,30,0.0,OK,182
1961-07-01,1961,7,1,0.5,OK,183
1961-07-02,1961,7,2,0.2,OK,184
1961-07-03,1961,7,3,0.0,OK,185
1961-07-04,1961,7,4,3.8,OK,186
1961-07-05,1961,7,5,0.0,OK,187
1961-07-06,1961,7,6,8.7,OK,188
1961-07-07,1961,7,7,0.6,OK,189
1961-07-08,1961,7,8,0.3,OK,190
1961-07-09,1961,7,9,0.0,OK,191
1961-07-10,1961,7,10,13.1,OK,192
1961-07-11,1961,7,11,2.5,OK,193
1961-07-12,1961,7,12,1.2,OK,194
1961-07-13,1961,7,13,4.0,OK,195
1961-07-14,1961,7,14,6.1,OK,196
1961-07-15,1961,7,15,0.9,OK,197
1961-07-16,1961,7,16,11.8,OK,198
1961-07-17,1961,7,17,0.1,OK,199
1961-07-18,1961,7,18,4.1,OK,200
1961-07-19,1961,7,19,21.5,OK,201
1961-07-20,1961,7,20,0.0,OK,202
1961-07-21,1961,7,21,0.0,OK,203
1961-07-22,1961,7,22,0.0,OK,204
1961-07-23,1961,7,23,1.8,OK,205
1961-07-24,1961,7,24,0.0,OK,206
1961-07-25,1961,7,25,0.0,OK,207
1961-07-26,1961,7,26,0.0,OK,208
1961-07-27,1961,7,27,0.0,OK,209
1961-07-28,1961,7,28,1.3,OK,210
1961-07-29,1961,7,29,5.3,OK,211
1961-07-30,1961,7,30,1.6,OK,212
1961-07-31,1961,7,31,13.9,OK,213
1961-08-01,1961,8,1,0.4,OK,214
1961-08-02,1961,8,2,7.8,OK,215
1961-08-03,1961,8,3,10.8,OK,216
1961-08-04,1961,8,4,16.9,OK,217
1961-08-05,1961,8,5,11.3,OK,218
1961-08-06,1961,8,6,15.3,OK,219
1961-08-07,1961,8,7,4.7,OK,220
1961-08-08,1961,8,8,0.0,OK,221
1961-08-09,1961,8,9,0.0,OK,222
1961-08-10,1961,8,10,0.0,OK,223
1961-08-11,1961,8,11,10.3,OK,224
1961-08-12,1961,8,12,3.7,OK,225
1961-08-13,1961,8,13,5.5,OK,226
1961-08-14,1961,8,14,30.5,OK,227
1961-08-15,1961,8,15,6.5,OK,228
1961-08-16,1961,8,16,10.7,OK,229
1961-08-17,1961,8,17,0.0,OK,230
1961-08-18,1961,8,18,0.0,OK,231
1961-08-19,1961,8,19,0.4,OK,232
1961-08-20,1961,8,20,2.7,OK,233
1961-08-21,1961,8,21,12.6,OK,234
1961-08-22,1961,8,22,72.4,OK,235
1961-08-23,1961,8,23,27.5,OK,236
1961-08-24,1961,8,24,3.2,OK,237
1961-08-25,1961,8,25,0.0,OK,238
1961-08-26,1961,8,26,0.4,OK,239
