Year,Station_ID,Rainfall_Total_mm,Freq_D,Freq_W,Freq_R,P_DD,P_WW,P_RR,Mean_Spell_D,Mean_Spell_R,State_Entropy,Transition_Entropy
1961,353201,1542.5,0.7753424657534247,0.0547945205479452,0.16986301369863013,0.8652482269503546,0.2,0.3870967741935484,7.256410256410256,1.631578947368421,0.9486375418135269,0.8429227348703208
1961,354201,1579.5,0.7698630136986301,0.049315068493150684,0.18082191780821918,0.8571428571428571,0.05555555555555555,0.4393939393939394,6.853658536585366,1.7837837837837838,0.9507596184640925,0.8542773328420973
1961,356201,1656.9,0.7671232876712328,0.043835616438356165,0.18904109589041096,0.8387096774193549,0.125,0.34782608695652173,6.086956521739131,1.5333333333333334,0.9454857160624912,0.8801640202467587
1961,357201,2836.7,0.7068493150684931,0.052054794520547946,0.2410958904109589,0.8482490272373541,0.0,0.625,6.45,2.6666666666666665,1.0705547439188594,0.8740179837167068
1961,381201,1308.0,0.8273972602739726,0.043835616438356165,0.12876712328767123,0.8704318936877077,0.125,0.2978723404255319,7.55,1.4242424242424243,0.8047282501919746,0.7665386524582659
1961,403201,1143.9,0.8383561643835616,0.030136986301369864,0.13150684931506848,0.8852459016393442,0.0,0.2916666666666667,8.5,1.411764705882353,0.7504029888260721,0.6886472088815904
1961,405201,1549.6999999999998,0.8082191780821918,0.03287671232876712,0.1589041095890411,0.8673469387755102,0.08333333333333333,0.3620689655172414,7.375,1.5675675675675675,0.8319418721795218,0.7728719218699457
1961,407501,1809.7999999999997,0.7534246575342466,0.052054794520547946,0.19452054794520549,0.8576642335766423,0.10526315789473684,0.4788732394366197,6.875,1.9189189189189189,0.9891586385521286,0.8676215042162385
1961,431201,949.5999999999999,0.8301369863013699,0.049315068493150684,0.12054794520547946,0.8774834437086093,0.16666666666666666,0.36363636363636365,7.973684210526316,1.5714285714285714,0.805025644895306,0.7435370794336185
1961,432201,1317.1000000000001,0.7835616438356164,0.0410958904109589,0.17534246575342466,0.8526315789473684,0.0,0.421875,6.651162790697675,1.7297297297297298,0.9053785133488943,0.8266177518813936
1962,353201,1007.8,0.7972602739726027,0.052054794520547946,0.1506849315068493,0.8586206896551725,0.10526315789473684,0.34545454545454546,6.928571428571429,1.5277777777777777,0.893987909149311,0.8316771115548465
1962,354201,1571.2,0.7780821917808219,0.049315068493150684,0.1726027397260274,0.8833922261484098,0.1111111111111111,0.49206349206349204,8.352941176470589,1.96875,0.9332445246008425,0.788591240938193
1962,356201,1706.2999999999997,0.7616438356164383,0.0547945205479452,0.18356164383561643,0.8447653429602888,0.1,0.43283582089552236,6.318181818181818,1.763157894736842,0.9776919527384671,0.8952378543931144
1962,357201,2823.0,0.7232876712328767,0.04657534246575343,0.23013698630136986,0.8403041825095057,0.0,0.5357142857142857,6.1395348837209305,2.1538461538461537,1.031857915889836,0.8959800554496455
