method,model,station,family,grouping,group,period,usable,note,fallback_used,applied_grouping,applied_group,wet_threshold_obs_mm,wet_threshold_model_mm,n_obs_wet_cal,n_mod_wet_cal,n_input,n_wet_target,n_delta_clipped_low,n_delta_clipped_high,n_output_capped,output_cap_mm,max_output_mm,obs_dist,obs_aic,obs_ks_d,obs_ks_p,obs_n_params,mod_dist,mod_aic,mod_ks_d,mod_ks_p,mod_n_params
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=18, model=18",True,annual,all,1.0,3.2277203539823014,18,18,565,74,4,0,0,,14.934459459459436,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,02,validation,False,"insufficient wet days obs=18, model=18",True,annual,all,1.0,3.2277203539823014,18,18,395,48,0,0,0,,15.739355452494003,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,03,calibration,False,"insufficient wet days obs=22, model=22",True,annual,all,1.0,2.7423903225806447,22,22,620,50,4,0,0,,14.12,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,03,validation,False,"insufficient wet days obs=22, model=22",True,annual,all,1.0,2.7423903225806447,22,22,434,53,1,0,0,,14.237735849056586,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,04,calibration,True,,False,monthly,04,1.0,1.5427333333333333,110,110,600,110,0,0,0,,87.6,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,04,validation,True,,False,monthly,04,1.0,1.5427333333333333,110,110,420,91,0,0,0,,63.9165183638786,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,05,calibration,True,,False,monthly,05,1.0,1.2723338709677419,207,207,620,207,0,0,0,,130.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,05,validation,True,,False,monthly,05,1.0,1.2723338709677419,207,207,434,130,0,0,0,,97.25228228980383,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,06,calibration,True,,False,monthly,06,1.0,4.078016666666667,190,190,600,190,0,0,0,,58.9,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,06,validation,True,,False,monthly,06,1.0,4.078016666666667,190,190,420,137,0,0,0,,147.5894103003826,,,,,,,,,,
