period,method,metric,group,raw_mean,corrected_mean,delta_mean,n_improved,n_total,pct_improved
calibration,QDM_P_annual,PBIAS,B1_systematic_bias,21.648401798425837,15.874604028844306,-5.773797769581525,38,60,63.33333333333333
calibration,QDM_P_annual,KS_D,B2_distributional_fidelity,0.21222429707694979,0.09208723516837855,-0.12013706190857128,56,60,93.33333333333333
calibration,QDM_P_annual,q95_relbias_pct,B2_distributional_fidelity,45.52964562484046,20.83607303835486,-24.693572586485615,54,60,90.0
calibration,QDM_P_annual,q99_relbias_pct,B2_distributional_fidelity,53.15754785751839,32.34403224570884,-20.81351561180954,46,60,76.66666666666667
calibration,QDM_P_annual,mRMSE,B3_error_based,99.84883405331173,103.85208781881737,4.003253765505659,28,60,46.666666666666664
calibration,QDM_P_annual,mMAE,B3_error_based,70.40009211170278,70.08743323973577,-0.3126588719669987,35,60,58.333333333333336
calibration,QDM_P_annual,mNSE,B3_error_based,-0.3292069868808846,-0.4511177491765904,-0.1219107622957057,28,60,46.666666666666664
calibration,QDM_P_annual,mKGE,B3_error_based,0.34864744810826576,0.3375894544562243,-0.011057993652041359,27,60,45.0
calibration,QDM_P_annual,mr,B4_temporal_correspondence,0.4720775763499391,0.46532815690412127,-0.006749419445817841,26,60,43.333333333333336
calibration,QDM_P_annual,clim_r,B4_temporal_correspondence,0.6936591381691478,0.6903440311510278,-0.0033151070181200153,26,60,43.333333333333336
calibration,QDM_P_annual,annual_r,B4_temporal_correspondence,0.11579390740877353,0.1133415993056205,-0.0024523081031530432,22,60,36.666666666666664
calibration,QDM_P_annual,Rx1day_relbias_pct,B2_distributional_fidelity,54.28981837313661,42.12628838272804,-12.163529990408575,40,60,66.66666666666666
calibration,QDM_P_monthly,PBIAS,B1_systematic_bias,21.648401798425837,8.75711620278156,-12.891285595644273,49,60,81.66666666666667
calibration,QDM_P_monthly,KS_D,B2_distributional_fidelity,0.21222429707694979,0.05061685586434693,-0.1616074412126029,60,60,100.0
calibration,QDM_P_monthly,q95_relbias_pct,B2_distributional_fidelity,45.52964562484046,11.601011279086,-33.92863434575448,53,60,88.33333333333333
calibration,QDM_P_monthly,q99_relbias_pct,B2_distributional_fidelity,53.15754785751839,15.392816253694512,-37.764731603823876,54,60,90.0
calibration,QDM_P_monthly,mRMSE,B3_error_based,99.84883405331173,79.48608167028964,-20.362752383022087,52,60,86.66666666666667
calibration,QDM_P_monthly,mMAE,B3_error_based,70.40009211170278,51.65426594447707,-18.745826167225687,56,60,93.33333333333333
calibration,QDM_P_monthly,mNSE,B3_error_based,-0.3292069868808846,0.16202466903299012,0.4912316559138747,52,60,86.66666666666667
calibration,QDM_P_monthly,mKGE,B3_error_based,0.34864744810826576,0.58208248559936,0.23343503749109443,58,60,96.66666666666667
calibration,QDM_P_monthly,mr,B4_temporal_correspondence,0.4720775763499391,0.6215678509368677,0.14949027458692857,58,60,96.66666666666667
calibration,QDM_P_monthly,clim_r,B4_temporal_correspondence,0.6936591381691478,0.9822963157409536,0.28863717757180546,60,60,100.0
calibration,QDM_P_monthly,annual_r,B4_temporal_correspondence,0.11579390740877353,0.12289981672438484,0.007105909315611302,34,60,56.666666666666664
calibration,QDM_P_monthly,Rx1day_relbias_pct,B2_distributional_fidelity,54.28981837313661,22.246863083921212,-32.0429552892154,50,60,83.33333333333334
validation,QDM_P_annual,PBIAS,B1_systematic_bias,19.990949741096326,22.13152742198902,2.140577680892695,25,60,41.66666666666667
validation,QDM_P_annual,KS_D,B2_distributional_fidelity,0.20063208933936244,0.14104767906634058,-0.05958441027302185,40,60,66.66666666666666
validation,QDM_P_annual,q95_relbias_pct,B2_distributional_fidelity,39.61940206706085,39.77974099495362,0.160338927892789,36,60,60.0
validation,QDM_P_annual,q99_relbias_pct,B2_distributional_fidelity,52.9787809452552,44.86177540505068,-8.117005540204543,34,60,56.666666666666664
validation,QDM_P_annual,mRMSE,B3_error_based,116.20256271663513,123.71607608446313,7.5135133678280015,29,60,48.333333333333336
