season_type,metric,phase,observed_response_pct,n_observed_stations,raw_response_pct,n_raw_models,qdm_response_pct,n_qdm_models
RAINY,Rx5day,EL_NINO,-10.360666343199105,13,-21.868850577225814,7,-3.058418017902314,7
RAINY,Rx5day,LA_NINA,13.721484508001344,13,-15.77699919182593,6,-30.697501580280083,6
RAINY,CWD,EL_NINO,-9.090909090909092,13,-5.120420967415505,7,5.05050505050505,7
RAINY,CWD,LA_NINA,10.196779964221825,13,-1.92921933359092,6,-1.1528420078373114,6
RAINY,R10mm,EL_NINO,-4.972375690607735,13,-8.148148148148147,7,-10.741709005409495,7
RAINY,R10mm,LA_NINA,10.439560439560445,13,-4.907407407407405,6,-11.509146341463413,6
RAINY,R20mm,EL_NINO,-16.666666666666668,13,-17.482517482517487,7,-14.935064935064942,7
RAINY,R20mm,LA_NINA,7.563025210084028,13,-26.965811965811966,6,-9.49248120300752,6
RAINY,R50mm,EL_NINO,-40.0,13,-52.592592592592595,7,-41.1764705882353,7
RAINY,R50mm,LA_NINA,2.8571428571428648,13,-67.33333333333334,6,-35.567632850241544,6
RAINY,R95p,EL_NINO,-28.5451197053407,13,-36.735721047919235,7,-22.224983119413366,7
RAINY,R95p,LA_NINA,-0.014153338939158424,13,-33.87122416978016,6,-36.61921652195033,6
RAINY,R99p,EL_NINO,-48.31901100557816,13,-45.19821245745813,7,-19.94957036721174,7
RAINY,R99p,LA_NINA,47.102607928543854,13,-32.945741322146546,6,-52.596445140801826,6
RAINY,q50,EL_NINO,-11.660777385159001,13,0.7622202510381425,7,-7.755090893675958,7
RAINY,q50,LA_NINA,10.752145381120641,13,6.640350341265717,6,-4.888914462558847,6
RAINY,q90,EL_NINO,-6.832960238780523,13,-1.137968487593783,7,-8.987937853612591,7
RAINY,q90,LA_NINA,8.492545000062835,13,0.9428824853006192,6,-11.92471391569547,6
RAINY,q95,EL_NINO,-7.912570392287848,13,-5.564603988648571,7,-9.757895379972044,7
RAINY,q95,LA_NINA,4.00976800976803,13,-7.533620314133412,6,-10.71131632500963,6
RAINY,q99,EL_NINO,-19.275012260404033,13,-13.004355959601098,7,-8.006669586849956,7
RAINY,q99,LA_NINA,5.4099706366297395,13,-14.911052407902716,6,-25.940035391786815,6
HOT_DRY,Rx5day,EL_NINO,-39.216106232598,13,-19.37755621627101,7,7.60914352312465,7
HOT_DRY,Rx5day,LA_NINA,1.8508132361188911,13,1.08596900038815,7,16.569782989986738,7
HOT_DRY,CWD,EL_NINO,-22.666666666666668,13,-14.670658682634736,7,-0.340845070422534,7
HOT_DRY,CWD,LA_NINA,28.787878787878785,13,-5.876288659793808,7,17.33333333333333,7
HOT_DRY,R10mm,EL_NINO,-36.111111111111114,13,-26.58495350803043,7,7.5757575757575815,7
HOT_DRY,R10mm,LA_NINA,11.428571428571423,13,21.212121212121218,7,40.4878048780488,7
HOT_DRY,R20mm,EL_NINO,-44.00000000000001,13,-12.499999999999993,7,34.35897435897436,7
HOT_DRY,R20mm,LA_NINA,8.52713178294573,13,47.272727272727266,7,17.0,7
HOT_DRY,R50mm,EL_NINO,-42.85714285714286,13,-77.27272727272727,7,-1.9841269841269882,7
HOT_DRY,R50mm,LA_NINA,-20.000000000000004,13,-52.272727272727266,7,-9.696969696969697,7
HOT_DRY,R95p,EL_NINO,-43.315838221673374,13,-30.03537176981296,7,39.98156162220484,7
HOT_DRY,R95p,LA_NINA,-18.27648114901257,13,7.960858628710543,7,38.726296335465726,7
HOT_DRY,R99p,EL_NINO,-70.17231134878195,13,-14.07362079205525,7,-47.49689517031382,7
HOT_DRY,R99p,LA_NINA,-37.59362549800796,13,-50.66990233314732,7,-34.18236319569396,7
HOT_DRY,q50,EL_NINO,-15.689947684812383,12,-2.0161975420513003,7,11.780309111368322,7
HOT_DRY,q50,LA_NINA,-3.0612244897959253,13,3.802646022300521,7,13.267915188785656,7
HOT_DRY,q90,EL_NINO,-27.251278041070677,12,-11.176211991291469,7,4.922410742921448,7
HOT_DRY,q90,LA_NINA,-1.2396694214875739,13,6.188299005169674,7,16.018857769376268,7
HOT_DRY,q95,EL_NINO,-23.983268998195634,12,-6.6645648579322305,7,23.71077453528126,7
HOT_DRY,q95,LA_NINA,-13.651972762519119,13,14.044598555840693,7,16.143169778085493,7
HOT_DRY,q99,EL_NINO,-20.74950555589303,12,-11.305266925236126,7,7.898590303803626,7
HOT_DRY,q99,LA_NINA,-11.407625780398298,13,2.251091037357017,7,24.592801056136928,7
