station,method,raw_mRMSE,corrected_mRMSE,delta_mRMSE,raw_mKGE,corrected_mKGE,delta_mKGE,raw_q99_relbias_pct,corrected_q99_relbias_pct,delta_q99_relbias_pct,raw_KS_D,corrected_KS_D,delta_KS_D,latitude,longitude,elev
500001,QDM_NP_annual,107.33418148789615,128.6299679688828,21.29578648098665,0.26313995885153807,0.17620577104779822,-0.08693418780373985,-54.51617047308324,-1.916491071953142,52.5996794011301,0.32329378068008674,0.07347300663362491,-0.24982077404646183,12.37,99.95,9.127316385
500001,QDM_NP_monthly,107.33418148789615,112.51055524216133,5.176373754265185,0.26313995885153807,0.31912157170389016,0.05598161285235209,-54.51617047308324,-4.545821383055061,49.97034909002818,0.32329378068008674,0.07313733334961028,-0.2501564473304765,12.37,99.95,9.127316385
500001,QDM_P_annual,107.33418148789615,132.55415235070234,25.219970862806193,0.26313995885153807,0.09185104263448378,-0.17128891621705428,-54.51617047308324,-5.366968744261846,49.149201728821396,0.32329378068008674,0.11033767651441848,-0.21295610416566826,12.37,99.95,9.127316385
500001,QDM_P_monthly,107.33418148789615,111.93063971580337,4.59645822790722,0.26313995885153807,0.31587579114465275,0.05273583229311468,-54.51617047308324,-17.91798428832754,36.598186184755704,0.32329378068008674,0.05785675132879262,-0.2654370293512941,12.37,99.95,9.127316385
500002,QDM_NP_annual,128.1569532365142,146.10275852171205,17.94580528519785,0.33148787291666665,0.21013102241044584,-0.1213568505062208,-36.530524162899525,31.869128702051302,68.39965286495082,0.14835611956053568,0.2937140343314421,0.14535791477090643,11.18,99.55,1.7014099999999999e+38
500002,QDM_NP_monthly,128.1569532365142,133.36643808908227,5.2094848525680675,0.33148787291666665,0.3105018865672576,-0.02098598634940907,-36.530524162899525,49.73409365772583,86.26461782062535,0.14835611956053568,0.2904518057514228,0.14209568619088714,11.18,99.55,1.7014099999999999e+38
500002,QDM_P_annual,128.1569532365142,169.86910991990834,41.71215668339414,0.33148787291666665,0.015088695010894423,-0.3163991779057722,-36.530524162899525,78.3884715591646,114.91899572206412,0.14835611956053568,0.2931482873778635,0.14479216781732784,11.18,99.55,1.7014099999999999e+38
500002,QDM_P_monthly,128.1569532365142,142.07678036708944,13.919827130575243,0.33148787291666665,0.23936741240295265,-0.092120460513714,-36.530524162899525,42.73824496164782,79.26876912454735,0.14835611956053568,0.30744587627149833,0.15908975671096265,11.18,99.55,1.7014099999999999e+38
500003,QDM_NP_annual,111.71924628029663,145.9013891342121,34.18214285391548,0.22353118598742916,0.04565129326428876,-0.1778798927231404,-58.222403473770385,-8.854591458050816,49.367812015719565,0.31744326828032426,0.06350049942612997,-0.2539427688541943,12.02,99.9,1.7014099999999999e+38
500003,QDM_NP_monthly,111.71924628029663,127.3508908701046,15.631644589807976,0.22353118598742916,0.20620333150005593,-0.01732785448737323,-58.222403473770385,0.5146945546752739,58.73709802844566,0.31744326828032426,0.05154525188551158,-0.2658980163948127,12.02,99.9,1.7014099999999999e+38
