scenario,period,method,metric,group,raw_mean,corrected_mean,delta_mean,n_improved,n_total,pct_improved
0.5 mm,validation,QDM_P_monthly,PBIAS,B1_systematic_bias,19.990949741096326,16.214984923169144,-3.775964817927182,33,60,55.00000000000001
0.5 mm,validation,QDM_P_monthly,KS_D,B2_distributional_fidelity,0.23378569776945296,0.10961872489046769,-0.12416697287898523,53,60,88.33333333333333
0.5 mm,validation,QDM_P_monthly,q99_relbias_pct,B2_distributional_fidelity,52.17031209748972,45.87103880633726,-6.299273291152469,37,60,61.66666666666667
0.5 mm,validation,QDM_P_monthly,mRMSE,B3_error_based,116.20256271663513,105.57613920759155,-10.626423509043592,45,60,75.0
0.5 mm,validation,QDM_P_monthly,mKGE,B3_error_based,0.22917119312902437,0.3273067971809953,0.09813560405197096,47,60,78.33333333333333
0.5 mm,validation,QDM_P_monthly,clim_r,B4_temporal_correspondence,0.6434297680356094,0.8510522327881807,0.2076224647525714,55,60,91.66666666666666
1.0 mm (primary),validation,QDM_NP_annual,PBIAS,B1_systematic_bias,19.99094974109633,13.465261252848276,-6.525688488248047,36,60,60.0
1.0 mm (primary),validation,QDM_NP_annual,KS_D,B2_distributional_fidelity,0.2006320893393624,0.1056946948637431,-0.0949373944756193,50,60,83.33333333333334
1.0 mm (primary),validation,QDM_NP_annual,q99_relbias_pct,B2_distributional_fidelity,52.9787809452552,24.785059108818544,-28.19372183643667,44,60,73.33333333333333
1.0 mm (primary),validation,QDM_NP_annual,mRMSE,B3_error_based,116.20256271663511,124.7369073814452,8.534344664810062,22,60,36.66666666666666
1.0 mm (primary),validation,QDM_NP_annual,mKGE,B3_error_based,0.2291711931290243,0.2031893157842557,-0.0259818773447686,25,60,41.66666666666667
1.0 mm (primary),validation,QDM_NP_annual,clim_r,B4_temporal_correspondence,0.6434297680356094,0.6293680095279509,-0.0140617585076584,28,60,46.66666666666666
1.0 mm (primary),validation,QDM_NP_monthly,PBIAS,B1_systematic_bias,19.99094974109633,13.805487367650905,-6.185462373445422,37,60,61.66666666666667
1.0 mm (primary),validation,QDM_NP_monthly,KS_D,B2_distributional_fidelity,0.2006320893393624,0.1010065587145917,-0.0996255306247707,52,60,86.66666666666667
1.0 mm (primary),validation,QDM_NP_monthly,q99_relbias_pct,B2_distributional_fidelity,52.9787809452552,27.374827977869927,-25.60395296738529,43,60,71.66666666666667
1.0 mm (primary),validation,QDM_NP_monthly,mRMSE,B3_error_based,116.20256271663511,109.45301175132585,-6.749550965309288,38,60,63.33333333333333
1.0 mm (primary),validation,QDM_NP_monthly,mKGE,B3_error_based,0.2291711931290243,0.3293344707516443,0.1001632776226199,41,60,68.33333333333333
1.0 mm (primary),validation,QDM_NP_monthly,clim_r,B4_temporal_correspondence,0.6434297680356094,0.8798282756214193,0.23639850758581,59,60,98.33333333333331
1.0 mm (primary),validation,QDM_P_annual,PBIAS,B1_systematic_bias,19.99094974109633,22.13152742198902,2.140577680892695,25,60,41.66666666666667
1.0 mm (primary),validation,QDM_P_annual,KS_D,B2_distributional_fidelity,0.2006320893393624,0.1410476790663405,-0.0595844102730218,40,60,66.66666666666666
1.0 mm (primary),validation,QDM_P_annual,q99_relbias_pct,B2_distributional_fidelity,52.9787809452552,44.86177540505068,-8.117005540204543,34,60,56.66666666666666
1.0 mm (primary),validation,QDM_P_annual,mRMSE,B3_error_based,116.20256271663511,123.71607608446313,7.5135133678280015,29,60,48.333333333333336
1.0 mm (primary),validation,QDM_P_annual,mKGE,B3_error_based,0.2291711931290243,0.1521297339189006,-0.0770414592101237,27,60,45.0
1.0 mm (primary),validation,QDM_P_annual,clim_r,B4_temporal_correspondence,0.6434297680356094,0.6435846864712471,0.0001549184356377,32,60,53.333333333333336
1.0 mm (primary),validation,QDM_P_monthly,PBIAS,B1_systematic_bias,19.99094974109633,15.479536068874364,-4.511413672221962,37,60,61.66666666666667
1.0 mm (primary),validation,QDM_P_monthly,KS_D,B2_distributional_fidelity,0.2006320893393624,0.0979424070525119,-0.1026896822868505,51,60,85.0
1.0 mm (primary),validation,QDM_P_monthly,q99_relbias_pct,B2_distributional_fidelity,52.9787809452552,32.535851494456224,-20.442929450799,39,60,65.0
1.0 mm (primary),validation,QDM_P_monthly,mRMSE,B3_error_based,116.20256271663511,105.05990668888208,-11.142656027753077,44,60,73.33333333333333
1.0 mm (primary),validation,QDM_P_monthly,mKGE,B3_error_based,0.2291711931290243,0.3368473157396502,0.1076761226106259,45,60,75.0
1.0 mm (primary),validation,QDM_P_monthly,clim_r,B4_temporal_correspondence,0.6434297680356094,0.8641169194803692,0.2206871514447598,59,60,98.33333333333331
