Period,Model,Scenario,Station,Year,Annual_status,Index,Value,Unit
1981-2014,Observed,Historical,351001,1981,OK,CDD,63.0,days
1981-2014,Observed,Historical,351001,1981,OK,CWD,6.0,days
1981-2014,Observed,Historical,351001,1981,OK,PRCPTOT,1115.7,mm
1981-2014,Observed,Historical,351001,1981,OK,R10mm,27.0,days
1981-2014,Observed,Historical,351001,1981,OK,R20mm,11.0,days
1981-2014,Observed,Historical,351001,1981,OK,R50mm,4.0,days
1981-2014,Observed,Historical,351001,1981,OK,R95p,488.1,mm
1981-2014,Observed,Historical,351001,1981,OK,R99p,358.8,mm
1981-2014,Observed,Historical,351001,1981,OK,Rx1day,188.0,mm
1981-2014,Observed,Historical,351001,1981,OK,Rx5day,431.3,mm
1981-2014,Observed,Historical,351001,1981,OK,SDII,13.606097560975611,mm day-1
1981-2014,Observed,Historical,351001,1982,OK,CDD,85.0,days
1981-2014,Observed,Historical,351001,1982,OK,CWD,5.0,days
1981-2014,Observed,Historical,351001,1982,OK,PRCPTOT,1074.7000000000003,mm
1981-2014,Observed,Historical,351001,1982,OK,R10mm,34.0,days
1981-2014,Observed,Historical,351001,1982,OK,R20mm,18.0,days
1981-2014,Observed,Historical,351001,1982,OK,R50mm,3.0,days
1981-2014,Observed,Historical,351001,1982,OK,R95p,256.0,mm
1981-2014,Observed,Historical,351001,1982,OK,R99p,85.5,mm
1981-2014,Observed,Historical,351001,1982,OK,Rx1day,85.5,mm
1981-2014,Observed,Historical,351001,1982,OK,Rx5day,136.9,mm
1981-2014,Observed,Historical,351001,1982,OK,SDII,13.95714285714286,mm day-1
1981-2014,Observed,Historical,351001,1983,OK,CDD,63.0,days
1981-2014,Observed,Historical,351001,1983,OK,CWD,10.0,days
1981-2014,Observed,Historical,351001,1983,OK,PRCPTOT,1204.5,mm
1981-2014,Observed,Historical,351001,1983,OK,R10mm,33.0,days
1981-2014,Observed,Historical,351001,1983,OK,R20mm,23.0,days
1981-2014,Observed,Historical,351001,1983,OK,R50mm,4.0,days
1981-2014,Observed,Historical,351001,1983,OK,R95p,346.49999999999994,mm
1981-2014,Observed,Historical,351001,1983,OK,R99p,82.5,mm
1981-2014,Observed,Historical,351001,1983,OK,Rx1day,82.5,mm
1981-2014,Observed,Historical,351001,1983,OK,Rx5day,151.5,mm
1981-2014,Observed,Historical,351001,1983,OK,SDII,12.166666666666666,mm day-1
1981-2014,Observed,Historical,351001,1984,OK,CDD,30.0,days
1981-2014,Observed,Historical,351001,1984,OK,CWD,4.0,days
1981-2014,Observed,Historical,351001,1984,OK,PRCPTOT,697.8,mm
1981-2014,Observed,Historical,351001,1984,OK,R10mm,24.0,days
1981-2014,Observed,Historical,351001,1984,OK,R20mm,14.0,days
1981-2014,Observed,Historical,351001,1984,OK,R50mm,1.0,days
1981-2014,Observed,Historical,351001,1984,OK,R95p,55.6,mm
1981-2014,Observed,Historical,351001,1984,OK,R99p,0.0,mm
1981-2014,Observed,Historical,351001,1984,OK,Rx1day,55.6,mm
1981-2014,Observed,Historical,351001,1984,OK,Rx5day,66.8,mm
1981-2014,Observed,Historical,351001,1984,OK,SDII,10.414925373134327,mm day-1
1981-2014,Observed,Historical,351001,1985,OK,CDD,34.0,days
1981-2014,Observed,Historical,351001,1985,OK,CWD,7.0,days
1981-2014,Observed,Historical,351001,1985,OK,PRCPTOT,1318.8,mm
1981-2014,Observed,Historical,351001,1985,OK,R10mm,38.0,days
