season_type,climate_year,season_start,season_end,enso_phase,index_mean_c,index_min_c,index_max_c,n_overlapping_windows,n_el_nino_windows,n_la_nina_windows,n_neutral_windows,classification_rule,model,member_id,index_source,season_id
HOT_DRY,1992,1992-11-01,1993-04-30,EL_NINO,0.62783725,0.247367,1.026929,8,5,0,3,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1992_93_HOT_DRY
RAINY,1993,1993-05-01,1993-10-31,TRANSITION_UNCLASSIFIED,-0.346507625,-1.604498,0.884403,8,1,3,4,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1993_RAIN
HOT_DRY,1993,1993-11-01,1994-04-30,LA_NINA,-1.933675625,-2.356716,-1.175794,8,0,8,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1993_94_HOT_DRY
RAINY,1994,1994-05-01,1994-10-31,LA_NINA,-1.3281465,-2.041322,-0.301852,8,0,7,1,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1994_RAIN
HOT_DRY,1994,1994-11-01,1995-04-30,TRANSITION_UNCLASSIFIED,0.201909625,-0.545852,0.923721,8,3,1,4,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1994_95_HOT_DRY
RAINY,1995,1995-05-01,1995-10-31,EL_NINO,1.135323375,0.850804,1.641799,8,8,0,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1995_RAIN
HOT_DRY,1995,1995-11-01,1996-04-30,EL_NINO,1.15982575,0.384512,1.691107,8,7,0,1,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1995_96_HOT_DRY
RAINY,1996,1996-05-01,1996-10-31,TRANSITION_UNCLASSIFIED,-0.09049962499999997,-0.678243,0.502567,8,1,0,7,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1996_RAIN
HOT_DRY,1996,1996-11-01,1997-04-30,NEUTRAL,-0.3618075,-0.678243,0.090374,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1996_97_HOT_DRY
RAINY,1997,1997-05-01,1997-10-31,TRANSITION_UNCLASSIFIED,0.40034837500000003,0.057157,0.694828,8,4,0,4,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1997_RAIN
HOT_DRY,1997,1997-11-01,1998-04-30,EL_NINO,0.777773125,0.683201,0.955011,8,8,0,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1997_98_HOT_DRY
RAINY,1998,1998-05-01,1998-10-31,EL_NINO,1.004906,0.734642,1.223033,8,8,0,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1998_RAIN
HOT_DRY,1998,1998-11-01,1999-04-30,EL_NINO,1.021393125,0.58283,1.257533,8,8,0,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1998_99_HOT_DRY
RAINY,1999,1999-05-01,1999-10-31,TRANSITION_UNCLASSIFIED,-0.24486012499999998,-1.166474,0.717497,8,2,4,2,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1999_RAIN
HOT_DRY,1999,1999-11-01,2000-04-30,LA_NINA,-1.1495285000000002,-1.375054,-0.985629,8,0,8,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,1999_00_HOT_DRY
RAINY,2000,2000-05-01,2000-10-31,TRANSITION_UNCLASSIFIED,-0.42219287499999997,-1.004891,0.598207,8,1,4,3,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2000_RAIN
HOT_DRY,2000,2000-11-01,2001-04-30,EL_NINO,0.89290275,0.310097,1.23029,8,7,0,1,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2000_01_HOT_DRY
RAINY,2001,2001-05-01,2001-10-31,EL_NINO,1.3096675,1.116445,1.700341,8,8,0,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2001_RAIN
HOT_DRY,2001,2001-11-01,2002-04-30,EL_NINO,1.754486,1.519046,2.011251,8,8,0,0,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2001_02_HOT_DRY
RAINY,2002,2002-05-01,2002-10-31,TRANSITION_UNCLASSIFIED,0.51103625,-0.51384,1.675159,8,4,1,3,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2002_RAIN
HOT_DRY,2002,2002-11-01,2003-04-30,LA_NINA,-0.5603423750000001,-0.764762,-0.366566,8,0,5,3,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2002_03_HOT_DRY
RAINY,2003,2003-05-01,2003-10-31,NEUTRAL,-0.40071812500000004,-0.482513,-0.305073,8,0,0,8,strict majority of overlapping persistent episode windows,ACCESS-ESM1-5,r1i1p1f1,model-specific CMIP6 historical tos Niño-3.4,2003_RAIN
