source_type,season_type,metric,phase,model,response_absolute,response_pct,n_grid_signatures,n_phase,n_neutral
RAW,RAINY,CWD,LA_NINA,EC-Earth3,6.75,15.11857707509881,3,4,10
RAW,RAINY,CWD,LA_NINA,MIROC6,-7.583333333333332,-13.701019014602371,2,12,4
RAW,RAINY,R10mm,EL_NINO,ACCESS-ESM1-5,-5.076923076923077,-15.047628228687799,2,4,13
RAW,RAINY,R10mm,EL_NINO,CESM2,-7.818181818181817,-23.950161513613295,3,11,4
RAW,RAINY,R10mm,EL_NINO,CanESM5,-12.450000000000001,-36.10759914825659,2,5,10
RAW,RAINY,R10mm,EL_NINO,EC-Earth3,-6.966666666666665,-19.73559962228517,3,6,10
RAW,RAINY,R10mm,EL_NINO,MIROC6,-1.0000000000000018,-4.604383307404683,2,12,4
RAW,RAINY,R10mm,LA_NINA,CESM2,9.350000000000001,42.66666666666666,3,5,4
RAW,RAINY,R10mm,LA_NINA,CanESM5,5.178571428571431,14.463121221339222,2,7,10
RAW,RAINY,R10mm,LA_NINA,EC-Earth3,3.700000000000003,10.481586402266299,3,4,10
RAW,RAINY,R10mm,LA_NINA,MIROC6,7.625,22.385982150167855,2,12,4
RAW,RAINY,R20mm,EL_NINO,ACCESS-ESM1-5,-1.6538461538461546,-13.431818181818187,2,4,13
RAW,RAINY,R20mm,EL_NINO,CESM2,-2.1818181818181817,-14.369501466275656,3,11,4
RAW,RAINY,R20mm,EL_NINO,CanESM5,-3.55,-51.58322635857937,2,5,10
RAW,RAINY,R20mm,EL_NINO,EC-Earth3,-0.33333333333333326,-22.222222222222218,3,6,10
RAW,RAINY,R20mm,EL_NINO,MIROC6,2.749999999999999,26.489995742869297,2,12,4
RAW,RAINY,R20mm,LA_NINA,CESM2,7.75,68.23529411764707,3,5,4
RAW,RAINY,R20mm,LA_NINA,CanESM5,0.8357142857142863,7.555474050981118,2,7,10
RAW,RAINY,R20mm,LA_NINA,EC-Earth3,1.5,29.629629629629623,3,4,10
RAW,RAINY,R20mm,LA_NINA,MIROC6,4.25,47.44572158365262,2,12,4
RAW,HOT_DRY,PRCPTOT,EL_NINO,ACCESS-ESM1-5,-38.44540000000003,-23.10493779844839,2,10,12
RAW,HOT_DRY,PRCPTOT,EL_NINO,CESM2,-14.788714285714292,-7.982637622443088,3,14,5
RAW,HOT_DRY,PRCPTOT,EL_NINO,CanESM5,-58.46836111111108,-30.19047825983007,2,6,9
RAW,HOT_DRY,PRCPTOT,EL_NINO,EC-Earth3,-66.6657808080808,-36.8034083130212,3,9,11
RAW,HOT_DRY,PRCPTOT,EL_NINO,MIROC6,-135.9295363636364,-39.4232837944757,2,11,5
RAW,HOT_DRY,PRCPTOT,LA_NINA,ACCESS-ESM1-5,44.37499999999996,27.10666061885714,2,8,12
RAW,HOT_DRY,PRCPTOT,LA_NINA,CESM2,182.42209090909085,96.38310040588786,3,11,5
RAW,HOT_DRY,PRCPTOT,LA_NINA,CanESM5,8.314588888888913,4.596482082138612,2,5,9
RAW,HOT_DRY,PRCPTOT,LA_NINA,EC-Earth3,-37.79273636363638,-20.863799850502573,3,10,11
RAW,HOT_DRY,PRCPTOT,LA_NINA,MIROC6,104.45247499999991,28.85110930133829,2,12,5
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,ACCESS-ESM1-5,-10.649171270718227,-23.33132800391548,2,10,12
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,CESM2,-5.169692186266769,-20.79365079365078,3,14,5
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,CanESM5,-6.583793738489869,-25.371715829375624,2,6,9
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,EC-Earth3,-6.306155477426195,-23.468328141225328,3,9,11
RAW,HOT_DRY,wet_day_frequency_pct,EL_NINO,MIROC6,-4.555499748869913,-9.38804641180224,2,11,5
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,ACCESS-ESM1-5,4.558011049723756,10.092890937270575,2,8,12
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,CESM2,8.98041185334003,35.19813519813522,3,11,5
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,CanESM5,8.600368324125233,34.98137336063789,2,5,9
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,EC-Earth3,-3.997990959316933,-14.87850467289722,3,10,11
RAW,HOT_DRY,wet_day_frequency_pct,LA_NINA,MIROC6,4.953959484346235,9.706712354732886,2,12,5
RAW,HOT_DRY,Rx1day,EL_NINO,ACCESS-ESM1-5,-0.13505833333333417,-1.519195287898552,2,10,12
RAW,HOT_DRY,Rx1day,EL_NINO,CESM2,-1.9486714285714228,-6.743134368348027,3,14,5
RAW,HOT_DRY,Rx1day,EL_NINO,CanESM5,-2.1502222222222223,-6.321356892904719,2,6,9
RAW,HOT_DRY,Rx1day,EL_NINO,EC-Earth3,-4.694149494949494,-30.508336308942223,3,9,11
RAW,HOT_DRY,Rx1day,EL_NINO,MIROC6,-15.69819090909091,-52.348884165384675,2,11,5
RAW,HOT_DRY,Rx1day,LA_NINA,ACCESS-ESM1-5,5.021666666666666,53.01447460698715,2,8,12
RAW,HOT_DRY,Rx1day,LA_NINA,CESM2,16.29067272727273,56.37184059875818,3,11,5
RAW,HOT_DRY,Rx1day,LA_NINA,CanESM5,-4.553488888888889,-19.50166862298203,2,5,9
RAW,HOT_DRY,Rx1day,LA_NINA,EC-Earth3,0.9188654545454522,6.204796238148279,3,10,11
RAW,HOT_DRY,Rx1day,LA_NINA,MIROC6,12.561316666666668,42.77920739918656,2,12,5
RAW,HOT_DRY,CDD,EL_NINO,ACCESS-ESM1-5,5.65,46.204642039882316,2,10,12
RAW,HOT_DRY,CDD,EL_NINO,CESM2,5.114285714285714,9.198355601233299,3,14,5
RAW,HOT_DRY,CDD,EL_NINO,CanESM5,2.6111111111111107,4.894812746085527,2,6,9
RAW,HOT_DRY,CDD,EL_NINO,EC-Earth3,5.575757575757574,18.529707955689823,3,9,11
RAW,HOT_DRY,CDD,EL_NINO,MIROC6,-3.209090909090909,-18.017614569338708,2,11,5
RAW,HOT_DRY,CDD,LA_NINA,ACCESS-ESM1-5,-1.75,-13.795357960117686,2,8,12
RAW,HOT_DRY,CDD,LA_NINA,CESM2,-16.58181818181818,-29.72904532793112,3,11,5
RAW,HOT_DRY,CDD,LA_NINA,CanESM5,-5.488888888888885,-12.119311418368277,2,5,9
RAW,HOT_DRY,CDD,LA_NINA,EC-Earth3,-0.2545454545454504,-0.6619385342789491,3,10,11
RAW,HOT_DRY,CDD,LA_NINA,MIROC6,-5.091666666666666,-31.031061850027363,2,12,5
RAW,HOT_DRY,Rx5day,EL_NINO,ACCESS-ESM1-5,0.18699166666666578,0.726669180799648,2,10,12
RAW,HOT_DRY,Rx5day,EL_NINO,CESM2,0.14929999999998245,0.22888873217409408,3,14,5
RAW,HOT_DRY,Rx5day,EL_NINO,CanESM5,-11.617388888888897,-15.658139411136945,2,6,9
RAW,HOT_DRY,Rx5day,EL_NINO,EC-Earth3,-25.25081848484848,-41.530502840141644,3,9,11
RAW,HOT_DRY,Rx5day,EL_NINO,MIROC6,-50.080572727272724,-59.20671278644329,2,11,5
RAW,HOT_DRY,Rx5day,LA_NINA,ACCESS-ESM1-5,13.733541666666667,54.46134965254216,2,8,12
RAW,HOT_DRY,Rx5day,LA_NINA,CESM2,54.98434545454543,91.40104210365232,3,11,5
RAW,HOT_DRY,Rx5day,LA_NINA,CanESM5,-14.138222222222232,-21.045685801004588,2,5,9
RAW,HOT_DRY,Rx5day,LA_NINA,EC-Earth3,-2.19871563636363,-5.145300296640266,3,10,11
RAW,HOT_DRY,Rx5day,LA_NINA,MIROC6,23.586574999999996,27.830733958135333,2,12,5
RAW,HOT_DRY,CWD,EL_NINO,ACCESS-ESM1-5,-0.8166666666666673,-8.083797808956378,2,10,12
RAW,HOT_DRY,CWD,EL_NINO,CESM2,-3.7142857142857135,-26.530612244897952,3,14,5
RAW,HOT_DRY,CWD,EL_NINO,CanESM5,-2.7777777777777786,-21.801242236024855,2,6,9
RAW,HOT_DRY,CWD,EL_NINO,EC-Earth3,-6.080808080808081,-35.57744937055281,3,9,11
RAW,HOT_DRY,CWD,EL_NINO,MIROC6,-6.999999999999999,-39.50100210699419,2,11,5
RAW,HOT_DRY,CWD,LA_NINA,ACCESS-ESM1-5,2.145833333333333,20.66596194503171,2,8,12
RAW,HOT_DRY,CWD,LA_NINA,CESM2,6.436363636363637,39.73063973063974,3,11,5
RAW,HOT_DRY,CWD,LA_NINA,CanESM5,6.9222222222222225,60.96583850931677,2,5,9
RAW,HOT_DRY,CWD,LA_NINA,EC-Earth3,-5.254545454545454,-29.402985074626866,3,10,11
RAW,HOT_DRY,CWD,LA_NINA,MIROC6,-0.9583333333333321,-0.9503957037874473,2,12,5
RAW,HOT_DRY,R10mm,EL_NINO,ACCESS-ESM1-5,-0.050000000000000044,-6.666666666666672,2,10,12
RAW,HOT_DRY,R10mm,EL_NINO,CESM2,0.8714285714285714,36.904761904761905,3,14,5
RAW,HOT_DRY,R10mm,EL_NINO,CanESM5,-1.4444444444444446,-35.79545454545455,2,6,9
RAW,HOT_DRY,R10mm,EL_NINO,EC-Earth3,-2.353535353535354,-47.942386831275726,3,9,11
RAW,HOT_DRY,R10mm,EL_NINO,MIROC6,-6.209090909090909,-80.5674620945557,2,11,5
