season_type,metric,phase,observed_response_pct,raw_response_pct,qdm_response_pct,raw_absolute_error_vs_observed_pct_points,qdm_absolute_error_vs_observed_pct_points,qdm_moved_toward_observed,raw_model_direction_agreement_with_observed,qdm_model_direction_agreement_with_observed,paired_model_sign_preservation_fraction,n_paired_models,category,magnitude_ratio,shift_pct_points,sign_preserved
RAINY,PRCPTOT,EL_NINO,-6.558413948740801,-12.348262948281901,-14.085198508461703,5.7898489995411,7.526784559720902,False,0.8,0.8,1.0,5,PRESERVED,1.1406623399140907,-1.736935560179802,True
RAINY,PRCPTOT,LA_NINA,2.3805741757286496,15.032091560067013,26.521940684099746,12.651517384338362,24.141366508371096,False,1.0,1.0,1.0,4,AMPLIFIED,1.7643546527188338,11.489849124032734,True
RAINY,wet_day_frequency_pct,EL_NINO,0.025878144384810696,-5.8665472458575945,-11.885582771658727,5.892425390242405,11.911460916043538,False,0.4,0.2,0.8,5,AMPLIFIED,2.025992849550681,-6.019035525801133,True
RAINY,wet_day_frequency_pct,LA_NINA,-0.540915857004938,6.56215972575596,7.54461349496073,7.103075582760898,8.085529351965668,False,0.0,0.0,1.0,4,PRESERVED,1.149715003941266,0.9824537692047706,True
RAINY,Rx1day,EL_NINO,-24.578738427296656,-5.411901644114647,3.2609016464408445,19.16683678318201,27.8396400737375,False,0.6,0.4,0.8,5,REVERSED,0.602542666307881,8.672803290555493,False
RAINY,Rx1day,LA_NINA,-1.8975144762892238,15.659266286294933,43.43027016220081,17.556780762584157,45.32778463849004,False,0.0,0.0,1.0,4,AMPLIFIED,2.7734549862154907,27.77100387590588,True
RAINY,CDD,EL_NINO,16.031416031416036,8.058608058608069,1.4103887168902647,7.972807972807967,14.621027314525772,False,0.8,0.6,0.8,5,ATTENUATED,0.17501641805047352,-6.648219341717804,True
RAINY,CDD,LA_NINA,-5.552638352638357,0.027472527472529595,-13.98803216451499,5.580110880110887,8.435393811876633,False,0.5,0.75,0.75,4,INDETERMINATE_RAW_NEAR_ZERO,,-14.01550469198752,False
RAINY,Rx5day,EL_NINO,-10.580109662506805,-2.0170117951369795,3.2074191087113437,8.563097867369827,13.787528771218149,False,0.6,0.2,0.6,5,INDETERMINATE_RAW_NEAR_ZERO,,5.224430903848323,False
RAINY,Rx5day,LA_NINA,11.444249997826553,16.329712175449018,58.79015158121631,4.885462177622465,47.345901583389754,False,1.0,1.0,1.0,4,AMPLIFIED,3.6001952116219558,42.46043940576729,True
RAINY,CWD,EL_NINO,-5.648614950940536,-7.227043822993672,-17.144127548751825,1.578428872053136,11.495512597811288,False,0.8,0.8,1.0,5,AMPLIFIED,2.372218568013357,-9.917083725758154,True
RAINY,CWD,LA_NINA,8.751606994106556,7.059288537549407,-11.244745909825811,1.6923184565571487,19.99635290393237,False,0.5,0.5,0.5,4,REVERSED,1.592900736386299,-18.30403444737522,False
RAINY,R10mm,EL_NINO,-4.584953277402629,-19.73559962228517,-18.772563176895304,15.150646344882542,14.187609899492674,True,1.0,1.0,1.0,5,PRESERVED,0.9512030815469918,0.9630364453898679,True
RAINY,R10mm,LA_NINA,12.014205306888233,18.42455168575354,23.031655538435196,6.410346378865306,11.017450231546963,False,1.0,1.0,1.0,4,AMPLIFIED,1.250052426309185,4.607103852681657,True
RAINY,R20mm,EL_NINO,-14.177489177489178,-14.369501466275656,-17.210743801652896,0.19201228878647747,3.0332546241637175,False,0.8,0.6,0.8,5,PRESERVED,1.1977272727272732,-2.84124233537724,True
RAINY,R20mm,LA_NINA,6.352941176470583,38.53767560664112,38.22486441385064,32.184734430170536,31.871923237380056,True,1.0,1.0,1.0,4,PRESERVED,0.9918829771680215,-0.31281119279048397,True
HOT_DRY,PRCPTOT,EL_NINO,-28.113558784698377,-30.19047825983007,-14.862028189807013,2.0769194751316924,13.251530594891364,False,1.0,0.6,0.6,5,ATTENUATED,0.4922753479391441,15.328450070023056,True
HOT_DRY,PRCPTOT,LA_NINA,11.695761580939976,27.106660618857152,74.11392437461734,15.410899037917176,62.41816279367737,False,0.8,0.6,0.8,5,AMPLIFIED,2.7341591580284472,47.00726375576019,True
HOT_DRY,wet_day_frequency_pct,EL_NINO,-9.740259740259734,-23.3313280039155,-25.47766090900319,13.591068263655767,15.737401168743457,False,1.0,1.0,1.0,5,PRESERVED,1.0919936021098966,-2.1463329050876894,True
HOT_DRY,wet_day_frequency_pct,LA_NINA,33.168258460087245,10.09289093727056,24.120053272450537,23.075367522816684,9.048205187636707,True,0.8,0.6,0.8,5,AMPLIFIED,2.389806193523911,14.027162335179977,True
HOT_DRY,Rx1day,EL_NINO,-23.206347154137777,-6.743134368348027,40.88354261264103,16.46321278578975,64.08988976677881,False,1.0,0.4,0.4,5,REVERSED,6.06298797849062,47.62667698098906,False
HOT_DRY,Rx1day,LA_NINA,-11.942935678340408,42.779207399186554,92.1532178747315,54.722143077526965,104.0961535530719,False,0.2,0.2,1.0,5,AMPLIFIED,2.1541590758056866,49.37401047554494,True
HOT_DRY,CDD,EL_NINO,-9.709450790625525,9.198355601233299,45.6496178718401,18.907806391858824,55.359068662465624,False,0.2,0.0,0.8,5,AMPLIFIED,4.962802032324069,36.451262270606804,True
HOT_DRY,CDD,LA_NINA,-15.992502642988075,-13.795357960117686,-9.913084331688982,2.1971446828703893,6.079418311299094,False,1.0,0.8,0.8,5,ATTENUATED,0.7185811604416255,3.8822736284287043,True
HOT_DRY,Rx5day,EL_NINO,-40.12754676067816,-15.65813941113693,29.910909948921258,24.46940734954123,70.03845670959942,False,0.6,0.4,0.4,5,REVERSED,1.9102467517722428,45.56904936005819,False
HOT_DRY,Rx5day,LA_NINA,2.055144227388892,27.830733958135333,104.57401628173015,25.77558973074644,102.51887205434126,False,0.6,0.6,1.0,5,AMPLIFIED,3.757501201335067,76.74328232359483,True
HOT_DRY,CWD,EL_NINO,-22.04761904761905,-26.530612244897952,-15.624999999999998,4.482993197278901,6.422619047619053,False,1.0,1.0,1.0,5,ATTENUATED,0.5889423076923078,10.905612244897954,True
HOT_DRY,CWD,LA_NINA,25.17825311942959,20.66596194503171,21.810344827586214,4.51229117439788,3.367908291843378,True,0.6,0.6,0.6,5,PRESERVED,1.055375253549696,1.1443828825545026,True
HOT_DRY,R10mm,EL_NINO,-37.14646464646465,-35.79545454545455,-32.64802631578947,1.3510101010101039,4.498438330675178,False,0.8,1.0,0.8,5,PRESERVED,0.9120718462823726,3.147428229665074,True
HOT_DRY,R10mm,LA_NINA,10.575396825396819,30.219329110954728,65.29605263157896,19.64393228555791,54.72065580618214,False,0.6,0.6,1.0,5,AMPLIFIED,2.160737996261759,35.07672352062423,True
HOT_DRY,R20mm,EL_NINO,-45.07692307692308,-27.976190476190478,-15.178571428571429,17.100732600732602,29.89835164835165,False,0.6,0.6,0.2,5,ATTENUATED,0.5425531914893617,12.79761904761905,True
HOT_DRY,R20mm,LA_NINA,4.0712581991651735,48.83928571428573,70.08797653958943,44.76802751512056,66.01671834042426,False,0.6,0.6,0.6,5,AMPLIFIED,1.4350737426753226,21.248690825303704,True
