model,member_id,episode_id,phase,start_center_month,end_center_month,n_consecutive_overlapping_seasons,index_mean_c,index_min_c,index_max_c,threshold_c,persistence_seasons,source
CESM2,r11i1p1f1,EN_07,EL_NINO,2003-11-01,2004-04-01,6,0.5962065,0.521855,0.627141,0.5,5,CESM2 r11i1p1f1 historical tos
CESM2,r11i1p1f1,EN_08,EL_NINO,2004-08-01,2005-04-01,9,0.7856961111111112,0.637148,0.887882,0.5,5,CESM2 r11i1p1f1 historical tos
CESM2,r11i1p1f1,LN_07,LA_NINA,2005-08-01,2006-02-01,7,-1.066774142857143,-1.342019,-0.686246,0.5,5,CESM2 r11i1p1f1 historical tos
CESM2,r11i1p1f1,EN_09,EL_NINO,2008-03-01,2009-05-01,15,1.4611179333333333,0.52838,2.030528,0.5,5,CESM2 r11i1p1f1 historical tos
CESM2,r11i1p1f1,LN_08,LA_NINA,2009-07-01,2011-02-01,20,-1.9260221999999998,-2.808031,-0.572433,0.5,5,CESM2 r11i1p1f1 historical tos
CESM2,r11i1p1f1,EN_10,EL_NINO,2011-06-01,2013-07-01,26,1.6315611923076925,0.52895,2.574617,0.5,5,CESM2 r11i1p1f1 historical tos
CESM2,r11i1p1f1,LN_09,LA_NINA,2013-11-01,2014-05-01,7,-0.7726177142857142,-0.945208,-0.586809,0.5,5,CESM2 r11i1p1f1 historical tos
CanESM5,r1i1p1f1,EN_01,EL_NINO,1981-07-01,1982-12-01,18,1.1816443333333333,0.561825,1.641298,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,LN_01,LA_NINA,1983-09-01,1984-04-01,8,-0.7508655,-0.948505,-0.523571,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,LN_02,LA_NINA,1985-02-01,1985-11-01,10,-0.7728217,-1.089358,-0.502063,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,EN_02,EL_NINO,1987-03-01,1987-07-01,5,0.8098268,0.560046,0.973773,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,EN_03,EL_NINO,1989-01-01,1989-06-01,6,0.6756485,0.530729,0.786755,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,LN_03,LA_NINA,1990-02-01,1990-06-01,5,-0.7480672,-0.849268,-0.606367,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,EN_04,EL_NINO,1991-09-01,1992-05-01,9,0.8385367777777777,0.559679,1.101948,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,LN_04,LA_NINA,1992-08-01,1993-09-01,14,-0.9381173571428574,-1.268879,-0.506958,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,EN_05,EL_NINO,1997-03-01,1998-04-01,14,0.9568365714285715,0.660045,1.17933,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,EN_06,EL_NINO,2002-08-01,2003-01-01,6,0.7674983333333335,0.614722,0.844477,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,LN_05,LA_NINA,2003-04-01,2004-03-01,12,-1.2093868333333333,-1.519685,-0.537641,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,LN_06,LA_NINA,2005-05-01,2007-01-01,21,-1.0439565238095236,-1.429642,-0.55972,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,LN_07,LA_NINA,2008-04-01,2008-10-01,7,-0.69743,-0.780629,-0.509705,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,EN_07,EL_NINO,2009-03-01,2011-04-01,26,1.5524492692307692,0.503861,2.370954,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,LN_08,LA_NINA,2011-08-01,2012-09-01,14,-1.0394042857142856,-1.475064,-0.56853,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,EN_08,EL_NINO,2013-03-01,2013-07-01,5,0.6165725999999999,0.532496,0.72443,0.5,5,CanESM5 r1i1p1f1 historical tos
CanESM5,r1i1p1f1,EN_09,EL_NINO,2014-02-01,2014-07-01,6,0.9167073333333334,0.508989,1.211368,0.5,5,CanESM5 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,EN_01,EL_NINO,1981-11-01,1982-04-01,6,0.7845793333333333,0.602087,0.970981,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,LN_01,LA_NINA,1983-01-01,1983-06-01,6,-0.547913,-0.616401,-0.503394,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,LN_02,LA_NINA,1985-10-01,1986-03-01,6,-0.6352348333333334,-0.749357,-0.506247,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,EN_02,EL_NINO,1986-08-01,1987-08-01,13,1.130171923076923,0.530975,1.562784,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,LN_03,LA_NINA,1988-01-01,1989-03-01,15,-1.0440729333333332,-1.404661,-0.612215,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,EN_03,EL_NINO,1989-08-01,1991-05-01,22,1.237925409090909,0.540544,1.899906,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,LN_04,LA_NINA,1991-08-01,1992-05-01,10,-0.6715183,-0.818086,-0.554357,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,EN_04,EL_NINO,1992-10-01,1993-10-01,13,1.0961457692307692,0.694765,1.431692,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,LN_05,LA_NINA,1994-04-01,1995-02-01,11,-0.7404821818181818,-1.00453,-0.55081,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,LN_06,LA_NINA,1995-11-01,1997-01-01,15,-0.6847408666666666,-0.90836,-0.55581,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,EN_05,EL_NINO,1997-12-01,1998-10-01,11,0.7929628181818184,0.542209,0.959218,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,LN_07,LA_NINA,1999-06-01,2000-04-01,11,-1.6270452727272726,-2.426709,-0.509031,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,LN_08,LA_NINA,2000-10-01,2001-03-01,6,-0.7158718333333334,-0.896156,-0.547597,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,EN_06,EL_NINO,2007-09-01,2008-03-01,7,0.9135881428571428,0.504035,1.193641,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,EN_07,EL_NINO,2008-07-01,2009-06-01,12,0.8051586666666667,0.502752,1.05539,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,EN_08,EL_NINO,2011-07-01,2012-07-01,13,1.1076233076923077,0.601371,1.607199,0.5,5,EC-Earth3 r1i1p1f1 historical tos
EC-Earth3,r1i1p1f1,LN_09,LA_NINA,2013-10-01,2014-03-01,6,-0.8165156666666666,-1.018686,-0.580978,0.5,5,EC-Earth3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_01,EL_NINO,1984-09-01,1985-04-01,8,1.17003175,0.678169,1.569012,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_01,LA_NINA,1985-07-01,1986-07-01,13,-1.6645276923076924,-2.418858,-0.589102,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_02,EL_NINO,1987-03-01,1988-05-01,15,1.512307066666667,0.526262,2.296001,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_02,LA_NINA,1988-08-01,1989-05-01,10,-1.0248116,-1.363379,-0.500464,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_03,LA_NINA,1989-10-01,1990-03-01,6,-0.750502,-0.934278,-0.528344,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_03,EL_NINO,1990-08-01,1991-04-01,9,1.1152907777777776,0.560896,1.422408,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_04,LA_NINA,1992-05-01,1992-09-01,5,-0.5373888,-0.563553,-0.50709,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_04,EL_NINO,1993-08-01,1994-04-01,9,0.8034261111111111,0.551886,0.97456,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_05,LA_NINA,1994-08-01,1995-04-01,9,-0.9411503333333333,-1.12225,-0.564595,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_06,LA_NINA,1995-06-01,1996-03-01,10,-0.8467643,-1.17798,-0.51428,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_05,EL_NINO,1996-07-01,1997-05-01,11,1.2699964545454545,0.564141,1.696474,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_07,LA_NINA,1998-08-01,1999-03-01,8,-0.9502472500000001,-1.215066,-0.604192,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_06,EL_NINO,1999-08-01,2000-04-01,9,0.9063633333333334,0.542801,1.087837,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_08,LA_NINA,2000-08-01,2001-05-01,10,-0.9618168999999999,-1.334929,-0.52718,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_07,EL_NINO,2003-01-01,2005-03-01,27,0.9024935555555553,0.570883,1.214729,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_09,LA_NINA,2005-08-01,2006-02-01,7,-0.6349104285714285,-0.710266,-0.570003,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_08,EL_NINO,2006-08-01,2007-02-01,7,0.8259051428571428,0.543882,1.023609,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_10,LA_NINA,2007-06-01,2008-03-01,10,-1.1741116999999996,-1.472549,-0.66087,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_09,EL_NINO,2008-08-01,2009-05-01,10,1.0695054000000002,0.566593,1.529749,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_11,LA_NINA,2009-10-01,2010-06-01,9,-0.8094536666666667,-1.050664,-0.52556,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_12,LA_NINA,2010-08-01,2011-01-01,6,-0.6763113333333332,-0.767737,-0.52307,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_10,EL_NINO,2011-06-01,2012-05-01,12,1.3020565833333333,0.508722,1.690148,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,LN_13,LA_NINA,2012-07-01,2013-06-01,12,-1.8926784166666666,-2.792287,-0.794111,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
FGOALS-g3,r1i1p1f1,EN_11,EL_NINO,2013-12-01,2014-09-01,10,0.6906161,0.536583,0.846784,0.5,5,FGOALS-g3 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,EN_01,EL_NINO,1982-04-01,1985-02-01,35,1.5779973714285715,0.550644,2.452949,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,LN_01,LA_NINA,1985-06-01,1986-07-01,14,-1.5329490000000001,-2.154059,-0.638526,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,EN_02,EL_NINO,1987-07-01,1988-01-01,7,0.7428702857142857,0.506246,0.924279,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,LN_02,LA_NINA,1989-05-01,1990-04-01,12,-0.9441853333333333,-1.528542,-0.505538,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,EN_03,EL_NINO,1992-08-01,1994-05-01,22,1.5913042272727276,0.793926,2.812602,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,LN_03,LA_NINA,1994-07-01,1997-03-01,33,-1.434171909090909,-2.685632,-0.513856,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,EN_04,EL_NINO,1998-07-01,1999-10-01,16,1.334877,0.552581,1.855794,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,LN_04,LA_NINA,2000-07-01,2002-05-01,23,-0.9348198695652176,-1.323152,-0.639782,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,EN_05,EL_NINO,2003-04-01,2004-09-01,18,1.9073433888888884,0.575146,3.089288,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,LN_05,LA_NINA,2004-12-01,2007-03-01,28,-1.0581406785714285,-1.537394,-0.692462,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,EN_06,EL_NINO,2007-08-01,2009-04-01,21,2.1456011904761905,0.826231,3.875726,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,LN_06,LA_NINA,2009-06-01,2011-07-01,26,-1.4738146538461538,-2.17914,-0.576064,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,EN_07,EL_NINO,2012-06-01,2014-04-01,23,2.251344304347826,0.701992,3.546412,0.5,5,MIROC6 r1i1p1f1 historical tos
MIROC6,r1i1p1f1,LN_07,LA_NINA,2014-05-01,2014-11-01,7,-2.3013182857142853,-3.00854,-0.555085,0.5,5,MIROC6 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_01,LA_NINA,1983-07-01,1984-04-01,10,-1.1644572,-1.598969,-0.646818,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_01,EL_NINO,1984-09-01,1985-03-01,7,0.7473654285714285,0.520377,0.931029,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_02,EL_NINO,1985-05-01,1986-05-01,13,1.2510982307692307,0.511894,1.829025,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_02,LA_NINA,1986-07-01,1987-03-01,9,-1.2572506666666667,-1.520139,-0.784431,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_03,EL_NINO,1987-06-01,1988-04-01,11,1.0685870909090909,0.604599,1.477748,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_03,LA_NINA,1988-07-01,1990-04-01,22,-0.9734455909090909,-1.357992,-0.509162,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_04,EL_NINO,1990-07-01,1991-06-01,12,1.5653090833333332,0.826363,2.015245,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_04,LA_NINA,1991-10-01,1992-06-01,9,-1.3643807777777779,-1.943917,-0.781067,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_05,LA_NINA,1992-10-01,1993-05-01,8,-0.61537225,-0.704081,-0.525498,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_06,LA_NINA,1993-09-01,1994-04-01,8,-0.886044625,-1.108244,-0.543607,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_05,EL_NINO,1994-09-01,1995-04-01,8,1.076525,0.559494,1.421277,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_07,LA_NINA,1995-07-01,1997-04-01,22,-1.159347,-2.002582,-0.628206,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_06,EL_NINO,1997-08-01,1998-07-01,12,1.2261625833333334,0.633289,1.672237,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_08,LA_NINA,1998-11-01,2000-02-01,16,-1.0098576875,-1.26802,-0.505558,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_07,EL_NINO,2000-05-01,2001-06-01,14,1.7205520714285716,0.650344,2.340388,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_09,LA_NINA,2001-12-01,2003-05-01,18,-1.6412051666666665,-2.052448,-0.697283,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_08,EL_NINO,2004-08-01,2006-02-01,19,1.4580165263157898,0.562214,2.324236,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_09,EL_NINO,2007-09-01,2009-04-01,20,1.0258148500000002,0.541568,1.39577,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_10,LA_NINA,2010-05-01,2011-06-01,14,-1.4995867142857144,-2.293261,-0.671233,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,EN_10,EL_NINO,2012-05-01,2013-05-01,13,0.992311076923077,0.565071,1.410763,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
MRI-ESM2-0,r1i1p1f1,LN_11,LA_NINA,2013-09-01,2014-08-01,12,-1.1143979999999998,-1.542084,-0.559776,0.5,5,MRI-ESM2-0 r1i1p1f1 historical tos
