source_type,season_type,metric,phase_contrast_absolute,phase_contrast_absolute_ci_low,phase_contrast_absolute_ci_high,phase_contrast_absolute_permutation_p,phase_contrast_absolute_valid_bootstrap,phase_contrast_pct,phase_contrast_pct_ci_low,phase_contrast_pct_ci_high,phase_contrast_pct_permutation_p,phase_contrast_pct_valid_bootstrap,neutral_centered_asymmetry_absolute,neutral_centered_asymmetry_absolute_ci_low,neutral_centered_asymmetry_absolute_ci_high,neutral_centered_asymmetry_absolute_permutation_p,neutral_centered_asymmetry_absolute_valid_bootstrap,neutral_centered_asymmetry_pct,neutral_centered_asymmetry_pct_ci_low,neutral_centered_asymmetry_pct_ci_high,neutral_centered_asymmetry_pct_permutation_p,neutral_centered_asymmetry_pct_valid_bootstrap,resampling_unit,bootstrap_repetitions,permutation_repetitions,true_asymmetry_p_bh_primary
OBSERVED,RAINY,PRCPTOT,79.44166666666672,-47.81863095238092,202.1483928571428,0.2316,5000,9.565735799224132,-5.319177785682243,22.304079905159703,0.2068,5000,-40.85654761904749,-245.50988095238083,142.72519345238115,0.6892,5000,-4.842959327592881,-26.674320780434453,16.97945848793207,0.6746,5000,management-season climate year,5000,4999,0.9251657142857143
OBSERVED,RAINY,wet_day_frequency_pct,0.49171842650104125,-3.6946816770186306,4.5807453416149055,0.7804,5000,-0.13471857517980745,-7.649697601314937,8.492180895980617,0.9618,5000,-1.8342391304347814,-8.08755499482401,5.2571816770186235,0.5454,5000,-4.6218689250841125,-18.52739480879493,9.4669030520559,0.4162,5000,management-season climate year,5000,4999,0.9251657142857143
OBSERVED,RAINY,Rx1day,12.534523809523812,-0.4821726190476194,34.62809523809522,0.2202,5000,15.461364072195515,-0.8923092559571741,52.405870660606574,0.4102,5000,-12.219047619047622,-41.537752976190475,15.777559523809527,0.4594,5000,-23.72549704514281,-60.85295559208746,31.76494423618504,0.4508,5000,management-season climate year,5000,4999,0.9251657142857143
OBSERVED,RAINY,CDD,-1.7261904761904765,-2.7976190476190474,0.22648809523809163,0.0454,5000,-18.45293569431501,-38.622943254161456,1.1945958113848298,0.086,5000,0.625,-1.6071428571428572,4.125148809523807,0.6412,5000,4.7850047850047845,-22.447458341134624,50.88517612073839,0.7866,5000,management-season climate year,5000,4999,0.9709090909090908
OBSERVED,RAINY,Rx5day,26.17500000000002,0.27127976190477016,72.0450297619047,0.2324,5000,23.281173564532477,0.520468357749602,59.04390797546296,0.2428,5000,4.197619047619057,-45.32866071428569,60.39272321428568,0.9124,5000,5.560092232565795,-39.464615720755624,60.50774735144654,0.8826,5000,management-season climate year,5000,4999,0.9709090909090908
OBSERVED,RAINY,CWD,2.345238095238094,-2.7622023809523775,8.845833333333324,0.4988,5000,13.185677371723887,-16.275623727390403,38.93634675342047,0.4432,5000,2.2976190476190474,-6.339583333333333,10.583333333333332,0.74,5000,7.458433039828383,-41.036908416883044,57.465290349999826,0.848,5000,management-season climate year,5000,4999,0.9709090909090908
OBSERVED,RAINY,R10mm,3.916666666666668,-0.26220238095238046,7.928869047619045,0.0698,5000,17.869520426833965,-1.1790480849980725,34.34280149522195,0.0502,5000,1.934523809523812,-4.26205357142857,7.982886904761893,0.592,5000,8.059887040333978,-17.10168156874653,37.05550909434675,0.589,5000,management-season climate year,5000,4999,0.9251657142857143
OBSERVED,RAINY,R20mm,1.6547619047619047,-0.17857142857142794,3.416666666666667,0.0794,5000,18.566630992360775,-1.7363345414882494,48.12093733605485,0.1752,5000,0.08333333333333348,-2.8275297619047617,2.7561011904761887,0.9586,5000,-0.6316812439261401,-35.00223831825786,48.07549244597433,0.9792,5000,management-season climate year,5000,4999,0.9792
OBSERVED,HOT_DRY,PRCPTOT,101.81785714285716,32.366041666666675,164.7111875,0.016,5000,49.356859288426435,14.83378848428723,83.39756178547306,0.0136,5000,-42.02142857142856,-208.68724206349208,89.75994791666658,0.5758,5000,-15.01739450994136,-65.68344233365318,52.98230152289636,0.6688,5000,management-season climate year,5000,4999,0.9251657142857143
OBSERVED,HOT_DRY,wet_day_frequency_pct,5.358787161273347,1.0704158295663828,9.28138179346743,0.0074,5000,42.43828463660416,9.523190783162581,68.01143895924737,0.003,5000,1.4634306761378593,-2.2653742436201,7.442852209944743,0.6842,5000,22.179631014709543,-24.772056386646774,55.87086795663455,0.4128,5000,management-season climate year,5000,4999,0.9251657142857143
