source_type,season_type,metric,phase,response_absolute,response_pct,ci_low_absolute,ci_high_absolute,ci_low_pct,ci_high_pct,permutation_p_pct,valid_bootstrap_repetitions,n_groups,n_phase_min,n_phase_median,n_neutral_min,n_neutral_median,resampling_unit,bootstrap_repetitions,permutation_repetitions,permutation_p_bh_primary
OBSERVED,RAINY,PRCPTOT,EL_NINO,-60.22291666666678,-6.558413948740801,-177.30078124999991,47.118645833333254,-19.381715969370532,5.770673390059257,0.3472,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.5208
OBSERVED,RAINY,PRCPTOT,LA_NINA,20.956249999999955,2.3805741757286496,-102.72866071428574,144.12292410714295,-11.231415243540898,16.878920551925432,0.7236,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.8172423529411764
OBSERVED,RAINY,wet_day_frequency_pct,EL_NINO,0.05661231884057116,0.025878144384810696,-4.5855978260869605,2.468580163043465,-9.840076282686645,4.770858879763567,0.9932,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.9986
OBSERVED,RAINY,wet_day_frequency_pct,LA_NINA,-0.22806677018633437,-0.540915857004938,-4.110175659937885,3.79464285714284,-9.52284210715626,7.672926175597192,0.8482,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.9047466666666667
OBSERVED,RAINY,Rx1day,EL_NINO,-11.691666666666674,-24.578738427296656,-29.986145833333328,0.4270833333333304,-41.51911324162208,1.0621000029990748,0.1694,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.3535304347826087
OBSERVED,RAINY,Rx1day,LA_NINA,-0.7062499999999989,-1.8975144762892238,-18.89464285714286,19.202522321428567,-27.91240951237436,34.963350570136534,0.9196,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.9412085106382979
OBSERVED,RAINY,CDD,EL_NINO,0.8750000000000002,16.031416031416036,-0.7291666666666663,2.833333333333333,-8.254359634076605,41.4918414918415,0.1166,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.28559999999999997
OBSERVED,RAINY,CDD,LA_NINA,-0.5625000000000002,-5.552638352638357,-1.5180803571428563,1.4464285714285716,-20.500290550639644,14.84185628446049,0.5762,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.7091692307692308
OBSERVED,RAINY,Rx5day,EL_NINO,-11.391666666666701,-10.580109662506805,-33.907239583333336,5.704895833333329,-28.232324208400883,6.980273695994783,0.6038,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.722742857142857
OBSERVED,RAINY,Rx5day,LA_NINA,10.920535714285712,11.444249997826553,-25.099241071428576,62.96464285714285,-19.521567471446232,56.880057206768186,0.5752,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.7091692307692308
OBSERVED,RAINY,CWD,EL_NINO,-0.7916666666666665,-5.648614950940536,-5.479166666666664,4.333854166666661,-27.28536695629054,20.096753326772507,0.7662,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.8552930232558139
OBSERVED,RAINY,CWD,LA_NINA,1.0892857142857144,8.751606994106556,-4.151785714285714,8.063169642857133,-28.346446270440907,40.12782080884459,0.6246,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.722742857142857
OBSERVED,RAINY,R10mm,EL_NINO,-1.166666666666666,-4.584953277402629,-4.75,3.083333333333332,-18.904456150205803,13.188881294144453,0.6168,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.722742857142857
OBSERVED,RAINY,R10mm,LA_NINA,2.75,12.014205306888233,-0.2410714285714271,6.1875,-0.9294802722159855,29.543691743613284,0.162,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.3456
OBSERVED,RAINY,R20mm,EL_NINO,-0.708333333333333,-14.177489177489178,-2.4375,0.6874999999999997,-32.23873645344494,12.12700427477058,0.2886,5000,1,6,6.0,8,8.0,management-season climate year,5000,4999,0.46176000000000006
OBSERVED,RAINY,R20mm,LA_NINA,0.40178571428571397,6.352941176470583,-1.125,2.375,-13.473738913452596,38.07911226240062,0.6256,5000,1,7,7.0,8,8.0,management-season climate year,5000,4999,0.722742857142857
