Scenario,Model,Index,Station_median_relative_change_pct
SSP5-8.5,CESM2,CDD,3.569023569023567
SSP5-8.5,CESM2,CWD,-27.112493519958523
SSP5-8.5,CESM2,PRCPTOT,-21.54757978433897
SSP5-8.5,CESM2,R10mm,-32.35485975212002
SSP5-8.5,CESM2,R20mm,-24.483775811209444
SSP5-8.5,CESM2,R50mm,-11.111111111111107
SSP5-8.5,CESM2,R95p,-27.97807137421616
SSP5-8.5,CESM2,R99p,-5.94924781492674
SSP5-8.5,CESM2,Rx1day,-9.317227738758362
SSP5-8.5,CESM2,Rx5day,-5.168927067292518
SSP5-8.5,CESM2,SDII,-12.88339085247575
SSP5-8.5,CanESM5,CDD,-18.773946360153264
SSP5-8.5,CanESM5,CWD,-29.300567107750474
SSP5-8.5,CanESM5,PRCPTOT,-20.486941737324145
SSP5-8.5,CanESM5,R10mm,-32.75737940964723
SSP5-8.5,CanESM5,R20mm,-13.880445795339412
SSP5-8.5,CanESM5,R50mm,-33.333333333333336
SSP5-8.5,CanESM5,R95p,-17.407250298642083
SSP5-8.5,CanESM5,R99p,-23.011564356074583
SSP5-8.5,CanESM5,Rx1day,-9.041323171047845
SSP5-8.5,CanESM5,Rx5day,-7.905755650732511
SSP5-8.5,CanESM5,SDII,-12.969078259679684
SSP5-8.5,EC-Earth3,CDD,-6.930693069306924
SSP5-8.5,EC-Earth3,CWD,11.43162393162393
SSP5-8.5,EC-Earth3,PRCPTOT,-3.067191141882424
SSP5-8.5,EC-Earth3,R10mm,-8.93796004206099
SSP5-8.5,EC-Earth3,R20mm,21.03559870550161
SSP5-8.5,EC-Earth3,R50mm,220.00000000000003
SSP5-8.5,EC-Earth3,R95p,16.205762841445885
SSP5-8.5,EC-Earth3,R99p,159.6522476675148
SSP5-8.5,EC-Earth3,Rx1day,7.531411060036222
SSP5-8.5,EC-Earth3,Rx5day,18.74023138290652
SSP5-8.5,EC-Earth3,SDII,-2.133741879396871
SSP5-8.5,FGOALS-g3,CDD,-9.04109589041095
SSP5-8.5,FGOALS-g3,CWD,14.285714285714292
SSP5-8.5,FGOALS-g3,PRCPTOT,5.3923250018382
SSP5-8.5,FGOALS-g3,R10mm,6.953642384105953
SSP5-8.5,FGOALS-g3,R20mm,27.433628318584063
SSP5-8.5,FGOALS-g3,R50mm,33.33333333333332
SSP5-8.5,FGOALS-g3,R95p,26.261942197553783
SSP5-8.5,FGOALS-g3,R99p,71.59875778505608
SSP5-8.5,FGOALS-g3,Rx1day,0.8853717026378982
SSP5-8.5,FGOALS-g3,Rx5day,15.47437656346481
SSP5-8.5,FGOALS-g3,SDII,3.3562932453008414
SSP5-8.5,MIROC6,CDD,-0.1212121212121272
SSP5-8.5,MIROC6,CWD,2.6494146642020886
SSP5-8.5,MIROC6,PRCPTOT,17.441457757274186
SSP5-8.5,MIROC6,R10mm,31.370239497447965
SSP5-8.5,MIROC6,R20mm,95.98393574297188
SSP5-8.5,MIROC6,R50mm,350.0
SSP5-8.5,MIROC6,R95p,87.87938097712747
SSP5-8.5,MIROC6,R99p,241.57452443137683
SSP5-8.5,MIROC6,Rx1day,33.682111793818706
SSP5-8.5,MIROC6,Rx5day,40.00137540738059
SSP5-8.5,MIROC6,SDII,18.803703958496737
SSP5-8.5,MRI-ESM2-0,CDD,18.829008649367925
SSP5-8.5,MRI-ESM2-0,CWD,-32.47962747380676
SSP5-8.5,MRI-ESM2-0,PRCPTOT,-9.512710452168449
SSP5-8.5,MRI-ESM2-0,R10mm,-9.576837416481062
SSP5-8.5,MRI-ESM2-0,R20mm,2.702702702702693
SSP5-8.5,MRI-ESM2-0,R50mm,-33.333333333333336
SSP5-8.5,MRI-ESM2-0,R95p,-2.501876819455845
SSP5-8.5,MRI-ESM2-0,R99p,20.145846111906245
SSP5-8.5,MRI-ESM2-0,Rx1day,7.790097605071341
SSP5-8.5,MRI-ESM2-0,Rx5day,-0.674787852771664
SSP5-8.5,MRI-ESM2-0,SDII,-0.2736060009644758
