Period,Model,Scenario,Station,Index,Unit,Sen_slope_unit,StartYear,EndYear,N,S,Var_S,Var_S_adj_YueWang2004,Z_MK,p_MK,Trend_MK,Significant_MK,Z_MMK2004,p_MMK2004,Trend_MMK2004,Significant_MMK2004,Kendall_tau,Sen_slope,Sen_CI95_low,Sen_CI95_high,n_over_nstar,n_effective,ESS_lags_used,ESS_weighted_rho_sum,MMK_rho1,MK_status,MMK_status,MK_MMK_same_conclusion,p_MK_BH,Significant_MK_BH,Trend_MK_BH
1981-2014,Observed,Historical,465001,SDII,mm day-1,mm day-1 year-1,1981,2014,34,197.0,4550.333333333333,4211.378194070741,2.905590891359965,0.00366560370224,Increasing,True,3.0202573460251867,0.0025255999194725,Increasing,True,0.3511586452762923,0.1233558181472126,0.0365571572468124,0.1969375665656658,0.9255098221531188,36.7365090960374,33,-0.0372450889234406,0.5852462584576481,OK,FACTOR_LT_ONE,True,0.014055774944738513,True,Increasing
1981-2014,Observed,Historical,465002,SDII,mm day-1,mm day-1 year-1,1981,2014,33,78.0,4165.333333333333,,1.1930697770699523,0.2328420467939148,No significant trend,False,,,Invalid ESS correction,False,0.1477272727272727,0.0234521933229814,-0.0124428677721088,0.0654081996434937,,,0,,,OK,IRREGULAR_ANNUAL_YEARS,False,0.28217298891126963,False,No significant trend
1981-2014,Observed,Historical,465003,SDII,mm day-1,mm day-1 year-1,1981,2014,34,43.0,4550.333333333333,3459.599705581451,0.6226266195771354,0.5335299141597474,No significant trend,False,0.7140627278414257,0.4751883921247254,No significant trend,False,0.0766488413547237,0.0148122818287148,-0.0246959417648316,0.0576603800358621,0.7602958843120909,44.71943187061035,33,-0.1198520578439545,0.154782752903524,OK,FACTOR_LT_ONE,True,0.6007462812979832,False,No significant trend
1981-2014,Observed,Historical,465004,SDII,mm day-1,mm day-1 year-1,1981,2014,34,169.0,4550.333333333333,2115.0591327524644,2.490506478308541,0.0127561170265981,Increasing,True,3.652986142996317,0.0002592082245434,Increasing,True,0.3012477718360071,0.0850984956248114,0.0170489966880966,0.1752782608695651,0.4648141087288399,73.14752147472936,33,-0.26759294563558,0.1785692961112853,OK,FACTOR_LT_ONE,True,0.02605892478290755,True,Increasing
1981-2014,Observed,Historical,465005,SDII,mm day-1,mm day-1 year-1,1981,2014,34,265.0,4550.333333333333,7572.273508012162,3.913653037341994,9.091023809691494e-05,Increasing,True,3.0338267814295623,0.0024147303355519,Increasing,True,0.4723707664884135,0.122552664188352,0.0486913250148544,0.2125727513227513,1.664114022711632,20.431292288852813,33,0.332057011355816,0.4547996388908374,OK,OK,True,0.0032426738703616397,True,Increasing
1981-2014,Observed,Historical,465006,SDII,mm day-1,mm day-1 year-1,1981,2014,34,-181.0,4550.333333333333,1687.1850517104908,-2.6683997981877234,0.0076213508109331,Decreasing,True,-4.382189416326966,1.1749259007047511e-05,Decreasing,True,-0.3226381461675579,-0.1483374490677861,-0.2229119808067177,-0.0459896535689373,0.3707827379042907,91.69790425566237,33,-0.3146086310478546,0.0469583704573349,OK,FACTOR_LT_ONE,True,0.01879057182695575,True,Decreasing
1981-2014,Observed,Historical,465007,SDII,mm day-1,mm day-1 year-1,1981,2014,34,225.0,4550.333333333333,9105.984357314694,3.320675304411389,0.0008979994318546,Increasing,True,2.3473863150415712,0.0189056415581716,Increasing,True,0.4010695187165775,0.1394623117863804,0.03934984477486,0.3237840290381125,2.00116863760487,16.9900723812529,33,0.500584318802435,0.3305383639005698,OK,OK,True,0.006654892937344351,True,Increasing
1981-2014,Observed,Historical,465008,SDII,mm day-1,mm day-1 year-1,1981,2014,34,149.0,4550.333333333333,4259.948480771271,2.1940176118432397,0.0282341434503859,Increasing,True,2.26756393991104,0.0233557976336275,Increasing,True,0.2655971479500891,0.0422489514645212,0.0044250247035572,0.0947037733221943,0.9361838284604652,36.31765361287247,33,-0.0319080857697673,0.23115271790699,OK,FACTOR_LT_ONE,True,0.04640784498166877,True,Increasing
1981-2014,Observed,Historical,465009,SDII,mm day-1,mm day-1 year-1,1981,2014,34,219.0,4550.333333333333,12597.129849032532,3.231728644471798,0.0012304384116862,Increasing,True,1.9423195907523656,0.0520984228118661,No significant trend,False,0.3903743315508021,0.0663844411430247,0.0231913806575705,0.2380047852474322,2.7683971538420336,12.281474842875836,33,0.8841985769210167,0.7300295462374252,OK,OK,False,0.007650117081353331,True,Increasing
1981-2014,Observed,Historical,465010,SDII,mm day-1,mm day-1 year-1,1981,2014,34,193.0,4550.333333333333,7600.822236619069,2.846293118066905,0.004423145961631,Increasing,True,2.202271917549397,0.0276461066279221,Increasing,True,0.3440285204991087,0.0634364390795927,0.0169996469836181,0.1538991701456063,1.670388008926614,20.354552246725174,33,0.335194004463307,0.4535593407327108,OK,OK,True,0.014055774944738513,True,Increasing
