station,selected_model,R2,R5,R10,R25,R50,R100,R100_fixed_ci_width_pct,R100_inclusive_ci_width_pct
351001,LP3,85.56426739727874,128.90314330743885,166.0339311162391,224.306845377151,277.21089919364266,339.4059115346809,58.772214488879136,71.11320384510837
351002,Gumbel,70.99386870476573,95.50226876292876,111.7289621476874,132.23143225546016,147.44133580046122,162.53893180519736,34.56726124702744,56.24069816789893
351003,LP3,95.9218545542073,133.709280741027,144.89517966427965,151.18444190799823,153.16721133822008,154.11850688969363,48.11860291693303,46.71594481685655
351004,Gumbel,82.7495726842833,114.40507456037278,135.36377123844784,161.84514005162345,181.49053220538644,200.99086586723988,40.32540302730459,45.01643818868123
351005,Gumbel,73.21576441282653,98.24480132824968,114.81620161462226,135.75420980638455,151.28722038253025,166.7055376468115,28.327233809659525,49.10940271496085
351006,LP3,37.35285230286457,57.95511828410408,78.4775898097518,115.10467882425078,152.5211239753345,201.11596401031937,82.71816878739628,105.82575847546791
351007,LP3,36.552997738204695,61.59473686532272,88.02402976162571,137.92563307731368,191.66397573160188,264.66475318003563,103.12924361505324,125.97698083823848
351008,LP3,51.49390703958397,84.26931876241235,112.29734054570426,156.10689728922034,195.64934394908883,241.83844885440823,69.82752265043663,79.4517298844722
351009,LP3,26.078687925034217,35.68590039347767,43.51803007674627,55.27259444952411,65.51639264690118,77.16215779000675,59.29489327478539,69.26928458503096
351010,Gumbel,27.11703607803098,35.34264969865956,40.78872164977322,47.6698479972622,52.77466061135762,57.8417800904173,39.66204980250021,46.93694351692842
351011,LP3,85.62778508513775,153.81778292785933,226.6185295037547,365.7715642410738,517.2251866360631,724.6511710270137,53.20657188722574,61.76981994026451
351012,Gumbel,99.88162028771688,145.78471916153438,176.17656477642618,214.5767422780628,243.06418758785432,271.34128607317666,43.818908657860234,76.90569492400341
351201,LP3,78.04535536891132,114.9476871958842,147.2281465239906,198.7415797449989,246.2269025681102,302.77509354188606,68.42962660657474,74.3594020747879
