station,P,W,S,max_daily,AICc_Gumbel,AICc_GEV,AICc_LP3,deltaAICc_selected,Akaike_weight_selected,selected_model,GEV_shape_xi
351001,996.5529411764708,79.70588235294117,17.80671606869551,259.6,354.40558386435794,356.5044035868142,351.0680430601976,0.0,0.7971472240558077,LP3,-0.0207859787417901
351002,983.6558823529411,81.17647058823529,14.993455104214474,170.0,320.41379895643723,322.8257300180518,322.80545489087984,0.0,0.6242757596411117,Gumbel,0.001838023969074
351003,1376.185294117647,123.17647058823528,14.72908508717072,155.0,355.4499606110376,357.7028967812896,343.45408832231874,0.0,0.9967216967854132,LP3,0.0158963560420954
351004,1100.023529411765,83.73529411764706,16.41695003625097,181.3,340.1341895378557,342.4601469818944,340.74929464971007,0.0,0.4883294135983592,Gumbel,-0.0142278563700638
351005,1106.0029411764706,96.20588235294116,14.857120256509983,152.0,320.45025881525225,322.75990954188023,322.0931024124467,0.0,0.5698270459238123,Gumbel,0.0112619617780194
351006,1147.2058823529412,175.1764705882353,8.536365689007402,143.5,309.9028356804592,308.6488395098908,291.61982590106953,0.0,0.9996924306329644,LP3,-0.0455836355452678
351007,1203.0558823529414,181.76470588235293,8.795690613121403,201.1,327.7294857865624,329.05888277412254,304.0672533423335,0.0,0.9999889831983498,LP3,-0.0183260573279476
351008,1133.5617647058823,177.73529411764707,8.425709325805656,176.6,333.9409453274364,336.20131202553245,332.35071119894207,0.0,0.6260328311478489,LP3,-0.0108533456777677
351009,1206.3117647058823,228.76470588235293,4.226309779806171,68.0,251.76677219247165,253.87803897527493,249.50774656175696,0.0,0.696547650020177,LP3,-0.0144960343167725
351010,1176.529411764706,219.7058823529412,4.448282384416461,54.2,249.31623017464912,251.6496784409601,249.90586233269275,0.0,0.4863685808062692,Gumbel,-0.0051135163080448
351011,1108.2411764705882,90.20588235294116,18.90836400335417,296.9,376.5283618191307,378.5870248715879,373.44118074057104,0.0,0.7752388897790301,LP3,-0.0282459802088362
351012,944.1411764705882,78.6470588235294,18.791409816981925,298.5,365.4137709669282,367.71983956901926,365.9807094997466,0.0,0.4833617873682735,Gumbel,-0.012827348920935
351201,1064.8470588235296,92.52941176470588,16.245528297417568,226.0,342.21760019143767,344.50648963658034,338.5766012155152,0.0,0.8240570691168427,LP3,-0.0034001244301502
