Scenario,Station,observed_mm,predicted_mm,error_mm,abs_error_mm
SSP2-4.5,351001,30.54116666666664,20.084913778903108,-10.456252887763533,10.456252887763533
SSP2-4.5,351002,20.567000000000007,18.115657558236215,-2.451342441763792,2.451342441763792
SSP2-4.5,351003,20.310666666666748,23.395362265866968,3.08469559920022,3.08469559920022
SSP2-4.5,351004,27.083166666666784,22.45067713101888,-4.632489535647903,4.632489535647903
SSP2-4.5,351005,22.540500000000065,31.364388486869036,8.82388848686897,8.82388848686897
SSP2-4.5,351006,2.7069999999999936,15.910757214983057,13.203757214983064,13.203757214983064
SSP2-4.5,351007,27.53933333333339,8.720746337610565,-18.818586995722825,18.818586995722825
SSP2-4.5,351008,20.09983333333332,22.688377447318633,2.5885441139853143,2.5885441139853143
SSP2-4.5,351009,25.468666666666536,24.219273638985857,-1.2493930276806786,1.2493930276806786
SSP2-4.5,351010,10.5716666666666,10.651265623918261,0.07959895725166177,0.07959895725166177
SSP2-4.5,351011,-11.099666666666508,35.0063059152909,46.10597258195741,46.10597258195741
SSP2-4.5,351012,45.134000000000015,13.456502470402338,-31.677497529597677,31.677497529597677
SSP2-4.5,351201,50.392166666666526,9.792236635746415,-40.59993003092011,40.59993003092011
SSP5-8.5,351001,47.34566666666683,19.95044978761557,-27.395216879051258,27.395216879051258
SSP5-8.5,351002,21.76333333333332,11.821841196305266,-9.941492137028055,9.941492137028055
SSP5-8.5,351003,31.387333333333345,9.275175573315911,-22.112157760017432,22.112157760017432
SSP5-8.5,351004,20.495499999999765,14.213139168042053,-6.282360831957712,6.282360831957712
SSP5-8.5,351005,40.35600000000011,-4.199850787296274,-44.55585078729638,44.55585078729638
SSP5-8.5,351006,19.16933333333327,11.951986329417101,-7.217347003916169,7.217347003916169
SSP5-8.5,351007,24.56966666666653,15.180961405176753,-9.388705261489779,9.388705261489779
SSP5-8.5,351008,8.42116666666675,16.829978340987665,8.408811674320916,8.408811674320916
SSP5-8.5,351009,19.01133333333337,14.19039893142836,-4.820934401905008,4.820934401905008
SSP5-8.5,351010,14.05200000000002,15.525068117978122,1.4730681179781033,1.4730681179781033
SSP5-8.5,351011,-19.489333333333207,17.98360280591967,37.47293613925288,37.47293613925288
SSP5-8.5,351012,-20.604833333333545,19.698441360572776,40.30327469390632,40.30327469390632
SSP5-8.5,351201,-0.1850000000001728,15.049807444296315,15.234807444296488,15.234807444296488
