Scenario,MAE_mm,RMSE_mm,Bias_mm,n
SSP2-4.5,14.136303800257167,20.640706225128795,-2.7691565765269135,13
SSP5-8.5,18.046689471724346,22.97155796532412,-2.2170128456082376,13
