model,station,dataset,period,n_days,mean_mm_day,obs_mean_mm_day,MBE,PBIAS,wet_freq,obs_wet_freq,wetfreq_bias,SDII,obs_SDII,SDII_relbias_pct,PSS,KS_D,q50_relbias_pct,q90_relbias_pct,q95_relbias_pct,q99_relbias_pct,Rx1day,obs_Rx1day,Rx5day,obs_Rx5day,R95pTOT,obs_R95pTOT,n_days_above_obs_hist_max,Rx1day_relbias_pct,mRMSE,mMAE,mMBE,mPBIAS,mr,mNSE,mKGE,md,mRSR,msd_obs,msd_sim,msd_ratio,mmean_obs,mmean_sim,mn,clim_r,monthly_anom_r,annual_r,annual_sd_ratio
ACCESS-ESM1-5,500001,raw,calibration,7305,2.4402930869267627,2.6243805612594118,-0.18408747433264905,-7.014511426052766,0.528952772073922,0.22245037645448323,0.30650239561943876,4.166424689440994,11.708676923076922,-64.41592233850706,0.557812071985985,0.44142331581462024,-69.44262295081967,-68.31299999999997,-62.855061728395064,-47.580450957005745,54.53145000000001,69.895,115.73070000000003,122.56999999999998,83.2829,231.54000000000002,0,-21.980899921310524,86.90347499839022,62.27446249999999,-5.603162499999999,-7.014511426052754,0.3780992455828714,-0.11836480905233682,0.3636289851398784,0.6095521434652582,1.0553222046755606,82.34781246274174,72.85557645716517,0.8847299555179886,79.87958333333334,74.27642083333333,240,0.7566436741627661,-0.045176589030067354,-0.29704043819797754,1.0072467433269225
ACCESS-ESM1-5,500001,raw,validation,5113,3.0037220809700766,2.7915509485624876,0.212171132407589,7.60047501611413,0.5748093096029728,0.22198318012908272,0.35282612947389014,4.847815243280027,12.49568281938326,-61.204078933884965,0.53320872423567,0.4605270455202929,-70.77941176470588,-60.94542877391919,-57.15756853396895,-48.13297818107675,61.11464285714286,83.44285714285714,170.348,159.77857142857147,141.21242857142857,265.57142857142856,0,-26.75868858072247,115.3991551550788,75.09287499999999,6.457327380952379,7.600475016114113,0.2634281439935674,-0.6220339502407997,0.25383738456892935,0.5190863220793636,1.269794859908982,90.8801561563657,99.23116113034818,1.091890301768562,84.95952380952382,91.41685119047618,168,0.5766084987266508,-0.0010960773338944763,0.03817230317068218,1.2769126322862656
ACCESS-ESM1-5,500001,QDM_NP_annual,calibration,7305,2.6049144421629022,2.6243805612594118,-0.019466119096509527,-0.7417414754500301,0.22245037645448323,0.22245037645448323,0.0,11.710092307692308,11.708676923076922,0.012088339482634079,0.9981538461538462,0.0006153846153846843,0.0,0.0,0.0,0.0,71.30499999999999,69.895,168.82,122.56999999999998,231.58999999999997,231.54000000000002,0,2.017311681808422,115.2622744729023,73.14583333333333,-0.5924999999999978,-0.7417414754500236,0.3733069670911379,-0.9673588247622336,0.24259033751980486,0.5831112005212307,1.3997005023667473,82.34781246274174,117.36938168512194,1.4252883977728699,79.87958333333334,79.28708333333334,240,0.7415385925060142,-0.05059441781779741,-0.30771128306483797,1.6143397181159027
ACCESS-ESM1-5,500001,QDM_NP_annual,validation,5113,3.4689066792378958,2.7915509485624876,0.6773557306754081,24.26449465392037,0.261294738900841,0.22198318012908272,0.039311558771758265,13.275838211783952,12.49568281938326,6.243399449852535,0.8282841805376032,0.059410034556437785,-5.960085682673902,26.44155512407205,11.327863905036141,13.621442712792634,82.67057540246971,83.44285714285714,241.00832644194224,159.77857142857147,430.8502942566861,265.57142857142856,1,-0.9255216885314145,156.81076443113724,95.11018015528839,20.6149991127581,24.264494653920355,0.29050950277556126,-1.9950661946464274,-0.03573085315142732,0.4898944317164382,1.7254675945025149,90.8801561563657,155.81242598332216,1.7144823751758955,84.95952380952382,105.57452292228191,168,0.6023198531410658,0.016908669025673687,0.09451926232446382,1.9571695169258692
ACCESS-ESM1-5,500001,QDM_NP_monthly,calibration,7305,2.6417159840003483,2.6243805612594118,0.01733542274093658,0.6605529318742367,0.24558521560574947,0.22245037645448323,0.02313483915126624,10.756820102074997,11.708676923076922,-8.129499406768044,0.9540289855072464,0.04634113712374588,-11.475409836065563,-6.866666666666638,-2.7901234567901647,-3.1166581473279393,68.15499999999999,69.895,172.29000000000002,122.56999999999998,220.91000000000003,231.54000000000002,0,-2.4894484584019017,97.89013391404626,65.77145334394602,0.5276469296772679,0.6605529318742498,0.464139320454921,-0.41901521608776204,0.4040814505865232,0.6641274785909491,1.1887399432539467,82.34781246274174,103.81022072941154,1.2606311889144652,79.87958333333334,80.4072302630106,240,0.9988809157925669,-0.05555207602639198,-0.198414406486374,1.661865594479093
ACCESS-ESM1-5,500001,QDM_NP_monthly,validation,5113,3.305439053973979,2.7915509485624876,0.5138881054114912,18.40869519777593,0.2775278701349501,0.22198318012908272,0.0555446900058674,11.910295900612368,12.49568281938326,-4.684713330453953,0.8490877425003027,0.07147802168804113,-12.627614945417147,9.492486050603407,8.705255160615714,-7.777667931237091,75.64342384493135,83.44285714285714,233.1728843695756,159.77857142857147,349.14268062578816,265.57142857142856,0,-9.347035282568141,125.57715226557399,82.24468980919383,15.639939779577094,18.408695197775913,0.3643164859224152,-0.9207725560464617,0.23879533494707195,0.5775433243764108,1.3817884737071717,90.8801561563657,125.06015825655845,1.3760997289813592,84.95952380952382,100.59946358910089,168,0.9083975051536688,-0.014614765151298682,0.042354607028999514,1.7100839885090933
ACCESS-ESM1-5,500001,QDM_P_annual,calibration,7305,3.161660024061199,2.6243805612594118,0.5372794628017874,20.472620119696096,0.22245037645448323,0.22245037645448323,0.0,14.212877831241268,11.708676923076922,21.387565175948744,0.8590769230769232,0.04430769230769227,3.030871114605467,14.259735537708167,32.077905956012685,45.94108825150503,117.98619776433752,69.895,242.4330736677395,122.56999999999998,468.5999115501709,231.54000000000002,4,68.80491846961517,145.72407253729554,85.60616307999493,16.353443649029423,20.47262011969611,0.3588143477847343,-2.1446463187125993,-0.08688829791315822,0.5144912736177347,1.7696168019427156,82.34781246274174,152.62356849401812,1.8534016135895854,79.87958333333334,96.23302698236276,240,0.7450241520531807,-0.04615852919506468,-0.3011514377846443,2.1035071980917306
ACCESS-ESM1-5,500001,QDM_P_annual,validation,5113,4.035251072511416,2.7915509485624876,1.2437001239489285,44.55229895013642,0.26344611773909643,0.22198318012908272,0.04146293761001371,15.317177976058549,12.49568281938326,22.579759725483704,0.8079432512779257,0.09927952146882121,-4.036548818577428,37.898146624240326,38.707953264499736,54.72412421623209,112.92743464872547,83.44285714285714,325.2076170307876,159.77857142857147,639.8505467978711,265.57142857142856,6,35.33505265212777,193.75746511022174,109.53460846914683,37.85142103423135,44.55229895013638,0.2712215608260175,-3.5726879949128305,-0.42009093393897734,0.4215555764390877,2.132010697438156,90.8801561563657,193.98206166866862,2.1344820461675797,84.95952380952382,122.81094484375518,168,0.5838071943176626,0.010231283795558058,0.08049931656732294,2.4801047272737833
ACCESS-ESM1-5,500001,QDM_P_monthly,calibration,7305,2.620392632411032,2.6243805612594118,-0.003987928848379951,-0.15195695728160194,0.2454483230663929,0.22245037645448323,0.022997946611909653,10.675944327809589,11.708676923076922,-8.820233080578857,0.9026295422369041,0.04068265476854438,-2.253332492311085,-15.36282593969793,-9.897057345220563,-3.842065904955651,77.10848538177082,69.895,176.92982194162235,122.56999999999998,223.50948412166525,231.54000000000002,0,10.32045980652525,97.52469717027817,65.21621523536712,-0.12138258432253177,-0.15195695728157288,0.463630788990979,-0.40844025102580095,0.40687647731222465,0.6627587416096312,1.1843022207105163,82.34781246274174,103.19682045643846,1.253182293131707,79.87958333333334,79.7582007490108,240,0.9925037387797628,-0.06448908698120547,-0.24305279107552777,1.579932322529948
ACCESS-ESM1-5,500001,QDM_P_monthly,validation,5113,3.217548240078297,2.7915509485624876,0.42599729151580945,15.260237028279116,0.2787013495012713,0.22198318012908272,0.05671816937218857,11.544788878259881,12.49568281938326,-7.609779752478636,0.8540629105804158,0.06330010047144291,-5.7859143118939285,-7.8730336440158855,-4.071454638466687,-7.778460837097654,74.88705789634335,83.44285714285714,214.05384844224992,159.77857142857147,281.9137761452488,265.57142857142856,0,-10.253483089470384,121.11407594563272,79.7769618816489,12.965024711430539,15.260237028279086,0.3691113772284362,-0.7866682565044454,0.2767303237178622,0.5852634104124987,1.3326790035136762,90.8801561563657,119.87805973617019,1.3190784964091782,84.95952380952382,97.92454852095435,168,0.8935993907817883,0.00560326291956693,0.11649754044574169,1.6459008097873042
