period,method,metric,group,raw_mean,corrected_mean,delta_mean,n_improved,n_total,pct_improved
calibration,QDM_NP_annual,PBIAS,B1_systematic_bias,21.648401798425837,1.826220297677246,-19.822181500748588,59,60,98.33333333333333
calibration,QDM_NP_annual,KS_D,B2_distributional_fidelity,0.21222429707694979,0.0009315025835983393,-0.2112927944933515,60,60,100.0
calibration,QDM_NP_annual,q95_relbias_pct,B2_distributional_fidelity,45.52964562484046,0.004529807896419152,-45.525115816944044,60,60,100.0
calibration,QDM_NP_annual,q99_relbias_pct,B2_distributional_fidelity,53.15754785751839,0.003731116258053431,-53.15381674126033,60,60,100.0
calibration,QDM_NP_annual,mRMSE,B3_error_based,99.84883405331173,103.46616146658917,3.617327413277455,25,60,41.66666666666667
calibration,QDM_NP_annual,mMAE,B3_error_based,70.40009211170278,70.26061878535928,-0.13947332634349258,29,60,48.333333333333336
calibration,QDM_NP_annual,mNSE,B3_error_based,-0.3292069868808846,-0.402513072682266,-0.07330608580138126,25,60,41.66666666666667
calibration,QDM_NP_annual,mKGE,B3_error_based,0.34864744810826576,0.4024539475151537,0.05380649940688791,34,60,56.666666666666664
calibration,QDM_NP_annual,mr,B4_temporal_correspondence,0.4720775763499391,0.45536651872066236,-0.01671105762927684,19,60,31.666666666666664
calibration,QDM_NP_annual,clim_r,B4_temporal_correspondence,0.6936591381691478,0.6874162385081051,-0.0062428996610428555,26,60,43.333333333333336
calibration,QDM_NP_annual,annual_r,B4_temporal_correspondence,0.11579390740877353,0.12865517481172917,0.012861267402955654,34,60,56.666666666666664
calibration,QDM_NP_annual,Rx1day_relbias_pct,B2_distributional_fidelity,54.28981837313661,3.5810683531956573,-50.70875001994095,60,60,100.0
calibration,QDM_NP_monthly,PBIAS,B1_systematic_bias,21.648401798425837,2.1788727441702465,-19.469529054255585,59,60,98.33333333333333
calibration,QDM_NP_monthly,KS_D,B2_distributional_fidelity,0.21222429707694979,0.00698475686226239,-0.20523954021468743,60,60,100.0
calibration,QDM_NP_monthly,q95_relbias_pct,B2_distributional_fidelity,45.52964562484046,0.8267787345118313,-44.70286689032864,60,60,100.0
calibration,QDM_NP_monthly,q99_relbias_pct,B2_distributional_fidelity,53.15754785751839,0.6469725516145682,-52.51057530590382,60,60,100.0
calibration,QDM_NP_monthly,mRMSE,B3_error_based,99.84883405331173,81.88638248810652,-17.962451565205193,50,60,83.33333333333334
calibration,QDM_NP_monthly,mMAE,B3_error_based,70.40009211170278,53.609276388614276,-16.7908157230885,53,60,88.33333333333333
calibration,QDM_NP_monthly,mNSE,B3_error_based,-0.3292069868808846,0.10492633734979409,0.4341333242306787,50,60,83.33333333333334
calibration,QDM_NP_monthly,mKGE,B3_error_based,0.34864744810826576,0.5946970720259281,0.2460496239176625,60,60,100.0
calibration,QDM_NP_monthly,mr,B4_temporal_correspondence,0.4720775763499391,0.6204584916916454,0.14838091534170628,59,60,98.33333333333333
calibration,QDM_NP_monthly,clim_r,B4_temporal_correspondence,0.6936591381691478,0.9988601549667268,0.3052010167975789,60,60,100.0
calibration,QDM_NP_monthly,annual_r,B4_temporal_correspondence,0.11579390740877353,0.1409691956787676,0.025175288269994052,35,60,58.333333333333336
calibration,QDM_NP_monthly,Rx1day_relbias_pct,B2_distributional_fidelity,54.28981837313661,4.845117878613405,-49.44470049452321,58,60,96.66666666666667
calibration,QDM_P_annual,PBIAS,B1_systematic_bias,21.648401798425837,15.759385295526878,-5.8890165028989525,37,60,61.66666666666667
calibration,QDM_P_annual,KS_D,B2_distributional_fidelity,0.21222429707694979,0.09208723516837855,-0.12013706190857128,56,60,93.33333333333333
calibration,QDM_P_annual,q95_relbias_pct,B2_distributional_fidelity,45.52964562484046,20.83607303835486,-24.693572586485615,54,60,90.0
calibration,QDM_P_annual,q99_relbias_pct,B2_distributional_fidelity,53.15754785751839,32.34403224570884,-20.81351561180954,46,60,76.66666666666667
calibration,QDM_P_annual,mRMSE,B3_error_based,99.84883405331173,103.54981618639613,3.7009821330844224,29,60,48.333333333333336
calibration,QDM_P_annual,mMAE,B3_error_based,70.40009211170278,69.97081065649509,-0.42928145520769284,35,60,58.333333333333336
calibration,QDM_P_annual,mNSE,B3_error_based,-0.3292069868808846,-0.44211834285535256,-0.11291135597446787,29,60,48.333333333333336
calibration,QDM_P_annual,mKGE,B3_error_based,0.34864744810826576,0.3404772134477406,-0.008170234660524972,27,60,45.0
calibration,QDM_P_annual,mr,B4_temporal_correspondence,0.4720775763499391,0.4657142149521217,-0.006363361397817494,26,60,43.333333333333336
calibration,QDM_P_annual,clim_r,B4_temporal_correspondence,0.6936591381691478,0.6903135789307685,-0.003345559238379316,26,60,43.333333333333336
calibration,QDM_P_annual,annual_r,B4_temporal_correspondence,0.11579390740877353,0.11280194687646791,-0.0029919605323056177,23,60,38.333333333333336
calibration,QDM_P_annual,Rx1day_relbias_pct,B2_distributional_fidelity,54.28981837313661,39.57518491226005,-14.714633460876568,43,60,71.66666666666667
calibration,QDM_P_monthly,PBIAS,B1_systematic_bias,21.648401798425837,8.920082365079475,-12.72831943334636,48,60,80.0
calibration,QDM_P_monthly,KS_D,B2_distributional_fidelity,0.21222429707694979,0.05061685586434693,-0.1616074412126029,60,60,100.0
calibration,QDM_P_monthly,q95_relbias_pct,B2_distributional_fidelity,45.52964562484046,11.601011279086,-33.92863434575448,53,60,88.33333333333333
calibration,QDM_P_monthly,q99_relbias_pct,B2_distributional_fidelity,53.15754785751839,15.504761333380685,-37.6527865241377,54,60,90.0
calibration,QDM_P_monthly,mRMSE,B3_error_based,99.84883405331173,78.69115617091387,-21.157677882397834,53,60,88.33333333333333
calibration,QDM_P_monthly,mMAE,B3_error_based,70.40009211170278,51.38797059546682,-19.012121516235954,56,60,93.33333333333333
calibration,QDM_P_monthly,mNSE,B3_error_based,-0.3292069868808846,0.18086003800257977,0.5100670248834644,53,60,88.33333333333333
calibration,QDM_P_monthly,mKGE,B3_error_based,0.34864744810826576,0.5870425163757448,0.238395068267479,58,60,96.66666666666667
calibration,QDM_P_monthly,mr,B4_temporal_correspondence,0.4720775763499391,0.6244121420985153,0.15233456574857612,58,60,96.66666666666667
calibration,QDM_P_monthly,clim_r,B4_temporal_correspondence,0.6936591381691478,0.9834107130182107,0.2897515748490628,60,60,100.0
calibration,QDM_P_monthly,annual_r,B4_temporal_correspondence,0.11579390740877353,0.12236769085663154,0.0065737834478579865,35,60,58.333333333333336
calibration,QDM_P_monthly,Rx1day_relbias_pct,B2_distributional_fidelity,54.28981837313661,21.21872732317181,-33.0710910499648,50,60,83.33333333333334
validation,QDM_NP_annual,PBIAS,B1_systematic_bias,19.990949741096326,13.465261252848277,-6.525688488248047,36,60,60.0
validation,QDM_NP_annual,KS_D,B2_distributional_fidelity,0.20063208933936244,0.1056946948637431,-0.09493739447561936,50,60,83.33333333333334
validation,QDM_NP_annual,q95_relbias_pct,B2_distributional_fidelity,39.61940206706085,24.91846747849762,-14.70093458856321,38,60,63.33333333333333
validation,QDM_NP_annual,q99_relbias_pct,B2_distributional_fidelity,52.9787809452552,24.785059108818544,-28.19372183643667,44,60,73.33333333333333
validation,QDM_NP_annual,mRMSE,B3_error_based,116.20256271663513,124.73690738144519,8.534344664810062,22,60,36.666666666666664
validation,QDM_NP_annual,mMAE,B3_error_based,78.15033508259027,81.05864544355784,2.9083103609675374,25,60,41.66666666666667
validation,QDM_NP_annual,mNSE,B3_error_based,-0.7107145730292879,-0.9730129337649037,-0.2622983607356158,22,60,36.666666666666664
validation,QDM_NP_annual,mKGE,B3_error_based,0.22917119312902437,0.2031893157842557,-0.02598187734476867,25,60,41.66666666666667
validation,QDM_NP_annual,mr,B4_temporal_correspondence,0.34238073694503796,0.32819976393784456,-0.014180973007193362,20,60,33.33333333333333
validation,QDM_NP_annual,clim_r,B4_temporal_correspondence,0.6434297680356094,0.6293680095279509,-0.01406175850765847,28,60,46.666666666666664
validation,QDM_NP_annual,annual_r,B4_temporal_correspondence,0.02445442142546237,0.03816694545690396,0.013712524031441598,37,60,61.66666666666667
validation,QDM_NP_annual,Rx1day_relbias_pct,B2_distributional_fidelity,43.03568805877182,21.169337880533423,-21.8663501782384,45,60,75.0
validation,QDM_NP_monthly,PBIAS,B1_systematic_bias,19.990949741096326,13.805487367650905,-6.185462373445422,37,60,61.66666666666667
validation,QDM_NP_monthly,KS_D,B2_distributional_fidelity,0.20063208933936244,0.1010065587145917,-0.09962553062477077,52,60,86.66666666666667
validation,QDM_NP_monthly,q95_relbias_pct,B2_distributional_fidelity,39.61940206706085,28.105207875558182,-11.514194191502646,38,60,63.33333333333333
validation,QDM_NP_monthly,q99_relbias_pct,B2_distributional_fidelity,52.9787809452552,27.374827977869927,-25.603952967385286,43,60,71.66666666666667
validation,QDM_NP_monthly,mRMSE,B3_error_based,116.20256271663513,109.45301175132585,-6.749550965309288,38,60,63.33333333333333
validation,QDM_NP_monthly,mMAE,B3_error_based,78.15033508259027,70.46851710948701,-7.681817973103264,38,60,63.33333333333333
validation,QDM_NP_monthly,mNSE,B3_error_based,-0.7107145730292879,-0.516251306353432,0.19446326667585584,38,60,63.33333333333333
validation,QDM_NP_monthly,mKGE,B3_error_based,0.22917119312902437,0.3293344707516443,0.10016327762261996,41,60,68.33333333333333
validation,QDM_NP_monthly,mr,B4_temporal_correspondence,0.34238073694503796,0.42491992244182347,0.08253918549678545,48,60,80.0
validation,QDM_NP_monthly,clim_r,B4_temporal_correspondence,0.6434297680356094,0.8798282756214193,0.23639850758581002,59,60,98.33333333333333
validation,QDM_NP_monthly,annual_r,B4_temporal_correspondence,0.02445442142546237,-0.027101128353710435,-0.05155554977917279,21,60,35.0
validation,QDM_NP_monthly,Rx1day_relbias_pct,B2_distributional_fidelity,43.03568805877182,24.756276710817637,-18.27941134795418,43,60,71.66666666666667
validation,QDM_P_annual,PBIAS,B1_systematic_bias,19.990949741096326,21.870382393927244,1.87943265283092,25,60,41.66666666666667
validation,QDM_P_annual,KS_D,B2_distributional_fidelity,0.20063208933936244,0.14104767906634058,-0.05958441027302185,40,60,66.66666666666666
validation,QDM_P_annual,q95_relbias_pct,B2_distributional_fidelity,39.61940206706085,39.77974099495362,0.160338927892789,36,60,60.0
validation,QDM_P_annual,q99_relbias_pct,B2_distributional_fidelity,52.9787809452552,44.86177540505068,-8.117005540204543,34,60,56.666666666666664
validation,QDM_P_annual,mRMSE,B3_error_based,116.20256271663513,122.01226526035732,5.8097025437222,29,60,48.333333333333336
validation,QDM_P_annual,mMAE,B3_error_based,78.15033508259027,80.13543917470369,1.9851040921134278,29,60,48.333333333333336
validation,QDM_P_annual,mNSE,B3_error_based,-0.7107145730292879,-0.9640648044204317,-0.253350231391144,29,60,48.333333333333336
validation,QDM_P_annual,mKGE,B3_error_based,0.22917119312902437,0.1673111021742281,-0.06186009095479625,28,60,46.666666666666664
validation,QDM_P_annual,mr,B4_temporal_correspondence,0.34238073694503796,0.34354354757896977,0.0011628106339317953,29,60,48.333333333333336
validation,QDM_P_annual,clim_r,B4_temporal_correspondence,0.6434297680356094,0.6455839210517212,0.002154153016111903,33,60,55.00000000000001
validation,QDM_P_annual,annual_r,B4_temporal_correspondence,0.02445442142546237,0.033560642356693905,0.00910622093123155,38,60,63.33333333333333
validation,QDM_P_annual,Rx1day_relbias_pct,B2_distributional_fidelity,43.03568805877182,42.803357504335416,-0.23233055443638903,27,60,45.0
validation,QDM_P_monthly,PBIAS,B1_systematic_bias,19.990949741096326,15.72846526264241,-4.262484478453918,37,60,61.66666666666667
validation,QDM_P_monthly,KS_D,B2_distributional_fidelity,0.20063208933936244,0.09794240705251192,-0.10268968228685053,51,60,85.0
validation,QDM_P_monthly,q95_relbias_pct,B2_distributional_fidelity,39.61940206706085,29.87421615816432,-9.745185908896508,39,60,65.0
validation,QDM_P_monthly,q99_relbias_pct,B2_distributional_fidelity,52.9787809452552,32.59839697201571,-20.3803839732395,39,60,65.0
validation,QDM_P_monthly,mRMSE,B3_error_based,116.20256271663513,101.91191191170678,-14.290650804928339,47,60,78.33333333333333
validation,QDM_P_monthly,mMAE,B3_error_based,78.15033508259027,66.60473680544182,-11.545598277148452,49,60,81.66666666666667
validation,QDM_P_monthly,mNSE,B3_error_based,-0.7107145730292879,-0.3017744769066836,0.4089400961226042,47,60,78.33333333333333
validation,QDM_P_monthly,mKGE,B3_error_based,0.22917119312902437,0.3553910688784418,0.12621987574941748,48,60,80.0
validation,QDM_P_monthly,mr,B4_temporal_correspondence,0.34238073694503796,0.44339911128093673,0.10101837433589875,54,60,90.0
validation,QDM_P_monthly,clim_r,B4_temporal_correspondence,0.6434297680356094,0.8721036707740041,0.2286739027383947,59,60,98.33333333333333
validation,QDM_P_monthly,annual_r,B4_temporal_correspondence,0.02445442142546237,-0.013338910225763877,-0.03779333165122624,23,60,38.333333333333336
validation,QDM_P_monthly,Rx1day_relbias_pct,B2_distributional_fidelity,43.03568805877182,29.433695274496596,-13.601992784275222,38,60,63.33333333333333
