model,station,obs_wet_fraction,model_raw_wet_fraction,model_wet_threshold_mm,obs_wet_mean_mm,model_wet_mean_mm,n_obs_cal,n_mod_cal
MIROC6,351001,0.2142,0.4144,3.2173,12.7264,10.879,7974,8035
MIROC6,351002,0.2337,0.4144,2.8507,12.1004,10.2225,7699,8035
MIROC6,351003,0.2308,0.4322,3.1776,15.9675,11.2923,7915,8035
MIROC6,351004,0.2475,0.4144,2.6086,12.8145,9.8038,8004,8035
MIROC6,351005,0.2281,0.4144,2.9424,13.4133,10.4023,7824,8035
MIROC6,351006,0.5754,0.4322,0.398,5.5212,5.3511,8035,8035
MIROC6,351007,0.5844,0.4322,0.374,5.4705,5.2739,8035,8035
MIROC6,351008,0.5334,0.4144,0.4965,5.7901,5.2293,8035,8035
MIROC6,351009,0.6266,0.4144,0.271,5.1772,4.5089,8035,8035
MIROC6,351010,0.5966,0.4322,0.3396,5.2672,5.1724,8035,8035
MIROC6,351011,0.2418,0.4144,2.7022,12.3698,9.973,8035,8035
MIROC6,351012,0.2154,0.4322,3.5115,12.1679,11.8625,8004,8035
MIROC6,351201,0.2522,0.4144,2.509,11.5435,9.6714,8004,8035
MRI-ESM2-0,351001,0.2142,0.5109,3.6721,12.7264,9.189,7974,8035
MRI-ESM2-0,351002,0.2337,0.5109,3.3244,12.1004,8.7132,7699,8035
MRI-ESM2-0,351003,0.2308,0.5109,3.3823,15.9675,8.7797,7915,8035
MRI-ESM2-0,351004,0.2475,0.5109,3.1256,12.8145,8.4073,8004,8035
MRI-ESM2-0,351005,0.2281,0.5109,3.441,13.4133,8.847,7824,8035
MRI-ESM2-0,351006,0.5754,0.4337,0.521,5.5212,3.8694,8035,8035
MRI-ESM2-0,351007,0.5844,0.4885,0.582,5.4705,4.1148,8035,8035
MRI-ESM2-0,351008,0.5334,0.5109,0.8965,5.7901,4.8531,8035,8035
MRI-ESM2-0,351009,0.6266,0.5109,0.596,5.1772,4.2436,8035,8035
MRI-ESM2-0,351010,0.5966,0.4337,0.472,5.2672,3.7511,8035,8035
MRI-ESM2-0,351011,0.2418,0.5109,3.2152,12.3698,8.5311,8035,8035
MRI-ESM2-0,351012,0.2154,0.4337,2.9841,12.1679,8.0377,8004,8035
MRI-ESM2-0,351201,0.2522,0.5109,3.0574,11.5435,8.3076,8004,8035
