method,model,station,family,grouping,group,period,usable,note,wet_threshold_obs_mm,wet_threshold_model_mm,n_obs_wet_cal,n_mod_wet_cal,n_input,n_wet_target,n_delta_clipped_low,n_delta_clipped_high,n_output_capped,output_cap_mm,max_output_mm,obs_dist,obs_aic,obs_ks_d,obs_ks_p,mod_dist,mod_aic,mod_ks_d,mod_ks_p
QDM_NP_annual,ACCESS-ESM1-5,500001,nonparametric,annual,all,calibration,True,,1.0,2.1512224503764545,1625,1625,7305,1625,0,0,0,,130.0,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500001,nonparametric,annual,all,validation,True,,1.0,2.1512224503764545,1625,1625,5113,1347,0,0,0,,178.70822586042252,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500002,nonparametric,annual,all,calibration,True,,1.0,4.762107460643393,1618,1618,7305,1618,0,0,0,,147.0,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500002,nonparametric,annual,all,validation,True,,1.0,4.762107460643393,1618,1618,5113,1206,0,0,0,,319.5498824684499,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500003,nonparametric,annual,all,calibration,True,,1.0,1.992,1781,1782,7305,1782,0,0,0,,181.3,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500003,nonparametric,annual,all,validation,True,,1.0,1.992,1781,1782,5113,1467,0,0,0,,252.4801021396522,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500004,nonparametric,annual,all,calibration,True,,1.0,4.779441615331963,1613,1613,7305,1613,0,0,0,,107.2,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500004,nonparametric,annual,all,validation,True,,1.0,4.779441615331963,1613,1613,5113,1203,0,0,0,,236.14992153369178,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500005,nonparametric,annual,all,calibration,True,,1.0,1.08,4174,4175,7305,4175,0,0,0,,48.3,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500005,nonparametric,annual,all,validation,True,,1.0,1.08,4174,4175,5113,3022,0,0,0,,104.53882060609402,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500006,nonparametric,annual,all,calibration,True,,1.0,1.055,4240,4242,7305,4242,0,0,0,,46.1,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500006,nonparametric,annual,all,validation,True,,1.0,1.055,4240,4242,5113,3062,0,0,0,,100.20631321535839,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500007,nonparametric,annual,all,calibration,True,,1.0,0.997,3874,3876,7305,3876,0,0,0,,146.5,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500007,nonparametric,annual,all,validation,True,,1.0,0.997,3874,3876,5113,2947,0,0,0,,201.430184802574,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500008,nonparametric,annual,all,calibration,True,,1.0,0.797,4555,4559,7305,4559,0,0,0,,68.0,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500008,nonparametric,annual,all,validation,True,,1.0,0.797,4555,4559,5113,3417,0,0,0,,91.73113400778155,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500009,nonparametric,annual,all,calibration,True,,1.0,0.854,4333,4334,7305,4334,0,0,0,,48.8,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500009,nonparametric,annual,all,validation,True,,1.0,0.854,4333,4334,5113,3286,0,0,0,,68.20732105772184,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500201,nonparametric,annual,all,calibration,True,,1.0,4.272470636550308,1719,1719,7305,1719,0,0,0,,296.9,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500201,nonparametric,annual,all,validation,True,,1.0,4.272470636550308,1719,1719,5113,1290,0,0,0,,617.5835107666163,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500202,nonparametric,annual,all,calibration,True,,1.0,2.238,1559,1560,7305,1560,0,0,0,,298.5,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500202,nonparametric,annual,all,validation,True,,1.0,2.238,1559,1560,5113,1291,0,0,0,,410.91707497379537,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500301,nonparametric,annual,all,calibration,True,,1.0,1.9412507871321014,1832,1832,7305,1832,0,0,0,,188.0,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500301,nonparametric,annual,all,validation,True,,1.0,1.9412507871321014,1832,1832,5113,1508,0,0,0,,264.5442794370816,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=4, model=4",1.0,4.267006451612904,4,4,620,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,01,validation,False,"insufficient wet days obs=4, model=4",1.0,4.267006451612904,4,4,434,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=18, model=18",1.0,3.2277203539823014,18,18,565,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,02,validation,False,"insufficient wet days obs=18, model=18",1.0,3.2277203539823014,18,18,395,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,03,calibration,False,"insufficient wet days obs=22, model=22",1.0,2.7423903225806447,22,22,620,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,03,validation,False,"insufficient wet days obs=22, model=22",1.0,2.7423903225806447,22,22,434,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,04,calibration,True,,1.0,1.5427333333333333,110,110,600,110,0,0,0,,87.6,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,04,validation,True,,1.0,1.5427333333333333,110,110,420,91,0,0,0,,63.9165183638786,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,05,calibration,True,,1.0,1.2723338709677419,207,207,620,207,0,0,0,,130.0,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,05,validation,True,,1.0,1.2723338709677419,207,207,434,130,0,0,0,,97.25228228980383,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,06,calibration,True,,1.0,4.078016666666667,190,190,600,190,0,0,0,,58.9,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,06,validation,True,,1.0,4.078016666666667,190,190,420,137,0,0,0,,147.5894103003826,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,07,calibration,True,,1.0,2.2038870967741944,259,259,620,259,0,0,0,,82.2,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,07,validation,True,,1.0,2.2038870967741944,259,259,434,196,0,0,0,,76.99677448307708,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,08,calibration,True,,1.0,1.1901419354838707,332,332,620,332,0,0,0,,87.4,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,08,validation,True,,1.0,1.1901419354838707,332,332,434,237,0,0,0,,72.60042800128905,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,09,calibration,True,,1.0,2.14362,262,262,600,262,0,0,0,,96.3,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,09,validation,True,,1.0,2.14362,262,262,420,201,0,0,0,,91.17723732976874,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,10,calibration,True,,1.0,2.4376129032258063,160,160,620,160,0,0,0,,80.0,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,10,validation,True,,1.0,2.4376129032258063,160,160,434,197,0,0,0,,55.309184986997465,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,11,calibration,True,,1.0,3.2039900000000037,54,54,600,54,0,0,0,,35.1,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,11,validation,True,,1.0,3.2039900000000037,54,54,420,42,0,0,0,,34.39710927573062,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,12,calibration,False,"insufficient wet days obs=7, model=7",1.0,3.6551580645161286,7,7,620,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,12,validation,False,"insufficient wet days obs=7, model=7",1.0,3.6551580645161286,7,7,434,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=9, model=9",1.0,2.990020967741932,9,9,620,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,01,validation,False,"insufficient wet days obs=9, model=9",1.0,2.990020967741932,9,9,434,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=14, model=14",1.0,3.145007079646018,14,14,565,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,02,validation,False,"insufficient wet days obs=14, model=14",1.0,3.145007079646018,14,14,395,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,03,calibration,True,,1.0,2.461429032258065,38,38,620,38,0,0,0,,46.5,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,03,validation,True,,1.0,2.461429032258065,38,38,434,38,0,0,0,,67.34342105263158,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,04,calibration,True,,1.0,1.6074116666666667,121,121,600,121,0,0,0,,141.4,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,04,validation,True,,1.0,1.6074116666666667,121,121,420,118,0,0,0,,36.72453233965725,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,05,calibration,True,,1.0,1.8128145161290312,199,199,620,199,0,0,0,,134.2,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,05,validation,True,,1.0,1.8128145161290312,199,199,434,128,0,0,0,,71.83939622909922,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,06,calibration,True,,1.0,10.48876,188,188,600,188,0,0,0,,115.4,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,06,validation,True,,1.0,10.48876,188,188,420,131,0,0,0,,296.4108910141786,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,07,calibration,True,,1.0,7.036637096774194,275,275,620,275,0,0,0,,118.5,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,07,validation,True,,1.0,7.036637096774194,275,275,434,214,0,0,0,,118.06030028514746,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,08,calibration,True,,1.0,3.9963064516129037,329,329,620,329,0,0,0,,147.0,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,08,validation,True,,1.0,3.9963064516129037,329,329,434,204,0,0,0,,170.77793439594853,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,09,calibration,True,,1.0,6.810254999999996,249,249,600,249,0,0,0,,97.1,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,09,validation,True,,1.0,6.810254999999996,249,249,420,156,0,0,0,,83.34187062224251,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,10,calibration,True,,1.0,7.2883032258064535,132,132,620,132,0,0,0,,80.4,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,10,validation,True,,1.0,7.2883032258064535,132,132,434,160,0,0,0,,79.66328473828608,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,11,calibration,True,,1.0,5.230583333333328,50,50,600,50,0,0,0,,72.8,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,11,validation,True,,1.0,5.230583333333328,50,50,420,40,0,0,0,,65.82988449407551,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,12,calibration,False,"insufficient wet days obs=14, model=14",1.0,2.704406451612903,14,14,620,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,12,validation,False,"insufficient wet days obs=14, model=14",1.0,2.704406451612903,14,14,434,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=9, model=9",1.0,3.1767145161290298,9,9,620,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,01,validation,False,"insufficient wet days obs=9, model=9",1.0,3.1767145161290298,9,9,434,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=19, model=19",1.0,3.1448247787610626,19,19,565,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,02,validation,False,"insufficient wet days obs=19, model=19",1.0,3.1448247787610626,19,19,395,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,03,calibration,True,,1.0,2.372132258064516,41,41,620,41,0,0,0,,67.2,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,03,validation,True,,1.0,2.372132258064516,41,41,434,43,0,0,0,,111.98778625954199,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,04,calibration,True,,1.0,1.3529866666666668,148,148,600,148,0,0,0,,76.3,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,04,validation,True,,1.0,1.3529866666666668,148,148,420,130,0,0,0,,55.11820696420949,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,05,calibration,True,,1.0,1.1557870967741934,244,244,620,244,0,0,0,,123.0,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,05,validation,True,,1.0,1.1557870967741934,244,244,434,157,0,0,0,,85.66813803373888,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,06,calibration,True,,1.0,3.3657666666666666,212,212,600,212,0,0,0,,62.8,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,06,validation,True,,1.0,3.3657666666666666,212,212,420,157,0,0,0,,160.97756114556324,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,07,calibration,True,,1.0,2.1217016129032253,265,265,620,265,0,0,0,,157.0,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,07,validation,True,,1.0,2.1217016129032253,265,265,434,201,0,0,0,,147.93510811541455,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,08,calibration,True,,1.0,1.2245483870967742,320,320,620,320,0,0,0,,181.3,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,08,validation,True,,1.0,1.2245483870967742,320,320,434,229,0,0,0,,146.56734223490216,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,09,calibration,True,,1.0,2.0933500000000005,270,270,600,270,0,0,0,,129.0,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,09,validation,True,,1.0,2.0933500000000005,270,270,420,203,0,0,0,,100.43560638050585,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,10,calibration,True,,1.0,2.148448387096777,182,182,620,182,0,0,0,,98.2,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,10,validation,True,,1.0,2.148448387096777,182,182,434,214,0,0,0,,53.631811026293995,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,11,calibration,True,,1.0,3.1346766666666666,58,58,600,58,0,0,0,,92.4,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,11,validation,True,,1.0,3.1346766666666666,58,58,420,45,0,0,0,,58.803987877476686,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,12,calibration,False,"insufficient wet days obs=13, model=13",1.0,3.0558032258064496,13,13,620,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500003,nonparametric,monthly,12,validation,False,"insufficient wet days obs=13, model=13",1.0,3.0558032258064496,13,13,434,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=9, model=9",1.0,2.990020967741932,9,9,620,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,01,validation,False,"insufficient wet days obs=9, model=9",1.0,2.990020967741932,9,9,434,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=22, model=22",1.0,2.8349345132743364,22,22,565,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,02,validation,False,"insufficient wet days obs=22, model=22",1.0,2.8349345132743364,22,22,395,0,0,0,0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500004,nonparametric,monthly,03,calibration,True,,1.0,2.4683580645161287,37,37,620,37,0,0,0,,59.0,,,,,,,,
