Dataset,Model,Scenario,Station,Year,n_expected_days,n_observed_records,n_valid,completeness_pct,missing_days,status
Historical,ACCESS-ESM1-5,Historical,351002,2012,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,2013,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351002,2014,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1981,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1982,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1983,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1984,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1985,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1986,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1987,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1988,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1989,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1990,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1991,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1992,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1993,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1994,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1995,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1996,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1997,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1998,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,1999,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2000,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2001,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2002,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2003,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2004,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2005,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2006,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2007,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2008,366,366,366,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2009,365,365,365,100.0,0,OK
Historical,ACCESS-ESM1-5,Historical,351003,2010,365,365,365,100.0,0,OK
