method,model,station,family,grouping,group,period,usable,note,fallback_used,applied_grouping,applied_group,wet_threshold_obs_mm,wet_threshold_model_mm,n_obs_wet_cal,n_mod_wet_cal,n_input,n_wet_target,n_delta_clipped_low,n_delta_clipped_high,n_output_capped,output_cap_mm,max_output_mm,obs_dist,obs_aic,obs_ks_d,obs_ks_p,obs_n_params,mod_dist,mod_aic,mod_ks_d,mod_ks_p,mod_n_params
QDM_NP_annual,ACCESS-ESM1-5,500001,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,1.9992420260095825,1768,1768,7305,1768,0,0,0,,130.0,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500001,nonparametric,annual,all,validation,True,,False,annual,all,0.5,1.9992420260095825,1768,1768,5113,1457,0,0,0,,178.58428204151443,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500002,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,4.196713347022587,1737,1737,7305,1737,0,0,0,,147.0,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500002,nonparametric,annual,all,validation,True,,False,annual,all,0.5,4.196713347022587,1737,1737,5113,1301,0,0,0,,319.5695064852269,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500003,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,1.8245409993155373,1976,1976,7305,1976,0,0,0,,181.3,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500003,nonparametric,annual,all,validation,True,,False,annual,all,0.5,1.8245409993155373,1976,1976,5113,1598,0,0,0,,252.28694261371487,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500004,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,4.63257056810404,1639,1639,7305,1639,0,0,0,,107.2,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500004,nonparametric,annual,all,validation,True,,False,annual,all,0.5,4.63257056810404,1639,1639,5113,1227,0,0,0,,236.18532772332793,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500005,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,0.777,4890,4889,7305,4889,0,0,0,,48.299877275516515,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500005,nonparametric,annual,all,validation,True,,False,annual,all,0.5,0.777,4890,4889,5113,3548,0,0,0,,104.55226430396448,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500006,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,0.753,4948,4947,7305,4947,0,0,0,,46.09972710733708,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500006,nonparametric,annual,all,validation,True,,False,annual,all,0.5,0.753,4948,4947,5113,3601,0,0,0,,100.14837207213142,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500007,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,0.785,4601,4598,7305,4598,0,0,0,,146.49080034797393,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500007,nonparametric,annual,all,validation,True,,False,annual,all,0.5,0.785,4601,4598,5113,3442,0,0,0,,201.13303234792767,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500008,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,0.627710472279261,5190,5190,7305,5190,0,0,0,,68.0,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500008,nonparametric,annual,all,validation,True,,False,annual,all,0.5,0.627710472279261,5190,5190,5113,3801,0,0,0,,91.3697809458929,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500009,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,0.682,4993,4990,7305,4990,0,0,0,,48.79867735470964,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500009,nonparametric,annual,all,validation,True,,False,annual,all,0.5,0.682,4993,4990,5113,3673,0,0,0,,68.17532060489896,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500201,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,3.1812740588637918,2002,2002,7305,2002,0,0,0,,296.9,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500201,nonparametric,annual,all,validation,True,,False,annual,all,0.5,3.1812740588637918,2002,2002,5113,1498,0,0,0,,617.4232395456391,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500202,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,1.958248323066393,1814,1814,7305,1814,0,0,0,,298.5,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500202,nonparametric,annual,all,validation,True,,False,annual,all,0.5,1.958248323066393,1814,1814,5113,1496,0,0,0,,410.7203493251621,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500301,nonparametric,annual,all,calibration,True,,False,annual,all,0.5,1.7442863791923346,2092,2092,7305,2092,0,0,0,,188.0,,,,,,,,,,
QDM_NP_annual,ACCESS-ESM1-5,500301,nonparametric,annual,all,validation,True,,False,annual,all,0.5,1.7442863791923346,2092,2092,5113,1691,0,0,0,,264.6394009410413,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=8, model=8",True,annual,all,0.5,3.362316129032257,8,8,620,61,4,0,0,,14.520655737704912,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,01,validation,False,"insufficient wet days obs=8, model=8",True,annual,all,0.5,3.362316129032257,8,8,434,60,0,0,0,,18.232692287947433,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=18, model=18",True,annual,all,0.5,3.2277203539823014,18,18,565,85,4,0,0,,15.056000000000001,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,02,validation,False,"insufficient wet days obs=18, model=18",True,annual,all,0.5,3.2277203539823014,18,18,395,63,3,0,0,,14.557460317460318,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,03,calibration,False,"insufficient wet days obs=29, model=29",True,annual,all,0.5,2.595514516129032,29,29,620,65,5,0,0,,14.591999999999999,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,03,validation,False,"insufficient wet days obs=29, model=29",True,annual,all,0.5,2.595514516129032,29,29,434,59,1,0,0,,14.355762711864404,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,04,calibration,True,,False,monthly,04,0.5,1.516,116,115,600,115,0,0,0,,87.5413043478261,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,04,validation,True,,False,monthly,04,0.5,1.516,116,115,420,96,0,0,0,,63.80018640661067,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,05,calibration,True,,False,monthly,05,0.5,1.2218903225806448,224,224,620,224,0,0,0,,130.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,05,validation,True,,False,monthly,05,0.5,1.2218903225806448,224,224,434,141,0,0,0,,96.67329078407998,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,06,calibration,True,,False,monthly,06,0.5,3.352923333333333,214,214,600,214,0,0,0,,58.9,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,06,validation,True,,False,monthly,06,0.5,3.352923333333333,214,214,420,157,0,0,0,,146.8866392851294,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,07,calibration,True,,False,monthly,07,0.5,1.942933870967741,283,283,620,283,0,0,0,,82.2,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,07,validation,True,,False,monthly,07,0.5,1.942933870967741,283,283,434,212,0,0,0,,76.99703754705946,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,08,calibration,True,,False,monthly,08,0.5,1.0906451612903225,360,360,620,360,0,0,0,,87.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,08,validation,True,,False,monthly,08,0.5,1.0906451612903225,360,360,434,252,0,0,0,,72.77751834732813,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,09,calibration,True,,False,monthly,09,0.5,2.0285000000000006,275,275,600,275,0,0,0,,96.3,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,09,validation,True,,False,monthly,09,0.5,2.0285000000000006,275,275,420,208,0,0,0,,91.92661614375669,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,10,calibration,True,,False,monthly,10,0.5,2.2730693548387095,173,173,620,173,0,0,0,,80.0,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,10,validation,True,,False,monthly,10,0.5,2.2730693548387095,173,173,434,204,0,0,0,,56.0244128037989,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,11,calibration,True,,False,monthly,11,0.5,2.978506666666668,61,61,600,61,0,0,0,,35.1,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,11,validation,True,,False,monthly,11,0.5,2.978506666666668,61,61,420,46,0,0,0,,34.15953903949641,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,12,calibration,False,"insufficient wet days obs=7, model=7",True,annual,all,0.5,3.6551580645161286,7,7,620,58,4,0,0,,14.267931034482764,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500001,nonparametric,monthly,12,validation,False,"insufficient wet days obs=7, model=7",True,annual,all,0.5,3.6551580645161286,7,7,434,50,1,0,0,,17.252842390963224,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,01,calibration,False,"insufficient wet days obs=11, model=11",True,annual,all,0.5,2.8496032258064514,11,11,620,3,0,0,0,,6.753826530612246,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,01,validation,False,"insufficient wet days obs=11, model=11",True,annual,all,0.5,2.8496032258064514,11,11,434,9,0,0,0,,22.33399290759007,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,02,calibration,False,"insufficient wet days obs=16, model=16",True,annual,all,0.5,3.015840707964602,16,16,565,7,0,0,0,,11.564257037519384,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,02,validation,False,"insufficient wet days obs=16, model=16",True,annual,all,0.5,3.015840707964602,16,16,395,6,0,0,0,,9.19181905678537,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,03,calibration,True,,False,monthly,03,0.5,2.439609677419355,42,42,620,42,0,0,0,,46.5,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,03,validation,True,,False,monthly,03,0.5,2.439609677419355,42,42,434,38,0,0,0,,66.8025866050808,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,04,calibration,True,,False,monthly,04,0.5,1.5606550000000001,131,131,600,131,0,0,0,,141.4,,,,,,,,,,
QDM_NP_monthly,ACCESS-ESM1-5,500002,nonparametric,monthly,04,validation,True,,False,monthly,04,0.5,1.5606550000000001,131,131,420,126,0,0,0,,36.80164030634701,,,,,,,,,,
