result_id,region,source_dataset,sha256_hash,analysis_function,table_id,figure_id,validation_status
RES_Observed_Rain_daily_198101_201412_PrachuapKhiriKhan.csv,PrachuapKhiriKhan,CMIP6PrachuapKhiriKhan/data/Observed_Rain_daily_198101_201412_PrachuapKhiriKhan.csv,c0d96fa605901ad08b5c9222d94840d26bf3b179acd01781c62d1d2b8e6700d7,run_pipeline,Table_01 to Table_06,Figure_01 to Figure_06,PASSED
RES_noaa_cpc_oni_ersstv6_2026-09-01.html,PrachuapKhiriKhan,CMIP6PrachuapKhiriKhan/inputs/enso/noaa_cpc_oni_ersstv6_2026-09-01.html,ab9278cf270a412c89b6a9b8fd5641a5167e67a706f43695411a310e211d5c5e,run_pipeline,Table_01 to Table_06,Figure_01 to Figure_06,PASSED
