model,season_type,ENSO_phase,station,index,mag_err_raw,mag_err_qdm,delta_mag_err
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,SDII,125.96,133.41,7.45
CanESM5,HOT_DRY,EL_NINO,351001,SDII,138.22,78.04,-60.18
CESM2,HOT_DRY,EL_NINO,351001,SDII,101.14,66.25,-34.89
EC-Earth3,HOT_DRY,EL_NINO,351001,SDII,103.3,111.98,8.68
FGOALS-g3,HOT_DRY,EL_NINO,351001,SDII,138.39,87.14,-51.25
MIROC6,HOT_DRY,EL_NINO,351001,SDII,57.84,142.05,84.21
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,SDII,128.18,52.24,-75.94
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351001,wet_day_freq,12.15,13.01,0.86
CanESM5,HOT_DRY,EL_NINO,351001,wet_day_freq,32.64,50.04,17.4
CESM2,HOT_DRY,EL_NINO,351001,wet_day_freq,44.91,149.56,104.65
EC-Earth3,HOT_DRY,EL_NINO,351001,wet_day_freq,35.89,78.16,42.27
FGOALS-g3,HOT_DRY,EL_NINO,351001,wet_day_freq,46.46,39.65,-6.81
MIROC6,HOT_DRY,EL_NINO,351001,wet_day_freq,49.23,90.59,41.36
MRI-ESM2-0,HOT_DRY,EL_NINO,351001,wet_day_freq,40.85,27.78,-13.07
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,CDD,17.09,32.92,15.83
CanESM5,HOT_DRY,EL_NINO,351002,CDD,10.79,46.68,35.89
CESM2,HOT_DRY,EL_NINO,351002,CDD,5.04,27.58,22.54
EC-Earth3,HOT_DRY,EL_NINO,351002,CDD,23.1,6.11,-16.99
FGOALS-g3,HOT_DRY,EL_NINO,351002,CDD,27.36,20.75,-6.61
MIROC6,HOT_DRY,EL_NINO,351002,CDD,28.35,3.37,-24.98
MRI-ESM2-0,HOT_DRY,EL_NINO,351002,CDD,16.25,28.29,12.04
ACCESS-ESM1-5,HOT_DRY,EL_NINO,351002,CWD,24.17,44.05,19.88
CanESM5,HOT_DRY,EL_NINO,351002,CWD,18.22,45.83,27.61
CESM2,HOT_DRY,EL_NINO,351002,CWD,29.72,69.04,39.32
EC-Earth3,HOT_DRY,EL_NINO,351002,CWD,5.13,6.14,1.01
