source_type,model,season_type,station,index,A_LaNina_pct,A_ElNino_pct,ASYM_pct,A_LaNina_abs,A_ElNino_abs,ASYM_abs
OBSERVED,OBSERVED,HOT_DRY,351005,wet_day_freq,-13.53,-48.49,34.96,-2.212,-7.928,5.716
OBSERVED,OBSERVED,HOT_DRY,351006,CDD,5.32,-4.44,9.76,2.756,-2.3,5.056
OBSERVED,OBSERVED,HOT_DRY,351006,CWD,66.67,0.81,65.86,4.133,0.05,4.083
OBSERVED,OBSERVED,HOT_DRY,351006,PRCPTOT,-13.97,-47.07,33.1,-46.747,-157.53,110.783
OBSERVED,OBSERVED,HOT_DRY,351006,R20mm,-23.28,-88.1,64.82,-0.978,-3.7,2.722
OBSERVED,OBSERVED,HOT_DRY,351006,R50mm,-55.56,-100.0,44.44,-0.556,-1.0,0.444
OBSERVED,OBSERVED,HOT_DRY,351006,R95p,-43.08,-92.69,49.61,-86.376,-185.87,99.494
OBSERVED,OBSERVED,HOT_DRY,351006,R99p,-59.44,-93.47,34.03,-87.602,-137.755,50.153
OBSERVED,OBSERVED,HOT_DRY,351006,Rx1day,-35.78,-63.11,27.33,-21.798,-38.445,16.647
OBSERVED,OBSERVED,HOT_DRY,351006,Rx5day,-22.84,-62.5,39.66,-23.096,-63.215,40.119
OBSERVED,OBSERVED,HOT_DRY,351006,SDII,-32.7,-55.57,22.87,-5.02,-8.53,3.51
OBSERVED,OBSERVED,HOT_DRY,351006,wet_day_freq,31.32,12.62,18.7,5.185,2.089,3.096
OBSERVED,OBSERVED,HOT_DRY,351007,CDD,-21.92,-15.06,-6.86,-11.356,-7.8,-3.556
OBSERVED,OBSERVED,HOT_DRY,351007,CWD,70.25,0.81,69.44,4.356,0.05,4.306
OBSERVED,OBSERVED,HOT_DRY,351007,PRCPTOT,4.02,-37.55,41.57,13.769,-128.62,142.389
OBSERVED,OBSERVED,HOT_DRY,351007,R20mm,-17.99,-70.24,52.25,-0.756,-2.95,2.194
OBSERVED,OBSERVED,HOT_DRY,351007,R50mm,-25.93,-79.17,53.24,-0.311,-0.95,0.639
