season_id,climate_year,season_type,ENSO_phase,station,PRCPTOT,wet_day_freq,SDII,Rx1day,Rx5day,R20mm,R50mm,R95p,R99p,CDD,CWD,source_type,model
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351001,561.48,57.07,5.35,25.42,98.52,2,0,0.0,0.0,11,14,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351002,561.48,57.07,5.35,25.42,98.52,2,0,0.0,0.0,11,14,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351003,464.07,42.93,5.87,33.45,107.09,4,0,0.0,0.0,14,12,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351004,464.07,42.93,5.87,33.45,107.09,4,0,0.0,0.0,14,12,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351005,561.48,57.07,5.35,25.42,98.52,2,0,0.0,0.0,11,14,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351006,464.07,42.93,5.87,33.45,107.09,4,0,106.36,0.0,14,12,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351007,464.07,42.93,5.87,33.45,107.09,4,0,125.44,0.0,14,12,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351008,464.07,42.93,5.87,33.45,107.09,4,0,125.44,0.0,14,12,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351009,561.48,57.07,5.35,25.42,98.52,2,0,235.34,47.69,11,14,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351010,464.07,42.93,5.87,33.45,107.09,4,0,175.06,85.81,14,12,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351011,561.48,57.07,5.35,25.42,98.52,2,0,0.0,0.0,11,14,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351012,464.07,42.93,5.87,33.45,107.09,4,0,0.0,0.0,14,12,RAW_CMIP6,ACCESS-ESM1-5
1995_RAIN,1995,RAINY,TRANSITION_UNCLASSIFIED,351201,561.48,57.07,5.35,25.42,98.52,2,0,0.0,0.0,11,14,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351001,316.82,33.52,5.19,26.37,85.13,2,0,0.0,0.0,30,9,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351002,316.82,33.52,5.19,26.37,85.13,2,0,0.0,0.0,30,9,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351003,195.82,28.57,3.77,13.32,38.6,0,0,0.0,0.0,30,8,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351004,195.82,28.57,3.77,13.32,38.6,0,0,0.0,0.0,30,8,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351005,316.82,33.52,5.19,26.37,85.13,2,0,0.0,0.0,30,9,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351006,195.82,28.57,3.77,13.32,38.6,0,0,0.0,0.0,30,8,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351007,195.82,28.57,3.77,13.32,38.6,0,0,0.0,0.0,30,8,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351008,195.82,28.57,3.77,13.32,38.6,0,0,0.0,0.0,30,8,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351009,316.82,33.52,5.19,26.37,85.13,2,0,107.24,52.52,30,9,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351010,195.82,28.57,3.77,13.32,38.6,0,0,0.0,0.0,30,8,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351011,316.82,33.52,5.19,26.37,85.13,2,0,0.0,0.0,30,9,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351012,195.82,28.57,3.77,13.32,38.6,0,0,0.0,0.0,30,8,RAW_CMIP6,ACCESS-ESM1-5
1995_1996_HOT_DRY,1995,HOT_DRY,LA_NINA,351201,316.82,33.52,5.19,26.37,85.13,2,0,0.0,0.0,30,9,RAW_CMIP6,ACCESS-ESM1-5
1996_RAIN,1996,RAINY,NEUTRAL,351001,359.47,48.37,4.04,23.2,82.89,1,0,0.0,0.0,11,13,RAW_CMIP6,ACCESS-ESM1-5
