source_type,model,season_type,station,ENSO_phase,index,neutral_value,phase_value,abs_response,pct_response
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,wet_day_freq,53.987,38.262,-15.725,-29.13
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,SDII,11.03,13.064,2.034,18.44
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,Rx1day,71.017,86.52,15.503,21.83
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,Rx5day,116.55,141.78,25.23,21.65
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,R20mm,11.0,11.6,0.6,5.45
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,R50mm,2.0,2.0,0.0,0.0
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,R95p,194.617,214.44,19.823,10.19
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,R99p,56.567,66.26,9.693,17.14
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,CDD,8.167,12.4,4.233,51.84
OBSERVED,OBSERVED,RAINY,351005,LA_NINA,CWD,30.667,9.2,-21.467,-70.0
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,PRCPTOT,901.95,943.2,41.25,4.57
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,wet_day_freq,71.287,88.045,16.758,23.51
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,SDII,8.555,5.81,-2.745,-32.09
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,Rx1day,64.2,41.6,-22.6,-35.2
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,Rx5day,98.033,85.2,-12.833,-13.09
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,R20mm,6.167,5.0,-1.167,-18.92
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,R50mm,0.5,0.0,-0.5,-100.0
OBSERVED,OBSERVED,RAINY,351006,EL_NINO,R95p,217.783,147.4,-70.383,-32.32
