season_type,ENSO_phase,station,index,observed_pct_response,raw_dir_agreement,qdm_dir_agreement
HOT_DRY,EL_NINO,351008,wet_day_freq,36.12,0.86,0.57
HOT_DRY,EL_NINO,351009,CDD,16.03,0.57,0.43
HOT_DRY,EL_NINO,351009,CWD,-6.25,0.43,0.57
HOT_DRY,EL_NINO,351009,PRCPTOT,-8.5,0.57,0.14
HOT_DRY,EL_NINO,351009,R20mm,-37.5,0.43,0.29
HOT_DRY,EL_NINO,351009,R50mm,0.0,0.86,0.71
HOT_DRY,EL_NINO,351009,R95p,-9.43,0.57,0.29
HOT_DRY,EL_NINO,351009,R99p,-15.5,0.57,0.29
HOT_DRY,EL_NINO,351009,Rx1day,13.13,0.43,0.71
HOT_DRY,EL_NINO,351009,Rx5day,-15.47,0.57,0.43
HOT_DRY,EL_NINO,351009,SDII,-5.69,0.57,0.29
HOT_DRY,EL_NINO,351009,wet_day_freq,-3.61,0.14,0.14
HOT_DRY,EL_NINO,351010,CDD,8.37,0.14,0.43
HOT_DRY,EL_NINO,351010,CWD,-14.06,0.57,0.43
HOT_DRY,EL_NINO,351010,PRCPTOT,-10.94,0.57,0.14
HOT_DRY,EL_NINO,351010,R20mm,-37.5,0.14,0.14
HOT_DRY,EL_NINO,351010,R50mm,0.0,0.86,0.57
HOT_DRY,EL_NINO,351010,R95p,-29.31,0.43,0.14
HOT_DRY,EL_NINO,351010,R99p,-9.8,0.29,0.14
HOT_DRY,EL_NINO,351010,Rx1day,7.36,0.57,0.71
HOT_DRY,EL_NINO,351010,Rx5day,-18.1,0.57,0.29
HOT_DRY,EL_NINO,351010,SDII,-3.82,0.57,0.14
HOT_DRY,EL_NINO,351010,wet_day_freq,-5.1,0.14,0.43
HOT_DRY,EL_NINO,351011,CDD,-12.6,0.43,0.57
HOT_DRY,EL_NINO,351011,CWD,-26.14,0.43,0.71
HOT_DRY,EL_NINO,351011,PRCPTOT,3.91,0.43,0.86
HOT_DRY,EL_NINO,351011,R20mm,0.96,0.57,0.29
HOT_DRY,EL_NINO,351011,R50mm,75.0,0.0,0.0
HOT_DRY,EL_NINO,351011,R95p,63.71,0.0,0.0
HOT_DRY,EL_NINO,351011,R99p,3.89,0.0,0.0
HOT_DRY,EL_NINO,351011,Rx1day,23.0,0.43,0.71
