YEAR,MONTH,SEASON_LABEL,ONI
1950,1,DJF,-1.53
1950,2,JFM,-1.34
1950,3,FMA,-1.16
1950,4,MAM,-1.18
1950,5,AMJ,-1.07
1950,6,MJJ,-0.85
1950,7,JJA,-0.54
1950,8,JAS,-0.42
1950,9,ASO,-0.39
1950,10,SON,-0.44
1950,11,OND,-0.6
1950,12,NDJ,-0.8
1951,1,DJF,-0.82
1951,2,JFM,-0.54
1951,3,FMA,-0.17
1951,4,MAM,0.18
1951,5,AMJ,0.36
1951,6,MJJ,0.58
1951,7,JJA,0.7
1951,8,JAS,0.89
1951,9,ASO,0.99
1951,10,SON,1.15
1951,11,OND,1.04
1951,12,NDJ,0.81
1952,1,DJF,0.53
1952,2,JFM,0.37
1952,3,FMA,0.34
1952,4,MAM,0.29
1952,5,AMJ,0.2
1952,6,MJJ,0.0
1952,7,JJA,-0.08
1952,8,JAS,0.0
1952,9,ASO,0.15
1952,10,SON,0.1
1952,11,OND,0.04
1952,12,NDJ,0.15
1953,1,DJF,0.4
1953,2,JFM,0.6
1953,3,FMA,0.63
1953,4,MAM,0.66
1953,5,AMJ,0.75
1953,6,MJJ,0.77
1953,7,JJA,0.75
1953,8,JAS,0.73
1953,9,ASO,0.78
1953,10,SON,0.84
1953,11,OND,0.84
1953,12,NDJ,0.81
1954,1,DJF,0.76
1954,2,JFM,0.47
1954,3,FMA,-0.05
1954,4,MAM,-0.41
1954,5,AMJ,-0.54
1954,6,MJJ,-0.5
1954,7,JJA,-0.64
1954,8,JAS,-0.84
1954,9,ASO,-0.9
1954,10,SON,-0.77
1954,11,OND,-0.73
1954,12,NDJ,-0.66
1955,1,DJF,-0.68
1955,2,JFM,-0.62
1955,3,FMA,-0.69
1955,4,MAM,-0.8
1955,5,AMJ,-0.79
1955,6,MJJ,-0.72
1955,7,JJA,-0.68
1955,8,JAS,-0.75
1955,9,ASO,-1.09
1955,10,SON,-1.42
1955,11,OND,-1.67
1955,12,NDJ,-1.47
1956,1,DJF,-1.11
1956,2,JFM,-0.76
1956,3,FMA,-0.63
1956,4,MAM,-0.54
1956,5,AMJ,-0.52
1956,6,MJJ,-0.51
1956,7,JJA,-0.57
1956,8,JAS,-0.55
1956,9,ASO,-0.46
1956,10,SON,-0.42
1956,11,OND,-0.43
1956,12,NDJ,-0.43
1957,1,DJF,-0.25
1957,2,JFM,0.06
1957,3,FMA,0.41
1957,4,MAM,0.72
1957,5,AMJ,0.92
1957,6,MJJ,1.11
1957,7,JJA,1.25
1957,8,JAS,1.32
1957,9,ASO,1.33
1957,10,SON,1.39
1957,11,OND,1.53
1957,12,NDJ,1.74
1958,1,DJF,1.81
1958,2,JFM,1.66
1958,3,FMA,1.27
1958,4,MAM,0.93
1958,5,AMJ,0.74
1958,6,MJJ,0.64
1958,7,JJA,0.57
1958,8,JAS,0.43
1958,9,ASO,0.39
1958,10,SON,0.44
1958,11,OND,0.5
1958,12,NDJ,0.61
1959,1,DJF,0.61
1959,2,JFM,0.62
1959,3,FMA,0.52
1959,4,MAM,0.33
1959,5,AMJ,0.2
1959,6,MJJ,-0.07
1959,7,JJA,-0.18
1959,8,JAS,-0.28
1959,9,ASO,-0.09
1959,10,SON,-0.03
1959,11,OND,0.05
1959,12,NDJ,-0.04
1960,1,DJF,-0.1
1960,2,JFM,-0.1
1960,3,FMA,-0.07
1960,4,MAM,0.03
1960,5,AMJ,0.02
1960,6,MJJ,0.03
1960,7,JJA,0.13
1960,8,JAS,0.24
1960,9,ASO,0.27
1960,10,SON,0.2
1960,11,OND,0.12
1960,12,NDJ,0.05
1961,1,DJF,0.04
1961,2,JFM,0.03
1961,3,FMA,0.04
1961,4,MAM,0.09
1961,5,AMJ,0.23
1961,6,MJJ,0.27
1961,7,JJA,0.14
1961,8,JAS,-0.13
1961,9,ASO,-0.3
1961,10,SON,-0.26
1961,11,OND,-0.19
1961,12,NDJ,-0.16
1962,1,DJF,-0.24
1962,2,JFM,-0.22
1962,3,FMA,-0.2
1962,4,MAM,-0.26
1962,5,AMJ,-0.28
1962,6,MJJ,-0.2
1962,7,JJA,-0.04
1962,8,JAS,-0.07
1962,9,ASO,-0.11
1962,10,SON,-0.22
1962,11,OND,-0.31
1962,12,NDJ,-0.43
1963,1,DJF,-0.4
1963,2,JFM,-0.15
1963,3,FMA,0.15
1963,4,MAM,0.27
1963,5,AMJ,0.31
1963,6,MJJ,0.52
