source_type,model,season_type,station,ENSO_phase,index,neutral_value,phase_value,abs_response,pct_response
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,wet_day_freq,21.628,15.988,-5.64,-26.08
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,SDII,4.136,3.636,-0.5,-12.09
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,Rx1day,15.172,10.71,-4.462,-29.41
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,Rx5day,41.454,22.282,-19.172,-46.25
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,R20mm,0.4,0.0,-0.4,-100.0
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,R50mm,0.0,0.0,0.0,0.0
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,R95p,0.0,0.0,0.0,0.0
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,R99p,0.0,0.0,0.0,0.0
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,CDD,51.2,41.2,-10.0,-19.53
QDM,ACCESS-ESM1-5,HOT_DRY,351011,EL_NINO,CWD,8.0,4.4,-3.6,-45.0
QDM,ACCESS-ESM1-5,HOT_DRY,351011,LA_NINA,PRCPTOT,163.426,113.399,-50.027,-30.61
QDM,ACCESS-ESM1-5,HOT_DRY,351011,LA_NINA,wet_day_freq,21.628,17.939,-3.689,-17.06
QDM,ACCESS-ESM1-5,HOT_DRY,351011,LA_NINA,SDII,4.136,3.49,-0.646,-15.62
QDM,ACCESS-ESM1-5,HOT_DRY,351011,LA_NINA,Rx1day,15.172,10.693,-4.479,-29.52
QDM,ACCESS-ESM1-5,HOT_DRY,351011,LA_NINA,Rx5day,41.454,25.757,-15.697,-37.87
QDM,ACCESS-ESM1-5,HOT_DRY,351011,LA_NINA,R20mm,0.4,0.111,-0.289,-72.22
