Scenario,Horizon,Usable,R95p median (%),R95p IQR (%),R95p agreement,R95p robust,R99p median (%),R99p IQR (%),R99p agreement,R99p robust,CDD median (%),CDD IQR (%),CDD agreement,CDD robust,CWD median (%),CWD IQR (%),CWD agreement,CWD robust
SSP245,Near (2021–2050),yes,14.9,0.2 to 20.8,0.71,no,29.5,-7.3 to 45.3,0.71,no,-2.1,-4.4 to 7.2,0.57,no,6.6,2.1 to 11.5,0.86,yes
SSP585,Near (2021–2050),yes,-4.9,-21.9 to 12.4,0.57,no,16.3,-31.5 to 45.9,0.57,no,0.4,-3.4 to 10.9,0.57,no,4.5,3.1 to 12.4,0.86,yes
