Scenario,Horizon,Usable,Rx1day median (%),Rx1day IQR (%),Rx1day agreement,Rx1day robust,Rx5day median (%),Rx5day IQR (%),Rx5day agreement,Rx5day robust,R20mm median (%),R20mm IQR (%),R20mm agreement,R20mm robust,R50mm median (%),R50mm IQR (%),R50mm agreement,R50mm robust
SSP245,Near (2021–2050),yes,8.3,-2.8 to 12.4,0.71,no,7.6,-0.1 to 14.7,0.71,no,6.7,-2.5 to 16.2,0.71,no,27.0,6.7 to 38.5,0.71,no
SSP585,Near (2021–2050),yes,-3.8,-11.1 to 4.8,0.71,no,-1.9,-6.6 to 14.5,0.57,no,-7.5,-10.4 to 10.2,0.57,no,0.8,-22.4 to 18.0,0.57,no
