,Series,MK_Z,MK_p,MK_slope,MK_sig,MMK_Z,MMK_p,MMK_slope,MMK_sig,PW_Z,PW_p,PW_slope,PW_sig,TFPW_Z,TFPW_p,TFPW_slope,TFPW_sig
0,Annual,0.3261,0.7443,0.8302,No,0.3261,0.7443,0.8302,No,0.1394,0.8891,0.8302,No,0.1704,0.8647,0.8302,No
1,Wet Season,-0.6523,0.5142,-1.3814,No,-0.6523,0.5142,-1.3814,No,-0.5423,0.5876,-1.3814,No,-0.6043,0.5457,-1.3814,No
2,Dry Season,1.8038,0.0713,3.1274,No,1.8038,0.0713,3.1274,No,1.601,0.1094,3.1274,No,1.2749,0.2023,3.1274,No
3,Annual_500001,1.1416,0.2536,7.41,No,1.1416,0.2536,7.41,No,0.1704,0.8647,7.41,No,0.5733,0.5664,7.41,No
4,Annual_500002,2.2533,0.0242,9.175,Yes,1.8619,0.0626,9.175,No,2.1537,0.0313,9.175,Yes,2.4326,0.015,9.175,Yes
5,Annual_500003,-1.4528,0.1463,-5.9333,No,-1.4528,0.1463,-5.9333,No,-0.7592,0.4477,-5.9333,No,-1.503,0.1328,-5.9333,No
6,Annual_500004,0.5337,0.5936,2.3552,No,0.5337,0.5936,2.3552,No,0.9452,0.3446,2.3552,No,1.0691,0.285,2.3552,No
7,Annual_500005,-0.2372,0.8125,-1.09,No,-0.2372,0.8125,-1.09,No,-0.0775,0.9382,-1.09,No,-0.1394,0.8891,-1.09,No
