,n,phi,MK,MMK,PW,TFPW
0,30,0.0,0.0493,0.0263,0.0433,0.0513
1,30,0.3,0.1267,0.0513,0.0397,0.1383
2,30,0.6,0.304,0.1093,0.041,0.375
3,40,0.0,0.049,0.0107,0.039,0.0453
4,40,0.3,0.1287,0.025,0.036,0.143
5,40,0.6,0.3023,0.0557,0.0423,0.3707
6,50,0.0,0.053,0.0093,0.059,0.0577
7,50,0.3,0.1467,0.0283,0.0463,0.1613
8,50,0.6,0.2967,0.058,0.042,0.3773
9,60,0.0,0.0443,0.009,0.05,0.0507
10,60,0.3,0.1347,0.0233,0.05,0.158
11,60,0.6,0.312,0.0693,0.052,0.407
