model,scenario,window,index,future_regional,obs_baseline_regional,model_baseline_regional,delta_obs_abs,delta_model_abs,delta_obs_pct,delta_model_pct,mean_station_delta_obs_pct,mean_station_delta_model_pct
ACCESS-ESM1-5,ssp585,Near-term,Rx1day,68.78107692307694,77.04499999999999,64.46476923076924,-8.26392307692305,4.316307692307703,-10.72609913287436,6.695607141408203,1.3095040603053598,6.223502617664688
ACCESS-ESM1-5,ssp585,Near-term,Rx5day,164.41438461538462,143.93307692307692,177.9120384615385,20.481307692307695,-13.497653846153867,14.229743523966803,-7.586700688088528,18.599979543881744,-7.711037127037016
ACCESS-ESM1-5,ssp585,Near-term,SDII,11.996969299566263,10.353471721306391,12.112299273668722,1.643497578259872,-0.11532997410245827,15.873879047524909,-0.9521724281794905,20.958948808387767,-0.8666583582382803
CESM2,ssp245,Near-term,CDD,56.0576923076923,47.615384615384606,59.06923076923077,8.442307692307693,-3.0115384615384713,17.730210016155095,-5.098320093762225,19.478153181373173,-4.759159348032143
CESM2,ssp245,Near-term,CWD,10.807692307692308,32.13461538461539,11.530769230769229,-21.32692307692308,-0.7230769230769205,-66.3674446439258,-6.270847231487637,-30.24447535594613,-6.151556069075429
CESM2,ssp245,Near-term,PRCPTOT,1042.6528846153847,1119.6969230769232,1138.776615384615,-77.04403846153855,-96.1237307692304,-6.880793978590368,-8.440964581694118,-5.37865441676596,-8.424357914078628
CESM2,ssp245,Near-term,R10mm,33.26153846153846,30.700000000000003,37.10384615384615,2.561538461538454,-3.842307692307692,8.34377349035327,-10.355550948481392,10.694659925781856,-10.356532485234842
CESM2,ssp245,Near-term,R20mm,14.36153846153846,12.01923076923077,16.1,2.34230769230769,-1.7384615384615412,19.487999999999982,-10.79789775441951,57.67335498375668,-10.62201338628833
CESM2,ssp245,Near-term,R50mm,2.2807692307692307,2.15,2.338461538461538,0.13076923076923075,-0.05769230769230749,6.082289803220035,-2.4671052631578863,180.20275354874997,0.2202317692510998
CESM2,ssp245,Near-term,R95p,356.1648076923077,297.47653846153844,385.9436153846154,58.688269230769265,-29.77880769230768,19.728705172612205,-7.715844103971342,27.640442019194204,-5.10109594012145
CESM2,ssp245,Near-term,R99p,154.47573076923078,117.43846153846152,160.9365,37.037269230769255,-6.460769230769216,31.537597432370493,-4.014483495521039,58.571120713303046,4.986570992430387
CESM2,ssp245,Near-term,Rx1day,69.0705,77.04499999999999,78.78607692307693,-7.974499999999992,-9.715576923076938,-10.350444545395538,-12.331591192899191,1.8784825140993198,-12.311428976426193
CESM2,ssp245,Near-term,Rx5day,165.21496153846152,143.93307692307692,178.61292307692307,21.281884615384598,-13.397961538461544,14.785958217761447,-7.501115433115362,19.574436182678046,-7.166869021604394
CESM2,ssp245,Near-term,SDII,12.270900307690782,10.353471721306391,12.439641461925769,1.917428586384391,-0.16874115423498637,18.519667972227307,-1.356479242198864,23.81376916914477,-1.353818650923865
CESM2,ssp585,Near-term,CDD,61.85384615384615,47.615384615384606,59.06923076923077,14.238461538461543,2.7846153846153783,29.903069466882084,4.714155488995952,32.21822828297093,5.196713304984495
CESM2,ssp585,Near-term,CWD,11.338461538461537,32.13461538461539,11.530769230769229,-20.79615384615385,-0.19230769230769162,-64.71573907839617,-1.6677785190126695,-26.777829029831132,0.23759304149241625
CESM2,ssp585,Near-term,PRCPTOT,1010.8334615384616,1119.6969230769232,1138.776615384615,-108.86346153846159,-127.94315384615345,-9.722582896745415,-11.235140598926105,-8.27467600810252,-11.159883177639843
CESM2,ssp585,Near-term,R10mm,32.79615384615385,30.700000000000003,37.10384615384615,2.0961538461538467,-4.3076923076922995,6.827862691054874,-11.609826889188327,9.057765728526316,-11.507848508513838
CESM2,ssp585,Near-term,R20mm,13.784615384615385,12.01923076923077,16.1,1.7653846153846153,-2.315384615384616,14.688,-14.381270903010035,51.645527618542204,-14.559875407132845
CESM2,ssp585,Near-term,R50mm,1.9769230769230768,2.15,2.338461538461538,-0.17307692307692313,-0.36153846153846136,-8.050089445438285,-15.460526315789469,151.18226227074044,-15.403479325645732
CESM2,ssp585,Near-term,R95p,325.1470384615385,297.47653846153844,385.9436153846154,27.67050000000006,-60.796576923076884,9.301741960258038,-15.752709592692584,16.782007913474224,-15.25760977907047
CESM2,ssp585,Near-term,R99p,132.90396153846152,117.43846153846152,160.9365,15.465499999999992,-28.03253846153848,13.169024693783975,-17.418384556355132,38.453831886833775,-18.239564621412768
CESM2,ssp585,Near-term,Rx1day,73.26403846153848,77.04499999999999,78.78607692307693,-3.7809615384615114,-5.5220384615384575,-4.90747165742295,-7.008901416591562,8.777878758133737,-7.146106408368734
CESM2,ssp585,Near-term,Rx5day,182.72211538461536,143.93307692307692,178.61292307692307,38.78903846153844,4.109192307692297,26.949356805780447,2.3006131006111996,32.27876169102264,2.0365964892703228
CESM2,ssp585,Near-term,SDII,11.827923021617382,10.353471721306391,12.439641461925769,1.4744513003109905,-0.6117184403083868,14.241129352550601,-4.917492535300831,19.316490121366186,-4.968786166097811
CanESM5,ssp245,Near-term,CDD,64.21538461538461,47.615384615384606,64.26923076923076,16.6,-0.05384615384615188,34.86268174474961,-0.0837821663674416,37.60841032104745,0.9490013751176826
CanESM5,ssp245,Near-term,CWD,10.076923076923077,32.13461538461539,9.569230769230769,-22.05769230769231,0.5076923076923077,-68.64153201675643,5.305466237942122,-35.41913724279516,8.858606785479255
CanESM5,ssp245,Near-term,PRCPTOT,1001.5915769230768,1119.6969230769232,925.9381923076924,-118.10534615384643,75.65338461538443,-10.547974520577707,8.17045729875721,-9.10937297804983,8.203395275639553
CanESM5,ssp245,Near-term,R10mm,31.91923076923077,30.700000000000003,29.65,1.2192307692307658,2.26923076923077,3.9714357303933734,7.653392139058247,6.264269732790071,7.644420904554417
CanESM5,ssp245,Near-term,R20mm,13.607692307692306,12.01923076923077,12.738461538461538,1.5884615384615355,0.8692307692307679,13.215999999999974,6.823671497584531,50.50465842557878,6.897538975711982
CanESM5,ssp245,Near-term,R50mm,2.1538461538461537,2.15,1.6807692307692308,0.0038461538461538325,0.47307692307692295,0.17889087656529454,28.14645308924484,176.31265244415687,33.26779296425504
CanESM5,ssp245,Near-term,R95p,335.87957692307685,297.47653846153844,298.4729615384615,38.403038461538415,37.40661538461535,12.909602437942732,12.532664664767331,20.543247650924773,12.172312117284541
CanESM5,ssp245,Near-term,R99p,142.8703846153846,117.43846153846152,115.94376923076922,25.431923076923084,26.92661538461539,21.655531538612703,23.223857188066635,47.51330055600807,29.31247182368489
CanESM5,ssp245,Near-term,Rx1day,66.16746153846154,77.04499999999999,67.29165384615385,-10.87753846153845,-1.1241923076923115,-14.118422300653451,-1.6706266578950584,-2.1704223263791103,-1.8337040644829332
CanESM5,ssp245,Near-term,Rx5day,144.9846923076923,143.93307692307692,149.03107692307694,1.0516153846153884,-4.046384615384625,0.730628016225492,-2.7151280786041587,4.8534312823993035,-2.927992863481882
CanESM5,ssp245,Near-term,SDII,11.479382778140227,10.353471721306391,11.614997636167177,1.1259110568338357,-0.1356148580269494,10.87471996969698,-1.1675840346679642,16.359830090080596,-0.6542120902555523
CanESM5,ssp585,Near-term,CDD,66.89615384615385,47.615384615384606,64.26923076923076,19.280769230769245,2.6269230769230916,40.49273021001619,4.0873728306403585,42.02483539484404,4.032810200078367
CanESM5,ssp585,Near-term,CWD,9.623076923076924,32.13461538461539,9.569230769230769,-22.511538461538464,0.05384615384615543,-70.05385996409336,0.5627009646302417,-39.05820424682942,1.1337451684128026
CanESM5,ssp585,Near-term,PRCPTOT,965.5084615384616,1119.6969230769232,925.9381923076924,-154.18846153846164,39.57026923076921,-13.77055329532855,4.273532462479945,-12.464217051047806,4.541184367007614
CanESM5,ssp585,Near-term,R10mm,30.115384615384617,30.700000000000003,29.65,-0.5846153846153861,0.46538461538461817,-1.9042846404409968,1.5695939810611068,0.2168639403289361,1.592442228996717
CanESM5,ssp585,Near-term,R20mm,12.919230769230769,12.01923076923077,12.738461538461538,0.8999999999999986,0.18076923076923102,7.487999999999988,1.4190821256038668,44.72467165258343,1.696620394212478
CanESM5,ssp585,Near-term,R50mm,1.9576923076923078,2.15,1.6807692307692308,-0.19230769230769207,0.27692307692307705,-8.944543828264747,16.475972540045774,151.5174667060631,30.182838305861626
CanESM5,ssp585,Near-term,R95p,321.84484615384616,297.47653846153844,298.4729615384615,24.368307692307724,23.37188461538466,8.191673810087169,7.830486384735034,15.556716367102592,12.630102101936016
CanESM5,ssp585,Near-term,R99p,143.91707692307693,117.43846153846152,115.94376923076922,26.47861538461541,27.973307692307714,22.54680028820334,24.126615753392414,49.20112115998366,35.39583171451549
CanESM5,ssp585,Near-term,Rx1day,83.221,77.04499999999999,67.29165384615385,6.176000000000016,15.929346153846154,8.016094490233003,23.67209786560569,24.21567722126997,23.452473261623503
CanESM5,ssp585,Near-term,Rx5day,158.60292307692305,143.93307692307692,149.03107692307694,14.669846153846123,9.57184615384611,10.192129889425086,6.422718235329308,15.596191786331635,6.142556267482193
CanESM5,ssp585,Near-term,SDII,11.520362548621389,10.353471721306391,11.614997636167177,1.1668908273149974,-0.09463508754578775,11.270527014756363,-0.8147663091304451,16.501757407570313,-0.7750184118232308
EC-Earth3,ssp245,Near-term,CDD,60.98461538461538,47.615384615384606,62.16923076923078,13.369230769230775,-1.1846153846153982,28.077544426494367,-1.9054689433308802,30.337434398557644,-0.4612078963548058
EC-Earth3,ssp245,Near-term,CWD,10.703846153846154,32.13461538461539,12.376923076923077,-21.430769230769233,-1.6730769230769234,-66.69060442848594,-13.517712865133625,-30.747014047671783,-13.142711520765586
EC-Earth3,ssp245,Near-term,PRCPTOT,1075.5088846153847,1119.6969230769232,1149.9064230769231,-44.188038461538554,-74.39753846153849,-3.946428497821534,-6.469877632517725,-2.517992368216947,-6.49959041021662
EC-Earth3,ssp245,Near-term,R10mm,34.21153846153846,30.700000000000003,37.26538461538462,3.511538461538457,-3.053846153846159,11.438236031069893,-8.19486015068636,13.766815504301729,-8.308558051913458
EC-Earth3,ssp245,Near-term,R20mm,14.753846153846155,12.01923076923077,16.773076923076925,2.7346153846153847,-2.01923076923077,22.752,-12.038523274478335,63.01303091234791,-12.28072457814349
EC-Earth3,ssp245,Near-term,R50mm,2.253846153846154,2.15,2.3615384615384616,0.10384615384615392,-0.10769230769230775,4.830053667262973,-4.560260586319221,182.14598005050027,1.322818726839009
EC-Earth3,ssp245,Near-term,R95p,366.69673076923084,297.47653846153844,398.3703461538462,69.2201923076924,-31.673615384615346,23.269126589168668,-7.950796461236437,31.668072645338306,-5.526932025488758
EC-Earth3,ssp245,Near-term,R99p,153.02965384615385,117.43846153846152,161.5119230769231,35.591192307692324,-8.482269230769248,30.306248771860897,-5.251791365724379,58.5268774640097,-4.570688691353574
EC-Earth3,ssp245,Near-term,Rx1day,74.89642307692307,77.04499999999999,77.00080769230769,-2.1485769230769165,-2.1043846153846175,-2.788729863166872,-2.7329383657813806,10.572498102421843,-2.975997159787214
EC-Earth3,ssp245,Near-term,Rx5day,160.5750769230769,143.93307692307692,167.81169230769228,16.641999999999967,-7.236615384615391,11.562317957597791,-4.312342772484914,16.168270353378457,-4.517865367524033
EC-Earth3,ssp245,Near-term,SDII,12.078610395057996,10.353471721306391,12.53983076538154,1.725138673751605,-0.46122037032354335,16.66241740151224,-3.6780430210974235,21.929488578006353,-3.7301686107279646
EC-Earth3,ssp585,Near-term,CDD,61.4923076923077,47.615384615384606,62.16923076923078,13.876923076923092,-0.6769230769230816,29.143780290791636,-1.0888393961890694,31.028136035504303,0.17781435102751678
EC-Earth3,ssp585,Near-term,CWD,12.78076923076923,32.13461538461539,12.376923076923077,-19.353846153846156,0.4038461538461533,-60.22740873728307,3.262896208825353,-18.891891647611143,5.403501596494312
EC-Earth3,ssp585,Near-term,PRCPTOT,1226.5256538461538,1119.6969230769232,1149.9064230769231,106.82873076923056,76.61923076923063,9.5408613319813,6.66308398940956,11.213637659493392,6.768032813590009
EC-Earth3,ssp585,Near-term,R10mm,37.42692307692309,30.700000000000003,37.26538461538462,6.726923076923086,0.16153846153846985,21.91180155349539,0.4334812674166803,24.46885141105139,0.49199271577041326
EC-Earth3,ssp585,Near-term,R20mm,18.207692307692312,12.01923076923077,16.773076923076925,6.188461538461542,1.4346153846153875,51.48800000000003,8.553084155010334,108.08805116040354,10.715260544056358
EC-Earth3,ssp585,Near-term,R50mm,3.3346153846153843,2.15,2.3615384615384616,1.1846153846153844,0.9730769230769227,55.0983899821109,41.20521172638435,321.62495011069916,54.4648509043684
EC-Earth3,ssp585,Near-term,R95p,498.88892307692305,297.47653846153844,398.3703461538462,201.4123846153846,100.51857692307686,67.70698141676331,25.232444606772443,78.56781745825053,37.812829313057506
EC-Earth3,ssp585,Near-term,R99p,232.43426923076925,117.43846153846152,161.5119230769231,114.99580769230772,70.92234615384615,97.92005633064784,43.91152355982291,139.3104644381757,58.59395492820144
EC-Earth3,ssp585,Near-term,Rx1day,87.31642307692307,77.04499999999999,77.00080769230769,10.271423076923085,10.315615384615384,13.331719225028344,13.39676257142158,29.20549205648161,13.084519294657683
EC-Earth3,ssp585,Near-term,Rx5day,210.21165384615387,143.93307692307692,167.81169230769228,66.27857692307694,42.39996153846158,46.048190131097265,25.266392916602523,52.65961524128144,24.921508041924046
EC-Earth3,ssp585,Near-term,SDII,13.787769700056629,10.353471721306391,12.53983076538154,3.4342979787502372,1.2479389346750889,33.17049653675879,9.951800451089412,39.02722729083785,9.52691293649812
FGOALS-g3,ssp245,Near-term,CDD,60.30384615384615,47.615384615384606,60.86538461538461,12.688461538461546,-0.5615384615384613,26.647819063004864,-0.9225908372827801,28.67432025600626,-0.8403019581668766
FGOALS-g3,ssp245,Near-term,CWD,11.684615384615386,32.13461538461539,10.065384615384618,-20.450000000000003,1.619230769230768,-63.638539796529024,16.0871226595338,-23.18674830196414,19.014153574975246
FGOALS-g3,ssp245,Near-term,PRCPTOT,1143.3568076923077,1119.6969230769232,1026.0997307692307,23.6598846153845,117.25707692307697,2.1130615015326843,11.427454213945994,3.77785956108891,11.357964919693206
FGOALS-g3,ssp245,Near-term,R10mm,33.75769230769231,30.700000000000003,33.11153846153846,3.0576923076923066,0.646153846153851,9.959909797043343,1.951446160994323,12.322854806865697,2.0255099383702952
FGOALS-g3,ssp245,Near-term,R20mm,15.769230769230772,12.01923076923077,14.30769230769231,3.7500000000000018,1.4615384615384617,31.200000000000014,10.215053763440858,78.2309952990814,13.522861485163672
FGOALS-g3,ssp245,Near-term,R50mm,3.3076923076923075,2.15,1.9576923076923074,1.1576923076923076,1.35,53.84615384615385,68.95874263261298,374.32768104172976,103.41590448195463
FGOALS-g3,ssp245,Near-term,R95p,469.97869230769237,297.47653846153844,339.33146153846155,172.50215384615393,130.64723076923082,57.988490365756086,38.50136093390874,66.63427337058485,58.866905071947386
FGOALS-g3,ssp245,Near-term,R99p,237.0193076923077,117.43846153846152,132.8261923076923,119.58084615384618,104.1931153846154,101.82426147900703,78.44319977437259,134.23913976656348,104.16917600528471
FGOALS-g3,ssp245,Near-term,Rx1day,85.33807692307693,77.04499999999999,74.46665384615385,8.293076923076939,10.87142307692308,10.763939156437068,14.599048722375997,26.290697244636764,15.183531735970256
FGOALS-g3,ssp245,Near-term,Rx5day,207.96338461538457,143.93307692307692,165.11015384615382,64.03030769230764,42.85323076923075,44.486166113524945,25.95432792653109,50.2418797869896,26.32155332431016
FGOALS-g3,ssp245,Near-term,SDII,13.097156502220795,10.353471721306391,12.22214036860616,2.7436847809144034,0.8750161336146345,26.500142703516342,7.159270857845853,31.91376275370164,7.426521158422824
FGOALS-g3,ssp585,Near-term,CDD,57.034615384615385,47.615384615384606,60.86538461538461,9.41923076923078,-3.830769230769228,19.78190630048468,-6.2938388625592365,21.448555483061586,-6.480905705866126
FGOALS-g3,ssp585,Near-term,CWD,10.7,32.13461538461539,10.065384615384618,-21.434615384615388,0.6346153846153815,-66.70257330939558,6.304929308368328,-30.77327904846423,7.3802720976114164
FGOALS-g3,ssp585,Near-term,PRCPTOT,1112.301346153846,1119.6969230769232,1026.0997307692307,-7.395576923077215,86.20161538461525,-0.6604981018215353,8.400900302351015,0.8944513816288248,8.381113485030532
FGOALS-g3,ssp585,Near-term,R10mm,32.761538461538464,30.700000000000003,33.11153846153846,2.0615384615384613,-0.3499999999999943,6.715108995239287,-1.0570333372052332,9.035135581718539,-0.9261721474115506
FGOALS-g3,ssp585,Near-term,R20mm,15.403846153846157,12.01923076923077,14.30769230769231,3.384615384615387,1.0961538461538467,28.160000000000018,7.661290322580648,74.97726647550056,11.02565912424989
FGOALS-g3,ssp585,Near-term,R50mm,3.0230769230769234,2.15,1.9576923076923074,0.8730769230769235,1.065384615384616,40.608228980322025,54.42043222003934,305.9018689139826,87.77864389410533
FGOALS-g3,ssp585,Near-term,R95p,447.771076923077,297.47653846153844,339.33146153846155,150.29453846153854,108.43961538461542,50.523156965190566,31.95684092862233,57.906203521087896,52.64986611896547
FGOALS-g3,ssp585,Near-term,R99p,216.8484230769231,117.43846153846152,132.8261923076923,99.40996153846157,84.02223076923079,84.64855570839069,63.25727577479073,113.69498384197945,79.49318270036581
FGOALS-g3,ssp585,Near-term,Rx1day,88.0903076923077,77.04499999999999,74.46665384615385,11.045307692307716,13.623653846153857,14.336177159202697,18.294972504471556,29.553536726294574,19.477648287864902
FGOALS-g3,ssp585,Near-term,Rx5day,210.71969230769236,143.93307692307692,165.11015384615382,66.78661538461543,45.609538461538534,46.40115865813709,27.6237029638023,51.9304485660675,28.506468062321588
FGOALS-g3,ssp585,Near-term,SDII,12.847107348264823,10.353471721306391,12.22214036860616,2.493635626958431,0.6249669796586623,24.08501895868207,5.1134004422331385,29.45953766983463,5.4515742801375975
MIROC6,ssp245,Near-term,CDD,58.95000000000001,47.615384615384606,60.084615384615375,11.334615384615404,-1.1346153846153655,23.80452342487888,-1.888362565612566,26.513145118109247,-0.24870325207016802
MIROC6,ssp245,Near-term,CWD,12.165384615384614,32.13461538461539,11.826923076923077,-19.969230769230773,0.33846153846153726,-62.14242968282466,2.8617886178861687,-23.073042869945308,3.0433589544397828
MIROC6,ssp245,Near-term,PRCPTOT,1072.5841153846154,1119.6969230769232,1119.2274615384617,-47.1128076923078,-46.64334615384632,-4.207639292500864,-4.167459051597212,-2.636526840762821,-4.268905906091493
MIROC6,ssp245,Near-term,R10mm,33.33461538461539,30.700000000000003,36.09615384615385,2.634615384615387,-2.761538461538457,8.581809070408426,-7.650506126798071,10.972898127390305,-7.723248035656761
MIROC6,ssp245,Near-term,R20mm,15.192307692307692,12.01923076923077,16.349999999999998,3.1730769230769216,-1.1576923076923062,26.399999999999984,-7.080686897200652,70.34169020227475,-6.702816570634429
MIROC6,ssp245,Near-term,R50mm,2.396153846153846,2.15,2.323076923076923,0.24615384615384617,0.07307692307692326,11.449016100178891,3.145695364238419,160.4107692209829,0.9367184288591304
MIROC6,ssp245,Near-term,R95p,385.44338461538456,297.47653846153844,389.33788461538467,87.96684615384612,-3.8945000000001073,29.571019821860542,-1.0002879642312148,37.97969786903171,0.18320755596417695
MIROC6,ssp245,Near-term,R99p,164.13611538461538,117.43846153846152,154.42892307692307,46.697653846153855,9.70719230769231,39.76350953035961,6.285864146612633,68.9725381219732,11.262437188017588
MIROC6,ssp245,Near-term,Rx1day,83.07973076923076,77.04499999999999,70.7266923076923,6.034730769230777,12.35303846153846,7.8327351148429845,17.46587894680172,21.623172964873053,16.99064265068385
MIROC6,ssp245,Near-term,Rx5day,191.3578076923077,143.93307692307692,163.21642307692306,47.42473076923076,28.141384615384624,32.949153719944626,17.241760409197138,38.02896795661516,16.81903627057059
MIROC6,ssp245,Near-term,SDII,12.590345513903994,10.353471721306391,12.62704541894697,2.2368737925976028,-0.036699905042976155,21.605060146099053,-0.2906452287556334,26.823773154784053,-0.6858535880605948
MIROC6,ssp585,Near-term,CDD,60.42692307692308,47.615384615384606,60.084615384615375,12.811538461538476,0.3423076923077062,26.9063004846527,0.56970938420179,28.707705947444904,1.181429162490205
MIROC6,ssp585,Near-term,CWD,11.957692307692309,32.13461538461539,11.826923076923077,-20.176923076923078,0.13076923076923208,-62.78874925194494,1.1056910569105802,-22.83351404894668,0.549425605175079
MIROC6,ssp585,Near-term,PRCPTOT,1150.908076923077,1119.6969230769232,1119.2274615384617,31.21115384615382,31.680615384615294,2.7874644649719746,2.8305788120198483,4.312585769336597,3.0568544331738794
MIROC6,ssp585,Near-term,R10mm,36.011538461538464,30.700000000000003,36.09615384615385,5.311538461538461,-0.08461538461538254,17.30142821348033,-0.23441662226957335,19.864771515980657,-0.22732192381272862
MIROC6,ssp585,Near-term,R20mm,16.415384615384617,12.01923076923077,16.349999999999998,4.396153846153847,0.0653846153846196,36.57600000000001,0.3999059044930863,83.9203490106959,0.5095858759567417
MIROC6,ssp585,Near-term,R50mm,2.746153846153846,2.15,2.323076923076923,0.5961538461538463,0.42307692307692335,27.72808586762076,18.21192052980134,257.40162995971144,30.928411352513063
MIROC6,ssp585,Near-term,R95p,430.26830769230776,297.47653846153844,389.33788461538467,132.79176923076932,40.93042307692309,44.63940918417616,10.5128282384739,54.004131891628134,10.680722356078935
MIROC6,ssp585,Near-term,R99p,200.5766923076923,117.43846153846152,154.42892307692307,83.13823076923077,46.14776923076923,70.79301761970264,29.882853749995018,104.69951066026012,42.9253314106624
MIROC6,ssp585,Near-term,Rx1day,79.56876923076922,77.04499999999999,70.7266923076923,2.5237692307692328,8.842076923076917,3.2757080028155405,12.501753771560505,19.659240248049606,12.460953074119967
MIROC6,ssp585,Near-term,Rx5day,205.30534615384613,143.93307692307692,163.21642307692306,61.372269230769206,42.088923076923066,42.639447820301086,25.787186291349354,50.270321938574064,26.310653154078754
MIROC6,ssp585,Near-term,SDII,12.84440233076999,10.353471721306391,12.62704541894697,2.4909306094635983,0.21735691182301942,24.058892287671164,1.7213600221701415,30.19962686531964,1.7051028118286693
MRI-ESM2-0,ssp245,Near-term,CDD,62.98461538461539,47.615384615384606,61.73076923076924,15.369230769230782,1.2538461538461476,32.27786752827144,2.0311526479750674,34.234403240059365,2.3453446945321903
MRI-ESM2-0,ssp245,Near-term,CWD,12.615384615384617,32.13461538461539,12.015384615384615,-19.51923076923077,0.6000000000000014,-60.74207061639736,4.993597951344442,-19.15054354891561,3.8966967013857308
MRI-ESM2-0,ssp245,Near-term,PRCPTOT,1095.5410000000002,1119.6969230769232,986.4539999999998,-24.155923076923045,109.08700000000033,-2.1573626379665893,11.058498419591826,-0.5471189847888207,10.942585907133061
MRI-ESM2-0,ssp245,Near-term,R10mm,35.53076923076923,30.700000000000003,31.680769230769233,4.830769230769228,3.849999999999998,15.73540466048608,12.152482700012133,18.199669944744134,12.016559709349442
MRI-ESM2-0,ssp245,Near-term,R20mm,15.403846153846157,12.01923076923077,14.246153846153847,3.384615384615387,1.1576923076923098,28.160000000000018,8.126349892008653,69.61040806162806,7.4999924613207645
MRI-ESM2-0,ssp245,Near-term,R50mm,2.1115384615384616,2.15,1.973076923076923,-0.038461538461538325,0.13846153846153864,-1.7889087656529454,7.017543859649132,138.69056193035064,6.094666563148787
MRI-ESM2-0,ssp245,Near-term,R95p,364.73369230769237,297.47653846153844,331.45842307692305,67.25715384615393,33.27526923076931,22.609229687150535,10.039047709777757,30.957644905241754,11.373834394751762
MRI-ESM2-0,ssp245,Near-term,R99p,147.03923076923078,117.43846153846152,135.6455,29.60076923076926,11.393730769230785,25.205344861465935,8.39963785693649,53.364421485728286,15.884249896686322
MRI-ESM2-0,ssp245,Near-term,Rx1day,74.97638461538462,77.04499999999999,67.30788461538462,-2.06861538461537,7.6684999999999945,-2.6849443631843344,11.393167448092996,10.7500828783389,10.898063694409473
