model,scenario,window,index,future_regional,obs_baseline_regional,model_baseline_regional,delta_obs_abs,delta_model_abs,delta_obs_pct,delta_model_pct,mean_station_delta_obs_pct,mean_station_delta_model_pct
ACCESS-ESM1-5,ssp245,Near-term,CDD,63.192307692307686,47.615384615384606,62.688461538461524,15.57692307692308,0.5038461538461618,32.714054927302115,0.8037302902018658,34.76356780896629,1.4083868222942877
ACCESS-ESM1-5,ssp245,Near-term,CWD,11.33076923076923,32.13461538461539,11.088461538461539,-20.80384615384616,0.24230769230769056,-64.73967684021545,2.185223725286144,-27.3088448556069,3.76681523009452
ACCESS-ESM1-5,ssp245,Near-term,PRCPTOT,1066.3461923076923,1119.6969230769232,1059.8553846153845,-53.35073076923095,6.490807692307726,-4.764747466003866,0.6124239010837506,-3.2310489871805257,0.7037167927702004
ACCESS-ESM1-5,ssp245,Near-term,R10mm,33.184615384615384,30.700000000000003,34.42307692307692,2.484615384615381,-1.2384615384615358,8.093209721874205,-3.5977653631284845,10.374584800262252,-3.599328608717438
ACCESS-ESM1-5,ssp245,Near-term,R20mm,14.542307692307693,12.01923076923077,15.600000000000001,2.523076923076923,-1.0576923076923084,20.991999999999997,-6.7800788954635145,62.555903213147644,-6.31504241142938
ACCESS-ESM1-5,ssp245,Near-term,R50mm,2.4153846153846152,2.15,2.1,0.26538461538461533,0.31538461538461515,12.343470483005365,15.018315018315006,226.89920971363696,26.877837848426076
ACCESS-ESM1-5,ssp245,Near-term,R95p,382.1537692307692,297.47653846153844,363.1528846153846,84.67723076923079,19.00088461538462,28.46517954227807,5.232199831073479,36.82082990471117,13.540152029503634
ACCESS-ESM1-5,ssp245,Near-term,R99p,168.39603846153844,117.43846153846152,141.77880769230768,50.957576923076914,26.61723076923076,43.390875745071064,18.77377247169141,73.51937758068166,37.34373008826352
ACCESS-ESM1-5,ssp245,Near-term,Rx1day,79.75742307692309,77.04499999999999,64.46476923076924,2.712423076923102,15.292653846153854,3.520569896713742,23.722498395068513,17.7634487140688,22.878030927464657
ACCESS-ESM1-5,ssp245,Near-term,Rx5day,182.8167307692308,143.93307692307692,177.9120384615385,38.88365384615386,4.904692307692301,27.015092484220776,2.7568074370372697,32.18201626486364,2.4961952840804664
ACCESS-ESM1-5,ssp245,Near-term,SDII,12.194450994521613,10.353471721306391,12.112299273668722,1.840979273215222,0.08215172085289169,17.781274945936,0.6782504213009638,22.92928734025874,0.5541788185917772
ACCESS-ESM1-5,ssp585,Near-term,CDD,54.861538461538466,47.615384615384606,62.688461538461524,7.2461538461538595,-7.826923076923059,15.218093699515377,-12.485428553898986,16.676615682345854,-11.77493254811412
ACCESS-ESM1-5,ssp585,Near-term,CWD,12.21923076923077,32.13461538461539,11.088461538461539,-19.915384615384617,1.1307692307692303,-61.974865350089765,10.197710718002076,-19.943566102897428,10.905514519203612
ACCESS-ESM1-5,ssp585,Near-term,PRCPTOT,1092.2778076923075,1119.6969230769232,1059.8553846153845,-27.41911538461568,32.422423076922996,-2.448797957689126,3.059136514996233,-0.7811910602790928,2.8802008903669534
ACCESS-ESM1-5,ssp585,Near-term,R10mm,35.02307692307692,30.700000000000003,34.42307692307692,4.323076923076918,0.6000000000000014,14.081683788524161,1.7430167597765407,16.479982710480463,1.6609462865294462
ACCESS-ESM1-5,ssp585,Near-term,R20mm,15.219230769230771,12.01923076923077,15.600000000000001,3.200000000000001,-0.3807692307692303,26.624000000000006,-2.4408284023668605,69.00641149942466,-1.3758416480709355
ACCESS-ESM1-5,ssp585,Near-term,R50mm,2.3153846153846156,2.15,2.1,0.16538461538461569,0.2153846153846155,7.692307692307707,10.256410256410263,163.1212224399376,6.66033966033966
ACCESS-ESM1-5,ssp585,Near-term,R95p,365.4053846153846,297.47653846153844,363.1528846153846,67.92884615384617,2.2524999999999977,22.83502642095887,0.620262180317147,31.567658248476256,3.9474688052360674
ACCESS-ESM1-5,ssp585,Near-term,R99p,148.42473076923076,117.43846153846152,141.77880769230768,30.98626923076924,6.645923076923083,26.385111678784316,4.68752924721038,55.04875090836088,9.91462194842806
