scale,variant,n_model_station_pairs,median_r,q25_r,q75_r,median_rmse,q25_rmse,q75_rmse,median_mae,q25_mae,q75_mae,median_pbias_pct,q25_pbias_pct,q75_pbias_pct,median_nse,q25_nse,q75_nse,median_kge,q25_kge,q75_kge,fraction_lower_rmse,fraction_lower_abs_pbias,fraction_higher_r,fraction_higher_kge
Daily,Raw,91,0.03673876761147474,0.01682106118076522,0.06328079173034021,10.17905130476061,7.9438172011905035,10.87270357478246,4.022146480914801,3.525884281790514,4.672413139805505,-21.932899504079042,-58.95130180604322,-0.14137494388161176,-0.3528403237660984,-0.5249367134911874,-0.19012122329646997,-0.11992029710381003,-0.26103133030414705,-0.04133685152144251,0.08791208791208792,0.6703296703296703,0.7912087912087912,0.8571428571428571
Monthly,Raw,91,0.27222557513594275,0.15383148637417698,0.37430332893138674,103.98117515922124,93.45545835619592,112.59037566491571,73.51408557754903,67.07341299019608,80.08788797836911,-21.93289950407903,-58.95130180604321,-0.14151362133780332,-0.3083727784138177,-0.5562760054736207,-0.12645446753152978,0.1622986407758834,-0.13898516747487188,0.27674873820842477,0.43956043956043955,0.6703296703296703,0.8131868131868132,0.8571428571428571
Daily,Bias-corrected,91,0.05708201233071829,0.04236145700492851,0.07383953411073886,11.839211409881132,9.393134980440308,13.53213624719614,4.873650346271541,4.1737684927873016,5.050805629555184,-8.9544757087658,-16.62377543606423,7.84809008186501,-0.9683159489633062,-1.3392706947062016,-0.8220793761794707,0.011945655464445148,-0.06089846270031818,0.044871142683403475,0.08791208791208792,0.6703296703296703,0.7912087912087912,0.8571428571428571
Monthly,Bias-corrected,91,0.4408080335522039,0.3397526019705718,0.4915580379501301,108.73384075346551,86.32794160909705,123.06852103566867,69.5853431372549,57.83322303921568,79.2402205882353,-8.9544757087658,-16.6281275448255,7.830412258958294,-0.344463989479028,-0.5892549328147711,-0.16069253899912284,0.38545253204335284,0.267481554432619,0.44612627573045294,0.43956043956043955,0.6703296703296703,0.8131868131868132,0.8571428571428571
