model,station,variant,scale,n,r,rmse,mae,pbias_pct,nse,kge
ACCESS-ESM1-5,351001,Raw,Daily,12418,0.01720396245629606,10.738651093451786,3.8004415364793043,-34.741305323054775,-0.21246977975147963,-0.17025148836362058
ACCESS-ESM1-5,351001,Raw,Monthly,408,0.18081155044165245,107.53472711288501,69.04416421568628,-34.741305323054775,-0.18812418191660796,0.002253083173979098
ACCESS-ESM1-5,351001,Bias-corrected,Daily,12418,0.045691835775437804,13.506566936818068,4.932392494765662,12.162070431015142,-0.91805655815019,0.037963402989459105
ACCESS-ESM1-5,351001,Bias-corrected,Monthly,408,0.34908707001526107,133.73547763471845,77.48713235294117,12.162070431015119,-0.8376281147479276,0.2631317493722276
ACCESS-ESM1-5,351002,Raw,Daily,12418,0.01010541236772775,9.785574463005528,3.794536720889032,-33.885675585974305,-0.27878568488075284,-0.14800223268294288
ACCESS-ESM1-5,351002,Raw,Monthly,408,0.16332580480990708,97.6909623805134,70.15162009803922,-33.88567558597429,-0.29682352881345087,0.02477877179907495
ACCESS-ESM1-5,351002,Bias-corrected,Daily,12418,0.04824360259419437,10.973140351062526,4.2122998872604285,-14.454481032642347,-0.6080034715212748,0.022117510613355873
ACCESS-ESM1-5,351002,Bias-corrected,Monthly,408,0.44141053342588904,98.06179111142318,62.9860294117647,-14.454481032642327,-0.30668753554654726,0.40720043103693193
ACCESS-ESM1-5,351003,Raw,Daily,12418,-0.018584673786833452,11.034468895620815,4.378006844902561,-66.5279577177321,-0.21216284655488948,-0.37066164118987
ACCESS-ESM1-5,351003,Raw,Monthly,408,0.011292397194544952,137.573774571128,98.00298774509804,-66.5279577177321,-0.6352903741662572,-0.34552757194370853
ACCESS-ESM1-5,351003,Bias-corrected,Daily,12418,0.02335229807008314,13.65965859037497,5.538812208085038,-25.41058723709829,-0.8575383481191756,-0.010675057706713176
ACCESS-ESM1-5,351003,Bias-corrected,Monthly,408,0.34297011102782005,132.12109946289547,88.15561274509804,-25.41058723709829,-0.508231241083744,0.29028209985353914
ACCESS-ESM1-5,351004,Raw,Daily,12418,-0.0024676020492280597,10.426257529413752,3.830757368336286,-58.12477540587367,-0.18396126016126568,-0.31159789238446867
ACCESS-ESM1-5,351004,Raw,Monthly,408,0.022845100690168884,114.92426437186455,80.88380147058824,-58.12477540587367,-0.4818433433413034,-0.2729109665265552
ACCESS-ESM1-5,351004,Bias-corrected,Daily,12418,0.026847542686577366,13.685251831811964,5.108450636173297,-6.833543667515141,-1.0397934071314223,0.02333515851154433
ACCESS-ESM1-5,351004,Bias-corrected,Monthly,408,0.3277169878427337,127.98277336591582,80.87980392156864,-6.833543667515141,-0.8377306667378845,0.26161234629621744
ACCESS-ESM1-5,351005,Raw,Daily,12418,0.01928917651945688,10.202008236048306,4.022146480914801,-41.19930273560596,-0.24961639380474376,-0.17528945467245127
ACCESS-ESM1-5,351005,Raw,Monthly,408,0.15468084430575027,102.92800198724244,75.54357107843137,-41.19930273560596,-0.377435851633972,-0.015315639608033393
ACCESS-ESM1-5,351005,Bias-corrected,Daily,12418,0.04572107385427798,12.83224512241032,4.912204863907232,-8.904667310213505,-0.9770182047405052,0.04094465249520818
ACCESS-ESM1-5,351005,Bias-corrected,Monthly,408,0.38781703998557426,119.3145254848154,76.6346568627451,-8.904667310213505,-0.8509340056503205,0.2718313594930104
ACCESS-ESM1-5,351006,Raw,Daily,12418,0.0020222984405184785,7.84903856131506,3.4365251248188113,-59.84702217664401,-0.3837449767966874,-0.24630785847655945
ACCESS-ESM1-5,351006,Raw,Monthly,408,0.09456268020474957,107.7530663398026,78.18651715686273,-59.84702217664401,-0.5769823249524797,-0.2076277525953545
ACCESS-ESM1-5,351006,Bias-corrected,Daily,12418,0.05561480945543774,11.042368368910601,4.731984216459978,-8.063530316626073,-1.7387197504946998,-0.019252298513042998
ACCESS-ESM1-5,351006,Bias-corrected,Monthly,408,0.39548510997095815,116.8446344804191,75.29509803921569,-8.063530316626093,-0.8543217777842054,0.2724002078821417
ACCESS-ESM1-5,351007,Raw,Daily,12418,0.0014279889102245336,8.131722559256527,3.562880093412788,-61.711061781394925,-0.36578940213907685,-0.2640931029459499
ACCESS-ESM1-5,351007,Raw,Monthly,408,0.12318114784504185,107.21289738382141,80.08972794117648,-61.711061781394925,-0.6753644207466791,-0.18844821917341048
ACCESS-ESM1-5,351007,Bias-corrected,Daily,12418,0.07079533414321441,9.477619202696884,4.3439950072475435,-15.39894728864484,-0.8553128118237969,0.05811112595611767
ACCESS-ESM1-5,351007,Bias-corrected,Monthly,408,0.47680642187182093,95.86784255948292,63.86468137254902,-15.39894728864484,-0.3395567915159292,0.4169008871389627
ACCESS-ESM1-5,351008,Raw,Daily,12418,0.015691599062791405,7.730526600941412,3.390992188758254,-59.36372080713836,-0.3744556854678942,-0.2306824854994871
ACCESS-ESM1-5,351008,Raw,Monthly,408,0.18157944194539938,97.5130149445246,74.27605637254902,-59.36372080713834,-0.6236808688739517,-0.11599174284895142
ACCESS-ESM1-5,351008,Bias-corrected,Daily,12418,0.0701897418088159,8.958755689434751,4.144347721050088,-16.976915552488137,-0.84589915421624,0.05475560549518921
ACCESS-ESM1-5,351008,Bias-corrected,Monthly,408,0.4518449598441797,92.8087995677451,61.59414215686274,-16.976915552488123,-0.47080065848979014,0.37556019233072657
ACCESS-ESM1-5,351009,Raw,Daily,12418,0.05018627506793132,6.163175746252211,3.2793816234498308,-46.08877570426141,-1.2747331422127752,-0.0622127041895395
ACCESS-ESM1-5,351009,Raw,Monthly,408,0.27222557513594275,92.08521788213085,70.48227205882353,-46.08877570426141,-0.5112731093368599,0.09499158045020895
ACCESS-ESM1-5,351009,Bias-corrected,Daily,12418,0.17294117529291048,7.243742860547372,3.932944113383798,-16.579657000190164,-2.1422982362272327,-0.05923662367401672
ACCESS-ESM1-5,351009,Bias-corrected,Monthly,408,0.6383076398694402,78.72176865577981,54.65313725490196,-16.579657000190164,-0.10446714332343743,0.49046306315326216
ACCESS-ESM1-5,351010,Raw,Daily,12418,0.02090802996995421,5.878111756093134,3.2737243517474632,-60.847785110744454,-0.9510890007084876,-0.1592040850806571
ACCESS-ESM1-5,351010,Raw,Monthly,408,0.14040383732845493,99.55968520136355,75.89583578431373,-60.847785110744454,-0.7797767338610799,-0.14885523925663002
ACCESS-ESM1-5,351010,Bias-corrected,Daily,12418,0.13508217535201708,7.695636527111754,4.041667740376872,-18.516949152542377,-2.3441865650104505,-0.10694724013353518
ACCESS-ESM1-5,351010,Bias-corrected,Monthly,408,0.5706833098054693,84.11631163507013,57.63394607843138,-18.516949152542377,-0.2704539806069157,0.4426089311815695
ACCESS-ESM1-5,351011,Raw,Daily,12418,0.021517346023857502,11.65014302456899,4.035259381542922,-41.318058290561105,-0.17589677466066878,-0.20782938921976157
ACCESS-ESM1-5,351011,Raw,Monthly,408,0.17726818106125475,112.89431824979407,72.47037990196078,-41.31805829056109,-0.23646009963982872,-0.032275302136754336
ACCESS-ESM1-5,351011,Bias-corrected,Daily,12418,0.0440963210619018,11.827035209115385,4.873650346271541,7.843137775277175,-0.21187678032488244,-0.07887230899449449
ACCESS-ESM1-5,351011,Bias-corrected,Monthly,408,0.24922766682951975,122.47940062196453,81.0097794117647,7.8431377752772145,-0.45533187183717505,0.24433188808397632
ACCESS-ESM1-5,351012,Raw,Daily,12418,0.025039250448011537,10.63170016757873,3.344953535190852,-51.21096982006678,-0.13629918097622262,-0.26851791740002984
ACCESS-ESM1-5,351012,Raw,Monthly,408,0.2130662913206746,103.98117515922124,65.62313480392157,-51.21096982006678,-0.1739752083764421,-0.10324296627542662
ACCESS-ESM1-5,351012,Bias-corrected,Daily,12418,0.033576131264140746,14.654500168523027,5.689561120953455,57.89042640681853,-1.158883830682751,-0.1309852432306482
ACCESS-ESM1-5,351012,Bias-corrected,Monthly,408,0.2132292779948541,167.1711797191025,103.26600490196078,57.89042640681853,-2.0343962816556562,-0.13350912267651704
ACCESS-ESM1-5,351201,Raw,Daily,12418,0.028363222059911115,10.520326725721425,3.885265823804156,-38.92668099257558,-0.21598728897222297,-0.16942240465765446
