scenario,window,index,model_median_abs,model_q25_abs,model_q75_abs,model_median_pct,model_q25_pct,model_q75_pct,model_agreement,model_classification,obs_median_pct,sign_reversal
ssp245,Near-term,CDD,-0.5615384615384613,-1.1596153846153818,0.22500000000000497,-0.9225908372827801,-1.8969157544717232,0.3599740619172121,0.7142857142857143,ambiguous,28.077544426494367,True
ssp245,Near-term,CWD,0.33846153846153726,-0.24038461538461497,0.5538461538461545,2.8617886178861687,-2.042811753100746,5.149532094643282,0.7142857142857143,ambiguous,-64.73967684021545,True
ssp245,Near-term,PRCPTOT,6.490807692307726,-60.520442307692406,92.37019230769238,0.6124239010837506,-5.318668342057468,9.614477859174517,0.5714285714285714,ambiguous,-4.207639292500864,True
ssp245,Near-term,R50mm,0.13846153846153864,0.007692307692307887,0.39423076923076905,7.017543859649132,0.3392950505402661,21.582384053779922,0.7142857142857143,ambiguous,6.082289803220035,False
ssp245,Near-term,R99p,11.393730769230785,1.6232115384615469,26.771923076923073,8.39963785693649,1.1356903255457969,20.998814829879024,0.7142857142857143,ambiguous,31.537597432370493,False
ssp245,Near-term,Rx5day,4.904692307692301,-5.641500000000008,19.885384615384623,2.7568074370372697,-3.5137354255445366,12.301566062289528,0.5714285714285714,ambiguous,17.838017668467717,False
ssp245,Near-term,SDII,-0.036699905042976155,-0.15217800613096788,0.12771777491949265,-0.2906452287556334,-1.262031638433414,1.0667281179893529,0.5714285714285714,ambiguous,17.781274945936,True
ssp585,Near-term,CDD,-0.18076923076924345,-2.2538461538461547,1.4846153846153989,-0.2928348909657526,-3.6913391293741533,2.3285411074210742,0.5714285714285714,ambiguous,29.143780290791636,True
ssp585,Near-term,CWD,0.26923076923077005,0.09230769230769376,0.5192307692307674,2.2407170294494305,0.834196010770411,4.78391275859684,0.8571428571428571,robust increase,-62.78874925194494,True
ssp585,Near-term,PRCPTOT,32.422423076922996,-10.941499999999962,58.09474999999992,3.059136514996233,-1.2996681786628144,5.468308225944753,0.7142857142857143,ambiguous,-2.448797957689126,True
ssp585,Near-term,R50mm,0.27692307692307705,-0.023076923076922995,0.698076923076923,16.475972540045774,-1.499475183685707,29.708566128092844,0.7142857142857143,ambiguous,7.692307692307707,False
ssp585,Near-term,R99p,27.973307692307714,-6.495288461538458,58.53505769230769,24.126615753392414,-4.8944039850106495,36.897188654908966,0.7142857142857143,ambiguous,26.385111678784316,False
ssp585,Near-term,Rx5day,9.57184615384611,-0.575096153846161,42.244442307692324,6.422718235329308,-0.5142821802446393,25.52678960397594,0.7142857142857143,ambiguous,26.949356805780447,False
ssp585,Near-term,SDII,-0.09463508754578775,-0.36352420720542256,0.42116194574084087,-0.8147663091304451,-2.9348324817401608,3.41738023220164,0.5714285714285714,ambiguous,15.873879047524909,True
ssp245,Mid-term,CDD,-1.1038461538461561,-3.255769230769239,1.3769230769230703,-1.868732907930724,-5.167913091885387,2.2498412839024855,0.5714285714285714,ambiguous,29.458804523424885,True
ssp245,Mid-term,CWD,-0.2346153846153829,-0.34038461538461373,0.9076923076923062,-1.9837398373983595,-2.8675943481691197,8.94035386504544,0.5714285714285714,ambiguous,-64.42848593656494,False
ssp245,Mid-term,PRCPTOT,39.746038461538774,-18.0358076923078,65.64455769230756,3.490240133541448,-1.7572552834230004,6.000384657641318,0.5714285714285714,ambiguous,1.0796328127254045,False
ssp245,Mid-term,R50mm,0.6461538461538456,0.17692307692307696,1.0557692307692312,30.769230769230738,8.448370962812783,45.289626176368095,0.8571428571428571,robust increase,27.728085867620738,False
ssp245,Mid-term,R99p,37.63130769230773,11.59571153846153,87.4120576923077,26.54226559301884,8.399221454573137,55.350720391342676,0.8571428571428571,robust increase,52.769470098906176,False
ssp245,Mid-term,Rx5day,21.006769230769237,12.697903846153807,46.41961538461538,12.518060536718819,7.4867959705927305,27.394600275781627,0.8571428571428571,robust increase,36.79169806480576,False
ssp245,Mid-term,SDII,0.1624838810259419,-0.08333720553145163,1.1343321973562173,1.3414784208574695,-0.7499763607410864,9.060301340654522,0.7142857142857143,ambiguous,22.105268187077222,False
ssp585,Mid-term,CDD,-2.6192307692307537,-3.453846153846147,-0.46923076923076934,-4.171154997007756,-5.579148306101089,-0.7959114607924159,0.7142857142857143,ambiguous,21.954765751211657,True
ssp585,Mid-term,CWD,0.5730769230769255,0.038461538461538325,0.7230769230769232,4.845528455284573,0.47379835987613017,7.052394678640619,0.7142857142857143,ambiguous,-62.95631358467983,True
ssp585,Mid-term,PRCPTOT,-17.16323076923061,-127.61292307692287,-8.622038461538637,-1.85360436709659,-11.597341201683406,-0.7556952340440033,0.8571428571428571,robust decrease,-10.404092865789258,False
ssp585,Mid-term,R50mm,-0.14999999999999947,-0.4326923076923075,0.22692307692307656,-6.414473684210504,-22.743452834986005,9.702148542830626,0.5714285714285714,ambiguous,1.788908765652966,True
ssp585,Mid-term,R99p,2.90038461538461,-26.656461538461535,19.620423076923075,1.802191929975245,-20.12949997700187,12.459039846723911,0.5714285714285714,ambiguous,39.50871160018341,False
ssp585,Mid-term,Rx5day,7.575307692307632,-11.469750000000005,12.476769230769264,4.241186786381174,-7.366437100205511,7.565093454625393,0.5714285714285714,ambiguous,23.15093018657176,False
ssp585,Mid-term,SDII,-0.6869627195031089,-1.5019088348508038,-0.4648760580006588,-5.47824553900355,-12.587027524955023,-3.7208305586528834,0.8571428571428571,robust decrease,13.7960358638504,True
ssp245,Long-term,CDD,-2.0269230769230617,-2.2634615384615344,0.2615384615384677,-3.153800119688786,-3.666333148109857,0.4714718559296829,0.7142857142857143,ambiguous,27.043618739903092,True
ssp245,Long-term,CWD,-0.10769230769230909,-0.6923076923076934,0.5769230769230793,-1.1254019292604647,-5.781302580201084,4.956561827125965,0.5714285714285714,ambiguous,-64.5481747456613,False
ssp245,Long-term,PRCPTOT,-38.65096153846116,-132.1780769230769,14.310096153846075,-3.394077557994728,-12.69025425579532,1.7139062649160408,0.7142857142857143,ambiguous,-6.0914251521359715,False
ssp245,Long-term,R50mm,0.3038461538461539,-0.2615384615384614,0.6480769230769237,18.07780320366133,-14.024928408607469,27.776446497037327,0.7142857142857143,ambiguous,18.425760286225422,False
