model,station,index,bc_hist_mean,obs_mean,bias_abs,bias_pct
ACCESS-ESM1-5,351007,CWD,11.25,49.1,-37.85,-77.08757637474541
ACCESS-ESM1-5,351007,PRCPTOT,996.424,1196.15,-199.7260000000001,-16.697404171717604
ACCESS-ESM1-5,351007,R10mm,33.5,30.95,2.5500000000000007,8.239095315024235
ACCESS-ESM1-5,351007,R20mm,12.7,9.7,3.0,30.927835051546396
ACCESS-ESM1-5,351007,R50mm,0.85,1.5,-0.65,-43.333333333333336
ACCESS-ESM1-5,351007,R95p,421.221,389.235,31.98599999999999,8.217657713206671
ACCESS-ESM1-5,351007,R99p,132.3585,200.07,-67.7115,-33.843904633378315
ACCESS-ESM1-5,351007,Rx1day,51.998000000000005,64.30499999999999,-12.306999999999988,-19.1384806780188
ACCESS-ESM1-5,351007,Rx5day,152.18900000000002,134.305,17.884000000000015,13.315959941923245
ACCESS-ESM1-5,351007,SDII,9.006149995198658,9.249164907588192,-0.24301491238953332,-2.627425446703402
ACCESS-ESM1-5,351008,CDD,54.65,40.8,13.850000000000001,33.946078431372555
ACCESS-ESM1-5,351008,CWD,11.2,34.6,-23.400000000000002,-67.6300578034682
ACCESS-ESM1-5,351008,PRCPTOT,921.119,1110.105,-188.986,-17.024155372689968
ACCESS-ESM1-5,351008,R10mm,30.4,29.5,0.8999999999999986,3.0508474576271136
ACCESS-ESM1-5,351008,R20mm,11.1,8.75,2.3499999999999996,26.857142857142854
ACCESS-ESM1-5,351008,R50mm,0.75,1.3,-0.55,-42.307692307692314
ACCESS-ESM1-5,351008,R95p,386.88,331.855,55.02499999999998,16.581036898645486
ACCESS-ESM1-5,351008,R99p,95.0055,137.325,-42.31949999999999,-30.81703986892408
ACCESS-ESM1-5,351008,Rx1day,49.5315,63.19,-13.658499999999997,-21.614970723215695
ACCESS-ESM1-5,351008,Rx5day,144.8715,122.14500000000001,22.726499999999987,18.60616480412623
ACCESS-ESM1-5,351008,SDII,8.565960710671789,7.644398250904906,0.9215624597668821,12.055395722714891
ACCESS-ESM1-5,351009,CDD,49.65,33.25,16.4,49.323308270676684
ACCESS-ESM1-5,351009,CWD,11.35,89.65,-78.30000000000001,-87.33965421081986
ACCESS-ESM1-5,351009,PRCPTOT,967.4770000000001,1184.405,-216.92799999999988,-18.315356655873614
ACCESS-ESM1-5,351009,R10mm,32.95,24.9,8.050000000000004,32.32931726907633
ACCESS-ESM1-5,351009,R20mm,11.85,2.25,9.6,426.6666666666667
ACCESS-ESM1-5,351009,R50mm,0.65,0.05,0.6,1200.0
ACCESS-ESM1-5,351009,R95p,553.6785,203.46,350.21849999999995,172.13137717487461
ACCESS-ESM1-5,351009,R99p,364.86749999999995,64.595,300.2724999999999,464.85409087390656
ACCESS-ESM1-5,351009,Rx1day,48.571,28.880000000000003,19.690999999999995,68.18213296398889
ACCESS-ESM1-5,351009,Rx5day,137.464,79.56,57.903999999999996,72.78029160382101
ACCESS-ESM1-5,351009,SDII,8.57530606241903,5.081984642051293,3.493321420367736,68.73931478387333
ACCESS-ESM1-5,351010,CDD,54.4,35.1,19.299999999999997,54.98575498575498
ACCESS-ESM1-5,351010,CWD,10.7,73.75,-63.05,-85.49152542372882
ACCESS-ESM1-5,351010,PRCPTOT,940.742,1163.26,-222.51800000000003,-19.128827605178554
ACCESS-ESM1-5,351010,R10mm,31.85,27.55,4.300000000000001,15.607985480943741
ACCESS-ESM1-5,351010,R20mm,12.4,3.2,9.2,287.49999999999994
ACCESS-ESM1-5,351010,R50mm,0.85,0.15,0.7,466.6666666666667
ACCESS-ESM1-5,351010,R95p,554.2335,202.725,351.5085,173.39178690344065
ACCESS-ESM1-5,351010,R99p,358.52750000000003,68.795,289.7325,421.15342684788135
ACCESS-ESM1-5,351010,Rx1day,53.336,28.964999999999996,24.371000000000002,84.13947868116695
ACCESS-ESM1-5,351010,Rx5day,153.563,83.66499999999999,69.898,83.54509053965218
ACCESS-ESM1-5,351010,SDII,9.426408357293331,5.173072086955942,4.253336270337389,82.22070365232885
ACCESS-ESM1-5,351011,CDD,36.3,42.25,-5.950000000000003,-14.082840236686396
ACCESS-ESM1-5,351011,CWD,29.5,11.1,18.4,165.76576576576576
ACCESS-ESM1-5,351011,PRCPTOT,1139.73,1145.975,-6.244999999999891,-0.5449508060821476
ACCESS-ESM1-5,351011,R10mm,34.9,34.1,0.7999999999999972,2.3460410557184668
ACCESS-ESM1-5,351011,R20mm,7.6,15.75,-8.15,-51.74603174603175
ACCESS-ESM1-5,351011,R50mm,0.2,3.1,-2.9,-93.54838709677419
ACCESS-ESM1-5,351011,R95p,19.185,352.71500000000003,-333.53000000000003,-94.56076435649177
ACCESS-ESM1-5,351011,R99p,0.0,136.48499999999999,-136.48499999999999,-100.0
ACCESS-ESM1-5,351011,Rx1day,35.464,111.39000000000001,-75.92600000000002,-68.16231259538559
ACCESS-ESM1-5,351011,Rx5day,110.68800000000002,183.615,-72.92699999999999,-39.717343354301114
ACCESS-ESM1-5,351011,SDII,6.3541438828925925,12.145212615611134,-5.791068732718542,-47.68190492832423
ACCESS-ESM1-5,351012,CDD,56.9,56.05,0.8500000000000014,1.516503122212313
ACCESS-ESM1-5,351012,CWD,11.05,8.4,2.6500000000000004,31.547619047619055
ACCESS-ESM1-5,351012,PRCPTOT,1460.9875,933.915,527.0725,56.43688130076078
