index,median_regional_bias_pct,q25_regional_bias_pct,q75_regional_bias_pct,max_abs_regional_bias_pct,median_regional_bias_abs
CDD,29.64458804523426,27.00726978998385,31.110662358642983,34.97576736672053,14.11538461538462
CWD,-64.11729503291443,-67.0855774985039,-62.90245362058648,70.22142429682823,-20.603846153846156
PRCPTOT,-5.344440734649348,-10.129531961258742,0.8310387563667673,17.30456936835928,-59.84153846153845
R10mm,12.127286394387351,5.524931094963657,19.21824104234527,21.385617639689276,3.723076923076917
R20mm,29.79199999999997,18.783999999999992,34.992000000000004,39.55200000000001,3.580769230769228
R50mm,-2.325581395348829,-8.586762075134171,8.407871198568866,21.824686940966007,-0.04999999999999982
R95p,22.077823849068885,12.746687198344006,30.309688288281286,33.91655967697517,65.67634615384611
R99p,20.726043099495634,14.30313748608109,34.268372961289046,37.528984083316956,24.34034615384614
Rx1day,-8.200801729259133,-12.648751728510316,-1.701952405437386,16.328419455163562,-6.318307692307698
Rx5day,14.713141256887532,11.577870057131255,20.09877720949373,24.094424224933586,21.177076923076896
SDII,18.048715422231144,16.00049251398878,20.633314600657535,21.959529700185414,1.8686686472997671
