model,season_type,variable,obs_anom_el,raw_anom_el,qdm_anom_el,dist_raw_el,dist_qdm_el,assessment_el
ACCESS-ESM1-5,RAINY,PRCPTOT,-80.72211538461545,-22.22198397435895,-99.57387820512815,58.5001314102565,18.851762820512704,closer
ACCESS-ESM1-5,RAINY,Rx1day,-9.918589743589742,-5.880192307692301,-14.242820512820522,4.038397435897441,4.32423076923078,farther
ACCESS-ESM1-5,RAINY,Rx5day,-14.968269230769238,-0.5631987179487083,5.543878205128209,14.40507051282053,20.512147435897447,farther
ACCESS-ESM1-5,RAINY,SDII,-0.6219568502249988,-0.10955778767755531,-0.9466176818506824,0.5123990625474435,0.3246608316256836,closer
ACCESS-ESM1-5,RAINY,R95p,-55.694551282051265,-10.483490384615386,-30.167596153846162,45.21106089743588,25.526955128205103,closer
ACCESS-ESM1-5,RAINY,R99p,-27.310576923076923,-2.0507564102564118,-27.375576923076913,25.25982051282051,0.06499999999999062,closer
ACCESS-ESM1-5,RAINY,CWD,-1.7756410256410255,1.384615384615385,0.0,3.1602564102564106,1.7756410256410255,closer
ACCESS-ESM1-5,RAINY,CDD,1.4967948717948723,2.737179487179489,-2.157051282051281,1.2403846153846168,3.6538461538461533,farther
ACCESS-ESM1-5,HOT_DRY,PRCPTOT,-72.62500000000003,-8.501519230769219,-30.079807692307696,64.12348076923081,42.54519230769233,closer
ACCESS-ESM1-5,HOT_DRY,Rx1day,-10.113461538461536,2.7247980769230775,-2.4709615384615375,12.838259615384613,7.642499999999998,closer
ACCESS-ESM1-5,HOT_DRY,Rx5day,-27.37884615384617,4.107038461538465,-9.411730769230765,31.485884615384634,17.967115384615404,closer
ACCESS-ESM1-5,HOT_DRY,SDII,-1.3596601595013027,-0.035785834548589524,0.568053813273794,1.3238743249527132,1.9277139727750967,farther
ACCESS-ESM1-5,HOT_DRY,R95p,-39.65961538461538,1.5857980769230764,-12.845192307692308,41.245413461538455,26.81442307692307,closer
ACCESS-ESM1-5,HOT_DRY,R99p,-18.80769230769231,11.286951923076924,-10.594519230769231,30.094644230769234,8.213173076923079,closer
ACCESS-ESM1-5,HOT_DRY,CWD,-1.73076923076923,-0.9038461538461542,-0.22115384615384626,0.8269230769230758,1.5096153846153837,farther
ACCESS-ESM1-5,HOT_DRY,CDD,-3.3076923076923066,-2.1923076923076934,8.65384615384616,1.1153846153846132,11.961538461538467,farther
CESM2,RAINY,PRCPTOT,-80.72211538461545,-60.5125096153846,-106.74182692307693,20.209605769230848,26.01971153846148,farther
CESM2,RAINY,Rx1day,-9.918589743589742,3.760051282051279,-13.634038461538452,13.67864102564102,3.7154487179487106,closer
CESM2,RAINY,Rx5day,-14.968269230769238,6.394105769230762,-15.53903846153844,21.362375,0.5707692307692014,closer
CESM2,RAINY,SDII,-0.6219568502249988,-0.41490318160085415,-0.9094172053245266,0.20705366862414465,0.28746035509952783,farther
CESM2,RAINY,R95p,-55.694551282051265,-42.61782371794871,-59.03961538461536,13.076727564102555,3.345064102564095,closer
CESM2,RAINY,R99p,-27.310576923076923,-10.837147435897442,-22.88153846153846,16.47342948717948,4.429038461538461,closer
CESM2,RAINY,CWD,-1.7756410256410255,-1.5352564102564124,0.016025641025640525,0.2403846153846132,1.791666666666666,farther
CESM2,RAINY,CDD,1.4967948717948723,-2.2532051282051277,1.7948717948717956,3.75,0.29807692307692335,closer
CESM2,HOT_DRY,PRCPTOT,-72.62500000000003,24.78179807692311,68.27567307692306,97.40679807692314,140.90067307692308,farther
CESM2,HOT_DRY,Rx1day,-10.113461538461536,-2.8618557692307682,9.526346153846156,7.251605769230768,19.63980769230769,farther
CESM2,HOT_DRY,Rx5day,-27.37884615384617,-7.181548076923086,30.2025,20.197298076923083,57.58134615384617,farther
CESM2,HOT_DRY,SDII,-1.3596601595013027,0.19680308807609626,-0.5864186677997889,1.556463247577399,0.7732414917015138,closer
CESM2,HOT_DRY,R95p,-39.65961538461538,-0.02596153846153726,40.48846153846155,39.63365384615384,80.14807692307693,farther
CESM2,HOT_DRY,R99p,-18.80769230769231,-7.9627115384615355,16.97375,10.844980769230775,35.78144230769231,farther
CESM2,HOT_DRY,CWD,-1.73076923076923,2.2211538461538467,1.240384615384615,3.9519230769230766,2.971153846153845,closer
CESM2,HOT_DRY,CDD,-3.3076923076923066,2.2499999999999982,-19.90384615384616,5.557692307692305,16.596153846153854,farther
CanESM5,RAINY,PRCPTOT,-80.72211538461545,163.78358333333324,177.72660256410256,244.5056987179487,258.448717948718,farther
CanESM5,RAINY,Rx1day,-9.918589743589742,0.28566666666665697,-12.415769230769229,10.204256410256399,2.497179487179487,closer
CanESM5,RAINY,Rx5day,-14.968269230769238,25.458041666666674,2.972756410256409,40.42631089743591,17.941025641025647,closer
CanESM5,RAINY,SDII,-0.6219568502249988,0.517421319051067,0.48732360831785293,1.1393781692760658,1.1092804585428517,closer
CanESM5,RAINY,R95p,-55.694551282051265,97.48325,46.565320512820534,153.17780128205126,102.2598717948718,closer
CanESM5,RAINY,R99p,-27.310576923076923,63.271041666666676,-20.636506410256406,90.5816185897436,6.674070512820517,closer
CanESM5,RAINY,CWD,-1.7756410256410255,5.041666666666668,3.387820512820511,6.817307692307693,5.1634615384615365,closer
CanESM5,RAINY,CDD,1.4967948717948723,-0.6666666666666661,-2.44230769230769,2.1634615384615383,3.939102564102562,farther
CanESM5,HOT_DRY,PRCPTOT,-72.62500000000003,-4.5262500000000045,64.16932692307692,68.09875000000002,136.79432692307694,farther
CanESM5,HOT_DRY,Rx1day,-10.113461538461536,-2.0777500000000018,9.040480769230768,8.035711538461534,19.153942307692304,farther
CanESM5,HOT_DRY,Rx5day,-27.37884615384617,-6.870625000000004,21.220769230769235,20.508221153846165,48.599615384615404,farther
CanESM5,HOT_DRY,SDII,-1.3596601595013027,-0.12210867583237661,2.467489260558791,1.237551483668926,3.8271494200600937,farther
CanESM5,HOT_DRY,R95p,-39.65961538461538,-2.830249999999996,15.238461538461536,36.829365384615386,54.898076923076914,farther
CanESM5,HOT_DRY,R99p,-18.80769230769231,0.0,11.110865384615384,18.80769230769231,29.918557692307694,farther
CanESM5,HOT_DRY,CWD,-1.73076923076923,-1.125,0.13461538461538414,0.60576923076923,1.865384615384614,farther
CanESM5,HOT_DRY,CDD,-3.3076923076923066,4.0,-0.461538461538467,7.307692307692307,2.8461538461538396,closer
EC-Earth3,RAINY,PRCPTOT,-80.72211538461545,52.319403558205124,208.44785256410262,133.04151894282057,289.16996794871807,farther
EC-Earth3,RAINY,Rx1day,-9.918589743589742,6.492450641025645,29.676282051282058,16.411040384615387,39.5948717948718,farther
EC-Earth3,RAINY,Rx5day,-14.968269230769238,12.044979326923084,57.104647435897476,27.01324855769232,72.07291666666671,farther
EC-Earth3,RAINY,SDII,-0.6219568502249988,0.8007486865989737,2.6163533522497318,1.4227055368239725,3.2383102024747306,farther
EC-Earth3,RAINY,R95p,-55.694551282051265,31.069391025641025,136.3668269230769,86.76394230769229,192.06137820512816,farther
EC-Earth3,RAINY,R99p,-27.310576923076923,3.73671474358974,62.752467948717936,31.047291666666663,90.06304487179486,farther
EC-Earth3,RAINY,CWD,-1.7756410256410255,0.8108974358974361,1.8076923076923084,2.5865384615384617,3.583333333333334,farther
EC-Earth3,RAINY,CDD,1.4967948717948723,-2.653846153846157,-0.28205128205128105,4.150641025641029,1.7788461538461533,closer
EC-Earth3,HOT_DRY,PRCPTOT,-72.62500000000003,-4.243316642403869,53.884134615384625,68.38168335759616,126.50913461538465,farther
EC-Earth3,HOT_DRY,Rx1day,-10.113461538461536,-2.026866346153845,5.657692307692308,8.08659519230769,15.771153846153844,farther
EC-Earth3,HOT_DRY,Rx5day,-27.37884615384617,-11.158998615384618,4.0218269230769295,16.21984753846155,31.4006730769231,farther
EC-Earth3,HOT_DRY,SDII,-1.3596601595013027,-0.25752754656054444,1.4108436080074274,1.1021326129407583,2.77050376750873,farther
EC-Earth3,HOT_DRY,R95p,-39.65961538461538,2.7325096153846147,24.277692307692313,42.39212499999999,63.93730769230769,farther
EC-Earth3,HOT_DRY,R99p,-18.80769230769231,-8.702692307692304,6.45778846153846,10.105000000000006,25.26548076923077,farther
EC-Earth3,HOT_DRY,CWD,-1.73076923076923,-2.3076923076923066,-0.5961538461538454,0.5769230769230766,1.1346153846153846,farther
EC-Earth3,HOT_DRY,CDD,-3.3076923076923066,-3.3749999999999964,-18.807692307692307,0.06730769230768985,15.5,farther
FGOALS-g3,RAINY,PRCPTOT,-80.72211538461545,77.23446651237197,199.64179487179467,157.95658189698742,280.3639102564101,farther
FGOALS-g3,RAINY,Rx1day,-9.918589743589742,10.852042307692301,-3.424391025641029,20.770632051282043,6.494198717948713,closer
FGOALS-g3,RAINY,Rx5day,-14.968269230769238,43.38266720256411,13.678717948717946,58.350936433333345,28.646987179487184,closer
FGOALS-g3,RAINY,SDII,-0.6219568502249988,1.1570713666491548,1.4013220271101723,1.7790282168741536,2.023278877335171,farther
FGOALS-g3,RAINY,R95p,-55.694551282051265,53.92938782051283,57.54756410256414,109.6239391025641,113.2421153846154,farther
FGOALS-g3,RAINY,R99p,-27.310576923076923,20.065910256410255,-10.024455128205119,47.37648717948718,17.286121794871804,closer
FGOALS-g3,RAINY,CWD,-1.7756410256410255,0.9038461538461533,1.23076923076923,2.679487179487179,3.0064102564102555,farther
FGOALS-g3,RAINY,CDD,1.4967948717948723,-3.0448717948717956,-0.37499999999999645,4.541666666666668,1.8717948717948687,closer
FGOALS-g3,HOT_DRY,PRCPTOT,-72.62500000000003,-33.175136138313135,-7.825384615384621,39.44986386168689,64.79961538461541,farther
FGOALS-g3,HOT_DRY,Rx1day,-10.113461538461536,-10.044245192307695,3.6853846153846206,0.06921634615384065,13.798846153846156,farther
FGOALS-g3,HOT_DRY,Rx5day,-27.37884615384617,-13.077606436346151,5.053076923076915,14.301239717500017,32.431923076923084,farther
FGOALS-g3,HOT_DRY,SDII,-1.3596601595013027,-1.2515636979451203,0.6988366712719696,0.10809646155618235,2.0584968307732723,farther
FGOALS-g3,HOT_DRY,R95p,-39.65961538461538,-22.191259615384617,13.349326923076923,17.46835576923076,53.0089423076923,farther
