season_type,variable,model,p_val_el_vs_la,diagnostic_only
HOT_DRY,Rx1day,CanESM5,0.9699293482575216,False
HOT_DRY,Rx5day,CanESM5,0.6238787012780821,False
HOT_DRY,SDII,CanESM5,1.0,False
HOT_DRY,R95p,CanESM5,0.7391973850449902,False
HOT_DRY,R99p,CanESM5,0.5810829413337419,False
HOT_DRY,CWD,CanESM5,0.4268635389378423,False
HOT_DRY,CDD,CanESM5,0.7344923394458999,False
RAINY,PRCPTOT,EC-Earth3,0.8356643356643356,False
RAINY,Rx1day,EC-Earth3,0.1806526806526806,False
RAINY,Rx5day,EC-Earth3,0.6282051282051282,False
RAINY,SDII,EC-Earth3,0.9452214452214452,False
RAINY,R95p,EC-Earth3,0.6282051282051282,False
RAINY,R99p,EC-Earth3,0.8356643356643356,False
RAINY,CWD,EC-Earth3,0.5337995337995338,False
RAINY,CDD,EC-Earth3,0.5337995337995338,False
HOT_DRY,PRCPTOT,EC-Earth3,0.3053901722632373,False
HOT_DRY,Rx1day,EC-Earth3,0.1813447646264983,False
HOT_DRY,Rx5day,EC-Earth3,0.2702706993728666,False
HOT_DRY,SDII,EC-Earth3,0.3837421608319441,False
HOT_DRY,R95p,EC-Earth3,0.2968939270753236,False
HOT_DRY,R99p,EC-Earth3,0.1871859634237624,False
HOT_DRY,CWD,EC-Earth3,0.8168936927471406,False
HOT_DRY,CDD,EC-Earth3,0.2630889109848705,False
RAINY,PRCPTOT,EC-Earth3,0.9452214452214452,False
RAINY,Rx1day,EC-Earth3,0.1013986013986013,False
RAINY,Rx5day,EC-Earth3,0.4452214452214452,False
RAINY,SDII,EC-Earth3,0.9452214452214452,False
RAINY,R95p,EC-Earth3,0.8356643356643356,False
RAINY,R99p,EC-Earth3,0.4452214452214452,False
RAINY,CWD,EC-Earth3,0.6282051282051282,False
RAINY,CDD,EC-Earth3,0.7307692307692307,False
HOT_DRY,PRCPTOT,EC-Earth3,0.0473446058585377,False
HOT_DRY,Rx1day,EC-Earth3,0.0690958164642375,False
HOT_DRY,Rx5day,EC-Earth3,0.1813447646264983,False
HOT_DRY,SDII,EC-Earth3,0.0473446058585377,False
HOT_DRY,R95p,EC-Earth3,0.1060951416416458,False
HOT_DRY,R99p,EC-Earth3,0.1991048209933474,False
HOT_DRY,CWD,EC-Earth3,0.757178195726962,False
HOT_DRY,CDD,EC-Earth3,0.0097222837672139,False
RAINY,PRCPTOT,FGOALS-g3,0.1375291375291375,False
RAINY,Rx1day,FGOALS-g3,0.7307692307692307,False
RAINY,Rx5day,FGOALS-g3,0.2342657342657342,False
RAINY,SDII,FGOALS-g3,0.2948717948717949,False
RAINY,R95p,FGOALS-g3,0.3907143077653889,False
RAINY,R99p,FGOALS-g3,0.5147051829508811,False
RAINY,CWD,FGOALS-g3,0.2819848280938406,False
RAINY,CDD,FGOALS-g3,0.0734265734265734,False
HOT_DRY,PRCPTOT,FGOALS-g3,0.0473446058585377,False
HOT_DRY,Rx1day,FGOALS-g3,0.0824958323410335,False
HOT_DRY,Rx5day,FGOALS-g3,0.2379772961816305,False
HOT_DRY,SDII,FGOALS-g3,0.3837421608319441,False
HOT_DRY,R95p,FGOALS-g3,0.1273457631960635,False
HOT_DRY,R99p,FGOALS-g3,0.4398035473385238,False
HOT_DRY,CWD,FGOALS-g3,0.0246586456785332,False
HOT_DRY,CDD,FGOALS-g3,0.6784313725490196,False
RAINY,PRCPTOT,FGOALS-g3,0.3659673659673659,False
