station_id,dry_count,dry_mean,dry_std,dry_median,dry_max,wet_count,wet_mean,wet_std,wet_median,wet_max,E_dry_theoretical,E_wet_theoretical
353201,2729,5.231586661780872,11.145525600885675,2.0,117,2726,2.763389581804842,2.6054555522901004,2.0,27,5.244027930907754,2.765980896399706
354201,2634,5.555808656036446,12.51117686603959,2.0,128,2631,2.7309007981755986,2.633469697628997,2.0,21,5.562737642585551,2.7309007981755986
356201,2564,5.5331513260530425,13.06641670348428,2.0,155,2560,2.98046875,2.9751493496619728,2.0,37,5.542008597108246,2.98046875
357201,2356,5.649830220713073,13.38859212620602,2.0,150,2310,3.5467532467532465,4.589066159405044,2.0,47,5.840919133893062,3.607712765957447
381201,2734,5.611558156547184,12.63031558784699,2.0,147,2731,2.3533504210911755,2.0422296982783408,2.0,23,5.635294117647059,2.356828193832599
403201,2640,5.942045454545455,12.829693511628745,2.0,140,2638,2.3229719484457925,1.9345400396299457,2.0,18,5.951423149905124,2.3239757207890746
405201,2733,5.457738748627881,12.996794976375162,2.0,148,2614,2.473603672532517,2.2208419097581116,2.0,20,5.747856586126266,2.5094043887147333
407501,2632,5.585866261398176,13.068608161533984,2.0,132,2631,2.7058152793614596,2.6535220175126204,2.0,20,5.587609274040289,2.7064638783269963
431201,2885,5.288041594454072,10.947954631911957,2.0,115,2879,2.2737061479680443,1.9665655266491877,2.0,21,5.299965241571082,2.2741487143849897
432201,2844,5.218002812939522,11.85257723644797,2.0,130,2843,2.4555047485051,2.141799521488503,2.0,18,5.219486457966937,2.4560168895144265
