station_id,P1_P01,P2_P01,diff_P01,z_P01,pval_P01,P1_P11,P2_P11,diff_P11,z_P11,pval_P11,P1_Pi1,P2_Pi1,diff_Pi1
353201,0.19677236693091732,0.18475846751804553,-0.012013899412871787,-1.8263284537269269,0.06780080171996339,0.6428571428571429,0.6337640912840253,-0.009093051573117572,-0.8206448486377305,0.4118485937568277,0.3552391383716685,0.33531824549797995,-0.019920892873688534
354201,0.18032345013477089,0.17922041892079346,-0.0011030312139774234,-0.17369374812692104,0.8621061511126615,0.621606334841629,0.6456563442038915,0.024050009362262537,2.1155084222377547,0.03438663786839613,0.3227455275648047,0.3358929647125963,0.013147437147791596
356201,0.17893703547889497,0.1819858156028369,0.0030487801239419132,0.4720344888443054,0.6369021714129897,0.66640522875817,0.6625492772667543,-0.00385595149141571,-0.35666699167657756,0.7213411192139272,0.3491237677984666,0.3503523571633876,0.0012285893649209845
357201,0.1686764705882353,0.17391304347826086,0.005236572890025576,0.7987399904454385,0.4244411932828758,0.7198339032730826,0.7258343634116193,0.006000460138536723,0.6046920927185937,0.5453836030669654,0.3758031944189462,0.38813059227097174,0.012327397852025523
381201,0.17654639175257733,0.17840623761067795,0.0018598458581006172,0.3013061038998369,0.7631810868372189,0.5713391739674594,0.5800248138957816,0.008685639928322275,0.7040454632683163,0.48140446150664484,0.29171230376049656,0.29814802154633907,0.00643571778584251
403201,0.17004719989794617,0.1660290742157613,-0.004018125682184875,-0.6728606775739572,0.5010359308033643,0.5723452037215271,0.5669657693585909,-0.005379434362936197,-0.4251274890308203,0.670743739827939,0.2845016429353779,0.27714779534918466,-0.0073538475861932295
405201,0.17036460360711042,0.17795767646641103,0.007593072859300609,1.2149442771716312,0.22438734484614065,0.5958756540473992,0.6072900158478606,0.011414361800461403,0.9327566609363954,0.35094562252169736,0.2965498357064622,0.31184117963425767,0.015291343927795464
407501,0.1807460230389468,0.17724082073434125,-0.003505202304605548,-0.5543059049184483,0.5793695098161693,0.6402838427947598,0.6201505500868558,-0.020133292707903983,-1.7588483680921891,0.07860326687680885,0.33442862358525005,0.3181545793796413,-0.01627404420560874
431201,0.19142480211081794,0.1859919133950698,-0.005432888715748152,-0.8572659281190426,0.39129793405825275,0.5684116597263533,0.5516808042726987,-0.016730855453654603,-1.3629794146944392,0.17288899836116167,0.3072564430634253,0.2932187545200131,-0.014037688543412197
432201,0.19110334632441875,0.1921049073948898,0.0010015610704710576,0.1549958337726771,0.8768246017823325,0.595448079658606,0.5901875901875901,-0.005260489471015872,-0.4472608359651473,0.6546867408507375,0.3208287696239503,0.31915497677686705,-0.0016737928470832442
