Station_ID,N_eff_t1,LL_Order0,AIC_Order0,BIC_Order0,LL_Order1,AIC_Order1,BIC_Order1,LL_Order2,AIC_Order2,BIC_Order2,Delta_AIC_Ord2_vs_1,Delta_BIC_Ord2_vs_1,BIC_Selected_Order
353201,21545,-13211.896178162959,26427.792356325917,26443.74815442602,-12323.208304486348,24658.416608972697,24706.284003273,-12141.85910172773,24319.71820345546,24463.318715357473,-338.6984055172361,-242.96528791552555,Order 2
354201,21545,-13411.395962949045,26826.79192589809,26842.747723998193,-12401.458498078991,24814.916996157983,24862.784390458284,-12141.633893004671,24319.267786009343,24462.868297911355,-495.6492101486401,-399.9160925469296,Order 2
356201,21543,-14208.769293359645,28421.53858671929,28437.494199152847,-12997.491430158318,26006.982860316635,26054.849697617305,-12603.482714812748,25242.965429625496,25386.563434738284,-764.0174306911395,-668.2862628790208,Order 2
357201,21086,-14911.76024364052,29827.52048728104,29843.433216465313,-12947.137574742248,25906.275149484496,25954.01333703732,-12373.800592333711,24783.601184667423,24926.71215854031,-1122.6739648170733,-1027.3011784970076,Order 2
381201,21486,-12171.94431023658,24347.88862047316,24363.838934151612,-11517.071339162445,23046.14267832489,23093.993619360248,-11292.672578079255,22621.34515615851,22764.890437891667,-424.7975221663801,-329.10318146858117,Order 2
403201,21545,-11851.728919533112,23707.457839066225,23723.413637166326,-11069.679995383563,22151.359990767127,22199.22738506743,-10955.687277401245,21947.37455480249,22090.9750667045,-203.98543596463787,-108.25231836292733,Order 2
405201,20879,-12423.147890127671,24850.295780255343,24866.1887785516,-11546.414304825761,23104.828609651522,23152.507604540297,-11243.291598721311,22522.583197442622,22665.466068613398,-582.2454122089002,-487.0415359268991,Order 2
407501,21545,-13593.362935939844,27190.725871879687,27206.68166997979,-12467.878184189045,24947.75636837809,24995.62376267839,-12125.038607473032,24286.077214946064,24429.677726848076,-661.6791534320255,-565.9460358303149,Order 2
431201,21531,-11890.748483331998,23785.496966663995,23801.45146473619,-11343.513935727762,22699.027871455524,22746.891365672112,-11172.595297996968,22381.190595993936,22524.778570457256,-317.83727546158843,-222.1127952148563,Order 2
432201,21545,-13205.264393435671,26414.528786871342,26430.484584971444,-12455.12716769417,24922.25433538834,24970.121729688643,-12195.197983676724,24426.39596735345,24569.99647925546,-495.8583680348929,-400.1252504331824,Order 2
