source_type,model,season_type,variable,anom_el_nino,anom_la_nina,asymmetry_sum_anom,asymmetry_pct,p_val_el_vs_la,significant_asymmetry_p05,low_n_flag
OBSERVED,OBSERVED,RAINY,PRCPTOT,-77.3249999999997,19.076785714285847,-58.24821428571386,-6.498891913592457,0.23426573426573427,False,False
OBSERVED,OBSERVED,RAINY,Rx1day,-13.091666666666676,0.7279761904761841,-12.363690476190492,-18.220974604149326,0.2524452516545861,False,False
OBSERVED,OBSERVED,RAINY,Rx5day,-17.45069444444445,17.78839285714284,0.3376984126983871,0.28543421806199404,0.23426573426573427,False,False
OBSERVED,OBSERVED,RAINY,SDII,-0.747409652979746,0.49894702452098727,-0.24846262845875877,-2.522322028229966,0.18065268065268064,False,False
OBSERVED,OBSERVED,RAINY,R95p,-60.97534722222221,2.0813988095238187,-58.89394841269839,-26.80614962245002,0.5337995337995338,False,False
OBSERVED,OBSERVED,RAINY,R99p,-36.02638888888889,7.388690476190476,-28.637698412698413,-38.3348074016823,0.23426573426573427,False,False
OBSERVED,OBSERVED,RAINY,CWD,-1.7743055555555571,0.828869047619051,-0.9454365079365061,-2.980686527484551,0.6282051282051282,False,False
OBSERVED,OBSERVED,RAINY,CDD,1.322916666666666,0.20982142857142883,1.532738095238095,15.77093860052059,0.1741431302176989,False,False
OBSERVED,OBSERVED,HOT_DRY,PRCPTOT,-75.15104166666666,22.9652777777778,-52.18576388888886,-21.70506699478078,0.015049240840804003,True,False
OBSERVED,OBSERVED,HOT_DRY,Rx1day,-9.634374999999999,-5.852083333333326,-15.486458333333324,-30.01978838542927,0.7344923394458999,False,False
OBSERVED,OBSERVED,HOT_DRY,Rx5day,-27.990624999999994,-4.98159722222222,-32.972222222222214,-38.14711707260244,0.038707628800508063,True,False
OBSERVED,OBSERVED,HOT_DRY,SDII,-2.057851545611433,-1.355815445997715,-3.4136669916091478,-28.26059376301305,0.5208065412399778,False,False
OBSERVED,OBSERVED,HOT_DRY,R95p,-42.014583333333334,-11.894097222222229,-53.90868055555556,-61.111570329259415,0.2082876875446535,False,False
OBSERVED,OBSERVED,HOT_DRY,R99p,-18.86458333333334,-10.1732638888889,-29.03784722222224,-70.55691952044685,0.43867439212530335,False,False
OBSERVED,OBSERVED,HOT_DRY,CWD,-1.802083333333333,1.2673611111111125,-0.5347222222222205,-8.456891817682564,0.002203538907301715,True,False
OBSERVED,OBSERVED,HOT_DRY,CDD,-4.020833333333336,-7.406249999999993,-11.427083333333329,-17.21864699419243,0.8506311026434865,False,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,PRCPTOT,32.16319444444446,19.567309523809513,51.73050396825397,5.702338615992515,0.9452214452214451,False,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,Rx1day,2.425052083333327,2.959706845238088,5.384758928571415,10.913385839595344,0.36596736596736595,False,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,Rx5day,9.634982638888914,11.180165178571457,20.81514781746037,17.590304472291496,1.0,False,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,SDII,-0.04221928773028161,-0.16712067245293483,-0.20933996018321643,-3.0982731333971185,0.8356643356643356,False,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,R95p,30.406503472222226,45.0140907738095,75.42059424603173,41.33260716344149,0.9452214452214451,False,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,R99p,22.870781249999993,30.015691964285722,52.886473214285715,93.2258193557949,0.8356643356643356,False,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,CWD,3.6701388888888893,-2.2604166666666643,1.409722222222225,5.617822056178231,0.23426573426573427,False,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,CDD,-1.7361111111111125,-2.81547619047619,-4.551587301587302,-46.09202330721319,0.6282051282051282,False,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,PRCPTOT,-38.58000000000001,-14.706743055555563,-53.286743055555576,-23.70416824755395,0.3837421608319441,False,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx1day,0.08454166666666652,2.1766875000000017,2.261229166666668,22.724969641137324,0.7344923394458999,False,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx5day,-5.510677083333334,-3.4986944444444497,-9.009371527777784,-28.67069451019029,0.910105580693816,False,False
