source_type,model,season_type,variable,n_el_nino,n_la_nina,n_neutral,mean_el_nino,mean_la_nina,mean_neutral,anom_el_nino,anom_la_nina,pct_change_el_nino,pct_change_la_nina,mwu_stat_el_vs_neu,p_val_el_vs_neu,mwu_stat_la_vs_neu,p_val_la_vs_neu,mwu_stat_el_vs_la,p_val_el_vs_la,low_n_flag
OBSERVED,OBSERVED,RAINY,PRCPTOT,6,7,8,818.9541666666669,915.3559523809524,896.2791666666666,-77.3249999999997,19.076785714285847,-8.627334303393162,2.1284423898007057,14.0,0.22843822843822847,31.0,0.778865578865579,12.0,0.23426573426573427,False
OBSERVED,OBSERVED,RAINY,Rx1day,6,7,8,54.762499999999996,68.58214285714286,67.85416666666667,-13.091666666666676,0.7279761904761841,-19.29382867669636,1.0728540725470321,12.0,0.14185814185814188,28.0,1.0,12.5,0.2524452516545861,False
OBSERVED,OBSERVED,RAINY,Rx5day,6,7,8,100.85972222222222,136.0988095238095,118.31041666666667,-17.45069444444445,17.78839285714284,-14.749922226722317,15.035356444784313,17.0,0.4135864135864136,32.0,0.6943278943278944,12.0,0.23426573426573427,False
OBSERVED,OBSERVED,RAINY,SDII,6,7,8,9.103141770587564,10.349498448088298,9.85055142356731,-0.747409652979746,0.49894702452098727,-7.587490495116635,5.065168466886669,11.0,0.1078921078921079,29.0,0.9550893550893552,11.0,0.18065268065268064,False
OBSERVED,OBSERVED,RAINY,R95p,6,7,8,158.7277777777778,221.78452380952382,219.703125,-60.97534722222221,2.0813988095238187,-27.753518399987353,0.9473687775373332,15.0,0.2823842823842824,25.0,0.778865578865579,16.0,0.5337995337995338,False
OBSERVED,OBSERVED,RAINY,R99p,6,7,8,38.67777777777778,82.09285714285714,74.70416666666667,-36.02638888888889,7.388690476190476,-48.22540762637812,9.890600224695824,13.0,0.18115218115218118,26.0,0.8665112665112666,12.0,0.23426573426573427,False
OBSERVED,OBSERVED,RAINY,CWD,6,7,8,29.944444444444443,32.54761904761905,31.71875,-1.7743055555555571,0.828869047619051,-5.593869731800771,2.61318320431622,23.0,0.9497169497169498,28.0,1.0,17.0,0.6282051282051282,False
OBSERVED,OBSERVED,RAINY,CDD,6,7,8,11.041666666666666,9.928571428571429,9.71875,1.322916666666666,0.20982142857142883,13.612004287245439,2.158934313275152,33.0,0.2823842823842824,26.0,0.8618197846191236,31.0,0.1741431302176989,False
OBSERVED,OBSERVED,HOT_DRY,PRCPTOT,8,12,8,165.28020833333335,263.3965277777778,240.43125,-75.15104166666666,22.9652777777778,-31.25676952004644,9.551702525265663,16.0,0.10489510489510488,61.0,0.33466568802182495,16.0,0.015049240840804003,False
OBSERVED,OBSERVED,HOT_DRY,Rx1day,8,12,8,41.953125,45.73541666666667,51.5875,-9.634374999999999,-5.852083333333326,-18.675793554640173,-11.343994830789098,25.0,0.5053613053613053,41.0,0.6238787012780821,43.0,0.7344923394458999,False
OBSERVED,OBSERVED,HOT_DRY,Rx5day,8,12,8,58.443749999999994,81.45277777777777,86.43437499999999,-27.990624999999994,-4.98159722222222,-32.383672583969044,-5.763444488633394,18.0,0.1605283605283605,49.0,0.9699293482575216,21.0,0.038707628800508063,False
OBSERVED,OBSERVED,HOT_DRY,SDII,8,12,8,10.021395692558395,10.723431792172113,12.079247238169827,-2.057851545611433,-1.355815445997715,-17.03625652357477,-11.224337239438272,19.0,0.19487179487179485,38.0,0.4726680955783123,39.0,0.5208065412399778,False
OBSERVED,OBSERVED,HOT_DRY,R95p,8,12,8,46.19895833333334,76.31944444444444,88.21354166666667,-42.014583333333334,-11.894097222222229,-47.62826946920942,-13.483300860049996,21.0,0.2786324786324786,47.0,0.9699293482575216,31.0,0.2082876875446535,False
