episode_id,phase,start_center_month,end_center_month,n_consecutive_overlapping_seasons,index_mean_c,index_min_c,index_max_c,threshold_c,persistence_seasons,source
LN_01,LA_NINA,1950-01,1951-01,13,-0.8692307692307691,-1.3,-0.6,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_01,EL_NINO,1951-06,1952-01,8,0.7875,0.5,1.0,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_02,EL_NINO,1953-02,1953-12,11,0.6272727272727272,0.5,0.8,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_02,LA_NINA,1954-05,1954-10,6,-0.6166666666666667,-0.8,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_03,LA_NINA,1955-01,1956-08,20,-0.82,-1.6,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_03,EL_NINO,1957-04,1958-06,15,1.0533333333333332,0.5,1.7,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_04,EL_NINO,1963-06,1964-02,9,0.9222222222222223,0.5,1.2,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_04,LA_NINA,1964-05,1965-01,9,-0.6888888888888888,-0.8,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_05,EL_NINO,1965-05,1966-03,11,1.2181818181818183,0.5,1.8,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_06,EL_NINO,1968-10,1969-06,9,0.7444444444444444,0.5,1.0,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_07,EL_NINO,1969-09,1970-01,5,0.6599999999999999,0.5,0.8,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_05,LA_NINA,1970-07,1972-01,19,-0.8210526315789475,-1.4,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_08,EL_NINO,1972-05,1973-03,11,1.2363636363636363,0.5,1.8,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_06,LA_NINA,1973-05,1974-07,15,-1.1800000000000002,-2.0,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_07,LA_NINA,1974-09,1976-03,19,-0.9473684210526317,-1.6,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_09,EL_NINO,1976-09,1977-02,6,0.7333333333333334,0.6,0.8,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_10,EL_NINO,1977-09,1978-02,6,0.6666666666666666,0.5,0.8,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_11,EL_NINO,1979-10,1980-02,5,0.54,0.5,0.6,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_12,EL_NINO,1982-05,1983-06,14,1.35,0.6,2.1,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_08,LA_NINA,1983-10,1984-02,5,-0.76,-1.0,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_09,LA_NINA,1984-10,1985-06,9,-0.8333333333333334,-1.1,-0.6,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_13,EL_NINO,1986-08,1988-01,18,1.0611111111111111,0.5,1.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_10,LA_NINA,1988-05,1989-05,13,-1.276923076923077,-1.8,-0.6,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_14,EL_NINO,1991-05,1992-06,14,1.0142857142857142,0.5,1.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_15,EL_NINO,1994-09,1995-03,7,0.7428571428571429,0.5,1.0,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_11,LA_NINA,1995-08,1996-03,8,-0.7999999999999999,-1.0,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_16,EL_NINO,1997-05,1998-04,12,1.708333333333333,0.7,2.4,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_12,LA_NINA,1998-07,2000-07,25,-1.016,-1.5,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_13,LA_NINA,2000-10,2001-02,5,-0.68,-0.8,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_17,EL_NINO,2002-06,2003-02,9,0.8111111111111111,0.5,1.2,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_18,EL_NINO,2004-08,2005-02,7,0.6,0.5,0.7,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_14,LA_NINA,2005-11,2006-03,5,-0.74,-0.9,-0.6,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_19,EL_NINO,2006-09,2007-01,5,0.72,0.5,0.9,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_15,LA_NINA,2007-07,2008-06,12,-1.1833333333333333,-1.8,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_16,LA_NINA,2008-11,2009-03,5,-0.74,-0.9,-0.6,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_20,EL_NINO,2009-07,2010-03,9,1.011111111111111,0.5,1.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_17,LA_NINA,2010-06,2011-05,12,-1.1083333333333332,-1.6,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_18,LA_NINA,2011-08,2012-02,7,-0.7714285714285715,-1.0,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_21,EL_NINO,2014-10,2016-05,20,1.3900000000000001,0.5,2.6,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_19,LA_NINA,2017-11,2018-03,5,-0.6599999999999999,-0.8,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_22,EL_NINO,2018-09,2019-06,10,0.8300000000000001,0.5,1.1,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_23,EL_NINO,2019-10,2020-03,6,0.6666666666666666,0.5,0.8,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_20,LA_NINA,2020-09,2021-04,8,-0.8999999999999999,-1.1,-0.6,0.5,5,NOAA_CPC_ONI_ERSSTv6
LN_21,LA_NINA,2021-08,2023-01,18,-0.7555555555555555,-0.9,-0.5,0.5,5,NOAA_CPC_ONI_ERSSTv6
EN_24,EL_NINO,2023-05,2024-04,12,1.325,0.5,2.0,0.5,5,NOAA_CPC_ONI_ERSSTv6
