figure,source_file,png,vector_pdf,tiff,pixels,width_mm_at_600dpi,column_fit,resampled,caption
Figure 1,Paper2_Figure_01_study_area.png,Figure_01.png,none,Figure_01_1200dpi.tif,3047×2146,129.0,at target,True,"Location of Uttaradit Province in Thailand (inset) and the 13 rain gauges used in this study, over terrain elevation."
Figure 2,Paper2_Figure_03_validation_methods.png,Figure_02.png,Figure_02.pdf,Figure_02_1200dpi.tif,3047×1695,129.0,at target,True,"Mean absolute bias of raw and bias-corrected daily precipitation against gauge observations over the independent validation period 2003-2014, using parameters fitted on 1981-2002 and frozen, averaged across 13 gauges and 7 climate models. Indices to the right of the dashed rule, on the shaded background, are sequence-dependent: quantile mapping does not reorder days, so it does not reconstruct them. The calibration-period values are given in Supplementary Table S2."
Figure 3,Paper2_Figure_04_signal_bulk_quantile.png,Figure_03.png,Figure_03.pdf,Figure_03_1200dpi.tif,3047×3320,129.0,at target,True,"Signal-preservation error for 2021-2050 relative to the 1995-2014 baseline of the same model and method: (a) bulk statistics and (b) wet-day quantiles, each with the two scenarios side by side on a shared vertical scale. Bars are the ensemble median across the seven climate models and whiskers the inter-model interquartile range, a measure of spread and not a confidence interval; both follow Eq. (8). A value of zero means the raw model signal was reproduced exactly."
Figure 4,Paper2_Figure_05_signal_extremes.png,Figure_04.png,Figure_04.pdf,Figure_04_1200dpi.tif,3047×3321,129.0,at target,True,"As Figure 3, for derived extreme-rainfall indices: (a) daily and threshold-derived extremes and (b) tail-derived and sequence-dependent indices, using the construction types of Table 2. Indices on the shaded background, to the right of the dashed rule, are sequence-dependent: a marginal transformation cannot reconstruct the day ordering on which they are defined. The same marking is used in Figures 2 and 5."
Figure 5,Paper2_Figure_06_synthesis.png,Figure_05.png,Figure_05.pdf,Figure_05_1200dpi.tif,3047×3256,129.0,at target,True,"Signal-preservation error for every index and method, with (a) SSP2-4.5 and (b) SSP5-8.5 on a shared vertical scale. Values are those of Tables 1 and 2. Symbols are ensemble medians and bars the inter-model interquartile range. Indices to the right of the dashed rule, on the shaded background, are sequence-dependent, marked as in Figures 2 and 4."
