Station_ID,Metric,Empirical_Mean,Bootstrap_Mean,CI_95_Lower,CI_95_Upper
353201,Freq_D,0.7982085673179561,0.7975682461595581,0.7839095929827818,0.8092588295354342
353201,Freq_R,0.15412818489812968,0.15442098668028031,0.1447974195943751,0.16420267322597112
354201,Freq_D,0.7908293497934747,0.7906861744094306,0.7770443681254932,0.8046166519701119
354201,Freq_R,0.16364227038566853,0.16403346173481226,0.1532916415278229,0.175849306167912
356201,Freq_D,0.7694235588972431,0.7696571057272812,0.7538719483894923,0.7849264364615242
356201,Freq_R,0.1813793743618305,0.18168314304279215,0.16931100900399146,0.19461152882205512
357201,Freq_D,0.7305482290881689,0.7300336755840241,0.7116027694046723,0.7480760173323285
357201,Freq_R,0.22287113790504898,0.2233784382064808,0.20789139035418236,0.24058261115297663
381201,Freq_D,0.8191246918747965,0.8189942328263802,0.80731012511046,0.8310787870331612
381201,Freq_R,0.1422259429793963,0.14236277382447327,0.1324112831961304,0.1524115157434538
403201,Freq_D,0.8276790272427716,0.8272605467118392,0.8168144057177333,0.8389114493897062
403201,Freq_R,0.13463591219195248,0.1348726040748132,0.12563233860862302,0.14429154870747668
405201,Freq_D,0.8032025772219064,0.8030104225885919,0.7886097688080349,0.8150973564525299
405201,Freq_R,0.15790221716884595,0.15831021413682014,0.14738487777146106,0.16856405154443813
407501,Freq_D,0.7823826982874647,0.7820571309230983,0.7676231029841741,0.7969554926439876
407501,Freq_R,0.17543045435559473,0.17510256648257297,0.16317584814591357,0.18805518169582772
431201,Freq_D,0.8284108851119161,0.8283659329432526,0.8174514720906474,0.8391439119531904
431201,Freq_R,0.1310485743475434,0.1312358595709111,0.12259566267298226,0.14001114516578433
432201,Freq_D,0.7954239569313594,0.7947642827307745,0.7820566668213673,0.8078618833248248
432201,Freq_R,0.16081124982596184,0.1615241564951037,0.15157562537708266,0.17269225414210795
