source_type,model,season_type,variable,n_el_nino,n_la_nina,n_neutral,mean_el_nino,mean_la_nina,mean_neutral,anom_el_nino,anom_la_nina,pct_change_el_nino,pct_change_la_nina,mwu_stat_el_vs_la,p_val_el_vs_la,diagnostic_only
OBSERVED,OBSERVED,RAINY,PRCPTOT,6,7,8,818.9541666666669,915.3559523809524,896.2791666666666,-77.3249999999997,19.076785714285847,-8.627334303393162,2.1284423898007057,12.0,0.2342657342657342,False
OBSERVED,OBSERVED,RAINY,Rx1day,6,7,8,54.7625,68.58214285714286,67.85416666666667,-13.091666666666676,0.7279761904761841,-19.29382867669636,1.072854072547032,12.5,0.2524452516545861,False
OBSERVED,OBSERVED,RAINY,Rx5day,6,7,8,100.85972222222222,136.0988095238095,118.31041666666668,-17.45069444444445,17.78839285714284,-14.749922226722315,15.035356444784313,12.0,0.2342657342657342,False
OBSERVED,OBSERVED,RAINY,SDII,6,7,8,9.103141770587564,10.349498448088298,9.85055142356731,-0.747409652979746,0.4989470245209872,-7.587490495116635,5.065168466886669,11.0,0.1806526806526806,False
OBSERVED,OBSERVED,RAINY,R95p,6,7,8,158.7277777777778,221.78452380952385,219.703125,-60.97534722222221,2.0813988095238187,-27.753518399987357,0.9473687775373332,16.0,0.5337995337995338,False
OBSERVED,OBSERVED,RAINY,R99p,6,7,8,38.67777777777778,82.09285714285714,74.70416666666667,-36.02638888888889,7.388690476190476,-48.22540762637812,9.890600224695824,12.0,0.2342657342657342,False
OBSERVED,OBSERVED,RAINY,CWD,6,7,8,29.944444444444443,32.54761904761905,31.71875,-1.7743055555555571,0.828869047619051,-5.593869731800771,2.61318320431622,17.0,0.6282051282051282,False
OBSERVED,OBSERVED,RAINY,CDD,6,7,8,11.041666666666666,9.928571428571429,9.71875,1.322916666666666,0.2098214285714288,13.61200428724544,2.158934313275152,31.0,0.1741431302176989,False
OBSERVED,OBSERVED,HOT_DRY,PRCPTOT,8,12,8,165.28020833333335,263.3965277777778,240.43125,-75.15104166666666,22.9652777777778,-31.25676952004644,9.551702525265664,16.0,0.015049240840804,False
OBSERVED,OBSERVED,HOT_DRY,Rx1day,8,12,8,41.953125,45.73541666666667,51.5875,-9.634375,-5.852083333333326,-18.675793554640173,-11.343994830789098,43.0,0.7344923394458999,False
OBSERVED,OBSERVED,HOT_DRY,Rx5day,8,12,8,58.44375,81.45277777777777,86.43437499999999,-27.990624999999994,-4.98159722222222,-32.383672583969044,-5.763444488633394,21.0,0.038707628800508,False
OBSERVED,OBSERVED,HOT_DRY,SDII,8,12,8,10.021395692558396,10.723431792172113,12.079247238169827,-2.057851545611433,-1.355815445997715,-17.03625652357477,-11.224337239438272,39.0,0.5208065412399778,False
OBSERVED,OBSERVED,HOT_DRY,R95p,8,12,8,46.19895833333334,76.31944444444444,88.21354166666667,-42.01458333333333,-11.894097222222229,-47.62826946920942,-13.483300860049996,31.0,0.2082876875446535,False
OBSERVED,OBSERVED,HOT_DRY,R99p,8,12,8,22.290625,30.98194444444444,41.15520833333334,-18.86458333333334,-10.1732638888889,-45.83765724265358,-24.71926227779327,37.5,0.4386743921253033,False
OBSERVED,OBSERVED,HOT_DRY,CWD,8,12,8,4.520833333333334,7.5902777777777795,6.322916666666667,-1.802083333333333,1.2673611111111125,-28.50082372322899,20.043931905546422,8.0,0.0022035389073017,False
OBSERVED,OBSERVED,HOT_DRY,CDD,8,12,8,62.34374999999999,58.958333333333336,66.36458333333333,-4.020833333333336,-7.406249999999993,-6.058703500235446,-11.159943493956982,51.0,0.8506311026434865,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,PRCPTOT,6,7,8,939.3436944444444,926.7478095238096,907.1805,32.16319444444446,19.567309523809516,3.5454018736562856,2.156936742336229,22.0,0.9452214452214452,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,Rx1day,6,7,8,51.76591666666666,52.30057142857142,49.340864583333335,2.425052083333327,2.959706845238088,4.914895804546717,5.998490035048628,14.0,0.3659673659673659,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,Rx5day,6,7,8,127.96805555555557,129.5132380952381,118.33307291666664,9.634982638888914,11.180165178571457,8.142256768464156,9.44804770382734,21.0,1.0,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,SDII,6,7,8,6.714446479618787,6.589545094896134,6.756665767349069,-0.0422192877302816,-0.1671206724529348,-0.624853872960569,-2.473419260436549,23.0,0.8356643356643356,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,R95p,6,7,8,305.70655555555555,290.8440119047619,262.84837500000003,42.85818055555552,27.99563690476185,16.3052864814384,10.650869310020216,24.0,0.7307692307692307,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,R99p,6,7,8,87.34126388888888,113.40082142857143,70.686375,16.654888888888877,42.71444642857144,23.561667844600716,60.42811847201308,17.0,0.6165905559145692,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,CWD,6,7,8,28.76388888888889,22.833333333333336,25.09375,3.670138888888889,-2.2604166666666643,14.625709146257094,-9.007887090078862,30.0,0.2342657342657342,False
RAW_CMIP6,ACCESS-ESM1-5,RAINY,CDD,6,7,8,8.138888888888888,7.05952380952381,9.875,-1.7361111111111125,-2.81547619047619,-17.58087201125177,-28.51115129596142,25.0,0.6282051282051282,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,PRCPTOT,8,12,8,186.21904166666667,210.09229861111112,224.79904166666668,-38.58000000000001,-14.706743055555563,-17.161994870603877,-6.542173376950071,36.0,0.3837421608319441,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx1day,8,12,8,10.034958333333332,12.127104166666667,9.950416666666666,0.0845416666666665,2.1766875000000017,0.8496294125036625,21.87534022863366,43.0,0.7344923394458999,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,Rx5day,8,12,8,25.912947916666667,27.92493055555555,31.423625,-5.510677083333334,-3.4986944444444497,-17.53673258044969,-11.1339619297406,46.0,0.910105580693816,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,SDII,8,12,8,1.9873766486896087,2.0636752255693502,2.1756159352582465,-0.1882392865686373,-0.1119407096888962,-8.6522296292288,-5.145242221973743,44.0,0.7920774787647853,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,R95p,8,12,8,0.0,4.724083333333334,0.0,0.0,4.724083333333334,,,36.0,0.1535197702115356,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,R99p,8,12,8,0.0,0.0,0.0,0.0,0.0,,,48.0,1.0,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,CWD,8,12,8,9.989583333333332,9.743055555555555,12.229166666666668,-2.239583333333336,-2.4861111111111125,-18.313458262350952,-20.329358319136865,49.5,0.9384797984036732,False
RAW_CMIP6,ACCESS-ESM1-5,HOT_DRY,CDD,8,12,8,17.229166666666668,13.90277777777778,13.40625,3.822916666666668,0.4965277777777785,28.51592851592852,3.70370370370371,69.0,0.1152655394141462,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,PRCPTOT,6,7,8,823.5054166666665,848.3209523809522,774.7752083333332,48.73020833333328,73.545744047619,6.2895931373643,9.492526768613024,19.0,0.8356643356643356,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,Rx1day,6,7,8,51.09069444444446,50.676904761904765,39.701875,11.388819444444458,10.975029761904764,28.685847820649425,27.64360565314551,18.0,0.7307692307692307,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,Rx5day,6,7,8,129.7205555555555,130.5127380952381,108.50739583333332,21.2131597222222,22.00534226190476,19.549966672138623,20.28003906360892,19.0,0.8356643356643356,False
QDM_CMIP6,ACCESS-ESM1-5,RAINY,SDII,6,7,8,8.467458808656815,9.095960946942824,8.379261719878881,0.0881970887779335,0.716699227063943,1.052563957618075,8.553250286521692,14.0,0.3659673659673659,False
