season_type,variable,model,p_val_el_vs_la,diagnostic_only
HOT_DRY,Rx1day,CanESM5,0.1568627450980392,False
HOT_DRY,Rx5day,CanESM5,0.3053901722632373,False
HOT_DRY,SDII,CanESM5,0.0690958164642375,False
HOT_DRY,R95p,CanESM5,0.2379772961816305,False
HOT_DRY,R99p,CanESM5,0.2099336787959307,False
HOT_DRY,CWD,CanESM5,0.90773026423876,False
HOT_DRY,CDD,CanESM5,0.0447013991634671,False
RAINY,PRCPTOT,EC-Earth3,0.9452214452214452,False
RAINY,Rx1day,EC-Earth3,0.5337995337995338,False
RAINY,Rx5day,EC-Earth3,0.8356643356643356,False
RAINY,SDII,EC-Earth3,0.6282051282051282,False
RAINY,R95p,EC-Earth3,0.6282051282051282,False
RAINY,R99p,EC-Earth3,0.2342657342657342,False
RAINY,CWD,EC-Earth3,0.7307692307692307,False
RAINY,CDD,EC-Earth3,0.6282051282051282,False
HOT_DRY,PRCPTOT,EC-Earth3,0.3837421608319441,False
HOT_DRY,Rx1day,EC-Earth3,0.7920774787647853,False
HOT_DRY,Rx5day,EC-Earth3,0.9699293482575216,False
HOT_DRY,SDII,EC-Earth3,0.7920774787647853,False
HOT_DRY,R95p,EC-Earth3,0.7855571560139146,False
HOT_DRY,R99p,EC-Earth3,0.8209526695365974,False
HOT_DRY,CWD,EC-Earth3,0.6158964889935725,False
HOT_DRY,CDD,EC-Earth3,0.082463866341761,False
RAINY,PRCPTOT,EC-Earth3,0.5337995337995338,False
RAINY,Rx1day,EC-Earth3,0.2948717948717949,False
RAINY,Rx5day,EC-Earth3,0.7307692307692307,False
RAINY,SDII,EC-Earth3,1.0,False
RAINY,R95p,EC-Earth3,1.0,False
RAINY,R99p,EC-Earth3,0.6282051282051282,False
RAINY,CWD,EC-Earth3,0.6165905559145692,False
RAINY,CDD,EC-Earth3,0.0734265734265734,False
HOT_DRY,PRCPTOT,EC-Earth3,0.2082876875446535,False
HOT_DRY,Rx1day,EC-Earth3,0.3837421608319441,False
HOT_DRY,Rx5day,EC-Earth3,0.6784313725490196,False
HOT_DRY,SDII,EC-Earth3,0.2379772961816305,False
HOT_DRY,R95p,EC-Earth3,0.2702706993728666,False
HOT_DRY,R99p,EC-Earth3,0.4539317823519836,False
HOT_DRY,CWD,EC-Earth3,0.7869801429868976,False
HOT_DRY,CDD,EC-Earth3,0.0639774891491002,False
RAINY,PRCPTOT,MIROC6,0.9452214452214452,False
RAINY,Rx1day,MIROC6,1.0,False
RAINY,Rx5day,MIROC6,1.0,False
RAINY,SDII,MIROC6,0.7307692307692307,False
RAINY,R95p,MIROC6,0.3659673659673659,False
RAINY,R99p,MIROC6,0.8293986370624102,False
RAINY,CWD,MIROC6,1.0,False
RAINY,CDD,MIROC6,0.7202474654940236,False
HOT_DRY,PRCPTOT,MIROC6,0.5208065412399778,False
HOT_DRY,Rx1day,MIROC6,0.3053901722632373,False
HOT_DRY,Rx5day,MIROC6,0.3837421608319441,False
HOT_DRY,SDII,MIROC6,0.3053901722632373,False
HOT_DRY,R95p,MIROC6,0.3942823566778916,False
HOT_DRY,R99p,MIROC6,0.509590923973197,False
HOT_DRY,CWD,MIROC6,0.6158964889935725,False
HOT_DRY,CDD,MIROC6,0.1813447646264983,False
RAINY,PRCPTOT,MIROC6,0.7307692307692307,False
RAINY,Rx1day,MIROC6,0.7307692307692307,False
RAINY,Rx5day,MIROC6,0.7307692307692307,False
RAINY,SDII,MIROC6,0.8356643356643356,False
RAINY,R95p,MIROC6,0.9452214452214452,False
RAINY,R99p,MIROC6,0.8356643356643356,False
RAINY,CWD,MIROC6,0.5337995337995338,False
RAINY,CDD,MIROC6,0.5671762440874444,False
HOT_DRY,PRCPTOT,MIROC6,0.5713582599031516,False
HOT_DRY,Rx1day,MIROC6,0.9699293482575216,False
HOT_DRY,Rx5day,MIROC6,0.6238787012780821,False
HOT_DRY,SDII,MIROC6,0.8506311026434865,False
HOT_DRY,R95p,MIROC6,0.9699293482575216,False
HOT_DRY,R99p,MIROC6,0.9034293146939671,False
HOT_DRY,CWD,MIROC6,0.4867973967615957,False
HOT_DRY,CDD,MIROC6,0.9699293482575216,False
