,phi,FDR_MK,FDR_MMK,FDR_PW,FDR_TFPW
0,0.0,0.0047,0.0,0.0018,0.0032
1,0.1,0.009100000000000002,0.0,0.0018,0.009300000000000001
2,0.2,0.018600000000000002,0.0,0.001,0.0207
3,0.3,0.036800000000000006,0.0,0.0014,0.0435
4,0.4,0.0658,0.0,0.0008,0.08560000000000001
5,0.5,0.11760000000000002,0.0,0.0005,0.1623
6,0.6,0.1698,0.0,0.0008,0.25959999999999994
7,0.7,0.27420000000000005,0.0,0.0014,0.4085
8,0.8,0.40279999999999994,0.0,0.0012,0.5645
