,Station,Year,Month,Monthly_mm
179,500001,1995,12,0.0
180,500001,1996,1,0.0
181,500001,1996,2,25.099999999999998
182,500001,1996,3,7.199999999999999
183,500001,1996,4,41.2
184,500001,1996,5,103.5
185,500001,1996,6,140.1
186,500001,1996,7,133.6
187,500001,1996,8,245.1
188,500001,1996,9,118.0
189,500001,1996,10,92.6
190,500001,1996,11,41.099999999999994
191,500001,1996,12,0.0
192,500001,1997,1,0.0
193,500001,1997,2,0.0
194,500001,1997,3,65.6
195,500001,1997,4,71.4
196,500001,1997,5,160.7
197,500001,1997,6,30.5
198,500001,1997,7,237.5
199,500001,1997,8,267.3
200,500001,1997,9,256.0
201,500001,1997,10,44.2
202,500001,1997,11,1.8
203,500001,1997,12,0.0
204,500001,1998,1,78.4
205,500001,1998,2,0.0
206,500001,1998,3,5.6000000000000005
207,500001,1998,4,84.5
208,500001,1998,5,188.7
209,500001,1998,6,144.2
210,500001,1998,7,123.6
211,500001,1998,8,189.6
212,500001,1998,9,307.5
213,500001,1998,10,48.2
214,500001,1998,11,30.0
215,500001,1998,12,0.0
216,500001,1999,1,21.7
217,500001,1999,2,27.8
218,500001,1999,3,17.5
219,500001,1999,4,222.7
220,500001,1999,5,200.0
221,500001,1999,6,175.2
222,500001,1999,7,50.8
223,500001,1999,8,191.9
224,500001,1999,9,306.40000000000003
225,500001,1999,10,247.1
226,500001,1999,11,22.9
227,500001,1999,12,28.6
228,500001,2000,1,0.1
229,500001,2000,2,88.7
230,500001,2000,3,21.7
231,500001,2000,4,99.0
232,500001,2000,5,197.7
233,500001,2000,6,134.4
234,500001,2000,7,119.3
235,500001,2000,8,117.19999999999999
236,500001,2000,9,67.7
237,500001,2000,10,96.7
238,500001,2000,11,0.0
239,500001,2000,12,0.0
240,500001,2001,1,0.9
241,500001,2001,2,0.0
242,500001,2001,3,178.5
243,500001,2001,4,1.8
244,500001,2001,5,280.8
245,500001,2001,6,96.2
246,500001,2001,7,194.6
247,500001,2001,8,413.8
248,500001,2001,9,144.8
249,500001,2001,10,222.3
250,500001,2001,11,16.2
251,500001,2001,12,14.9
252,500001,2002,1,7.0
253,500001,2002,2,4.2
254,500001,2002,3,11.9
255,500001,2002,4,34.9
256,500001,2002,5,269.2
257,500001,2002,6,147.1
258,500001,2002,7,124.7
259,500001,2002,8,135.2
260,500001,2002,9,235.8
261,500001,2002,10,15.5
262,500001,2002,11,158.9
263,500001,2002,12,43.6
264,500001,2003,1,6.699999999999999
265,500001,2003,2,0.0
266,500001,2003,3,70.1
267,500001,2003,4,41.0
268,500001,2003,5,36.1
269,500001,2003,6,135.9
270,500001,2003,7,80.9
271,500001,2003,8,188.7
272,500001,2003,9,368.2
273,500001,2003,10,47.2
274,500001,2003,11,12.6
275,500001,2003,12,0.0
276,500001,2004,1,7.8999999999999995
277,500001,2004,2,1.9
278,500001,2004,3,0.0
279,500001,2004,4,108.2
280,500001,2004,5,255.3
281,500001,2004,6,116.9
282,500001,2004,7,104.2
283,500001,2004,8,98.3
284,500001,2004,9,256.9
285,500001,2004,10,0.0
286,500001,2004,11,17.6
287,500001,2004,12,0.0
288,500001,2005,1,2.1
289,500001,2005,2,0.1
290,500001,2005,3,37.8
291,500001,2005,4,79.60000000000001
292,500001,2005,5,78.2
293,500001,2005,6,39.7
294,500001,2005,7,40.1
295,500001,2005,8,200.4
296,500001,2005,9,299.0
297,500001,2005,10,147.1
298,500001,2005,11,37.5
299,500001,2005,12,4.1
300,500001,2006,1,0.0
301,500001,2006,2,2.7
302,500001,2006,3,20.1
303,500001,2006,4,130.5
304,500001,2006,5,180.6
305,500001,2006,6,130.8
306,500001,2006,7,193.7
307,500001,2006,8,284.8
308,500001,2006,9,218.1
309,500001,2006,10,118.3
310,500001,2006,11,9.1
311,500001,2006,12,1.3
312,500001,2007,1,5.0
313,500001,2007,2,0.0
314,500001,2007,3,3.0
315,500001,2007,4,108.9
316,500001,2007,5,393.4
317,500001,2007,6,104.3
318,500001,2007,7,85.5
319,500001,2007,8,101.8
320,500001,2007,9,105.4
321,500001,2007,10,157.2
322,500001,2007,11,112.19999999999999
323,500001,2007,12,0.0
324,500001,2008,1,0.0
325,500001,2008,2,31.5
326,500001,2008,3,37.5
327,500001,2008,4,58.2
328,500001,2008,5,112.0
329,500001,2008,6,22.8
330,500001,2008,7,84.9
331,500001,2008,8,11.6
332,500001,2008,9,105.60000000000001
333,500001,2008,10,144.4
334,500001,2008,11,57.5
335,500001,2008,12,0.0
336,500001,2009,1,0.0
337,500001,2009,2,0.0
338,500001,2009,3,0.2
339,500001,2009,4,41.400000000000006
340,500001,2009,5,218.4
341,500001,2009,6,66.3
342,500001,2009,7,117.8
343,500001,2009,8,51.6
344,500001,2009,9,96.5
345,500001,2009,10,95.9
346,500001,2009,11,8.3
347,500001,2009,12,0.0
348,500001,2010,1,16.7
349,500001,2010,2,4.7
350,500001,2010,3,78.6
351,500001,2010,4,0.7
352,500001,2010,5,59.4
353,500001,2010,6,77.0
354,500001,2010,7,65.7
355,500001,2010,8,133.4
356,500001,2010,9,143.8
357,500001,2010,10,225.4
358,500001,2010,11,0.0
359,500001,2010,12,0.2
360,500001,2011,1,0.0
361,500001,2011,2,5.0
362,500001,2011,3,89.2
363,500001,2011,4,5.2
364,500001,2011,5,64.9
365,500001,2011,6,61.9
366,500001,2011,7,201.6
367,500001,2011,8,91.2
368,500001,2011,9,33.8
369,500001,2011,10,132.9
370,500001,2011,11,62.0
371,500001,2011,12,0.0
372,500001,2012,1,31.1
373,500001,2012,2,6.6000000000000005
374,500001,2012,3,35.5
375,500001,2012,4,30.5
376,500001,2012,5,293.5
377,500001,2012,6,29.8
378,500001,2012,7,161.4
379,500001,2012,8,19.1
380,500001,2012,9,66.8
381,500001,2012,10,110.0
382,500001,2012,11,178.9
383,500001,2012,12,0.0
384,500001,2013,1,160.7
385,500001,2013,2,0.0
386,500001,2013,3,0.0
387,500001,2013,4,0.0
388,500001,2013,5,114.7
389,500001,2013,6,223.4
390,500001,2013,7,149.5
391,500001,2013,8,147.4
392,500001,2013,9,272.5
393,500001,2013,10,324.0
394,500001,2013,11,87.3
395,500001,2013,12,0.0
396,500001,2014,1,1.6
397,500001,2014,2,13.5
398,500001,2014,3,0.0
399,500001,2014,4,9.7
