model,station,method,period,scenario,y0,y1,n_days,wet_day_pct,PRCPTOT,SDII,mean_daily,sd_daily,sd_wet,q50,q90,q95,q99,Rx1day,Rx5day,R10mm,R20mm,R50mm,CDD,CWD,R95p,R99p,n_days_obs,wet_day_pct_obs,PRCPTOT_obs,SDII_obs,mean_daily_obs,sd_daily_obs,sd_wet_obs,q50_obs,q90_obs,q95_obs,q99_obs,Rx1day_obs,Rx5day_obs,R10mm_obs,R20mm_obs,R50mm_obs,CDD_obs,CWD_obs,R95p_obs,R99p_obs,wet_day_pct_bias_pct,PRCPTOT_bias_pct,SDII_bias_pct,mean_daily_bias_pct,sd_daily_bias_pct,sd_wet_bias_pct,q50_bias_pct,q90_bias_pct,q95_bias_pct,q99_bias_pct,Rx1day_bias_pct,Rx5day_bias_pct,R10mm_bias_pct,R20mm_bias_pct,R50mm_bias_pct,CDD_bias_pct,CWD_bias_pct,R95p_bias_pct,R99p_bias_pct,homogeneous_gauge
ACCESS-ESM1-5,351001,raw,calibration,historical,1981,2002,8035,41.692594897324206,552.6625,3.6294253731343287,1.739469446172993,4.85897718828889,7.0983320286378335,2.034,6.3691,10.106999999999994,24.85594999999973,44.39990909090909,112.51986363636364,7.772727272727272,2.3181818181818183,0.5909090909090909,21.40909090909091,13.590909090909092,59.89927272727273,44.100545454545454,7974,21.41961374467018,988.0318181818184,12.726405152224824,2.7551542513167795,10.116570181828273,18.744549828897224,6.2,30.43,43.3,74.88600000000002,105.49545454545456,180.99090909090907,28.63636363636364,15.772727272727272,2.909090909090909,58.63636363636363,8.454545454545455,275.19545454545454,106.81363636363636,94.6468101354,-44.06430138889528,-71.4811423200696,-36.864898023708,-51.97011337877386,-62.13122164345175,-67.19354838709678,-79.06966809069996,-76.65819861431872,-66.80828192185493,-57.91296479813866,-37.831206991812735,-72.85714285714286,-85.30259365994236,-79.6875,-63.48837209302325,60.75268817204301,-78.2339163900038,-58.71262606919443,True
ACCESS-ESM1-5,351001,qm,calibration,historical,1981,2002,8035,21.418792781580585,995.7119578997408,12.72845036246037,2.7262804074417297,10.123849865325766,18.7442900321336,6.2,30.430302149912837,43.3,75.21457292271937,84.72447572764233,238.10001980877885,28.818181818181817,15.909090909090908,2.9545454545454546,43.90909090909091,9.136363636363637,278.03068644022994,107.18928080925426,7974,21.41961374467018,988.0318181818184,12.726405152224824,2.7551542513167795,10.116570181828273,18.744549828897224,6.2,30.43,43.3,74.88600000000002,105.49545454545456,180.99090909090907,28.63636363636364,15.772727272727272,2.909090909090909,58.63636363636363,8.454545454545455,275.19545454545454,106.81363636363636,-0.0038327632765976,0.7773170434992245,0.016070604472212,-1.0479937325196946,0.0719580190386218,-0.0013859856117828,0.0,0.0009929343175723,0.0,0.4387641518032016,-19.688979878145062,31.553579682383223,0.6349206349206281,0.8645533141210282,1.562499999999999,-25.116279069767444,8.064516129032254,1.0302611645451811,0.3516821057744577,True
ACCESS-ESM1-5,351001,detqm,calibration,historical,1981,2002,8035,20.784069695084007,993.3937760815596,13.086624595086413,2.726280407441731,10.123849865325768,18.914357722824377,6.499999999999998,30.93902672864616,43.551169378268455,76.26649912841359,84.72447572764231,238.1000198087789,28.5,15.909090909090908,2.9545454545454546,44.09090909090909,9.090909090909092,278.03068644022994,107.18928080925424,7974,21.41961374467018,988.0318181818184,12.726405152224824,2.7551542513167795,10.116570181828273,18.744549828897224,6.2,30.43,43.3,74.88600000000002,105.49545454545456,180.99090909090907,28.63636363636364,15.772727272727272,2.909090909090909,58.63636363636363,8.454545454545455,275.19545454545454,106.81363636363636,-2.9671125593677643,0.5426908122866273,2.830488567296749,-1.0479937325196462,0.0719580190386393,0.9059054257220502,4.838709677419323,1.6727792594353026,0.5800678481950519,1.843467575265818,-19.68897987814508,31.55357968238328,-0.4761904761904773,0.8645533141210282,1.562499999999999,-24.80620155038759,7.526881720430111,1.0302611645451811,0.3516821057744444,True
ACCESS-ESM1-5,351001,qdm,calibration,historical,1981,2002,8035,21.418792781580585,995.5880473825996,12.72686638141615,2.725941137824168,10.123632053399726,18.74458621264203,6.2,30.430302149912837,43.3,75.21457292271937,84.72447572764233,238.0927803602553,28.818181818181817,15.909090909090908,2.9545454545454546,43.90909090909091,9.136363636363637,278.03068644022994,107.18928080925426,7974,21.41961374467018,988.0318181818184,12.726405152224824,2.7551542513167795,10.116570181828273,18.744549828897224,6.2,30.43,43.3,74.88600000000002,105.49545454545456,180.99090909090907,28.63636363636364,15.772727272727272,2.909090909090909,58.63636363636363,8.454545454545455,275.19545454545454,106.81363636363636,-0.0038327632765976,0.764775897064374,0.0036241906949225,-1.0603077297269046,0.0698049975884118,0.0001941030600276,0.0,0.0009929343175723,0.0,0.4387641518032016,-19.688979878145062,31.54957978616747,0.6349206349206281,0.8645533141210282,1.562499999999999,-25.116279069767444,8.064516129032254,1.0302611645451811,0.3516821057744577,True
ACCESS-ESM1-5,351002,raw,calibration,historical,1981,2002,8035,41.692594897324206,552.6625,3.6294253731343287,1.739469446172993,4.85897718828889,7.0983320286378335,2.034,6.3691,10.106999999999994,24.85594999999973,44.39990909090909,112.51986363636364,7.772727272727272,2.3181818181818183,0.5909090909090909,21.40909090909091,13.590909090909092,61.84586363636363,47.49572727272727,7699,23.36667099623328,989.481818181818,12.100389105058364,2.847629562280816,8.743061564363654,14.678121364451195,6.4,30.26000000000001,41.33999999999996,72.60799999999999,71.08181818181818,128.26363636363635,30.59090909090909,15.454545454545457,2.636363636363636,67.68181818181819,13.227272727272728,244.29090909090905,69.2181818181818,78.42761985241748,-44.14627031595968,-70.00571352191388,-38.91517811116694,-44.42476296754133,-51.64005084581725,-68.21875000000001,-78.95208195637807,-75.55152394775037,-65.76692650947591,-37.5368973014452,-12.274541073073914,-74.59138187221396,-85.0,-77.58620689655173,-68.36803223640027,2.749140893470801,-74.68351816016671,-31.382584712371937,True
ACCESS-ESM1-5,351002,qm,calibration,historical,1981,2002,8035,23.34785314250156,1032.0177662822252,12.102553762371512,2.8256864789307974,8.74669900352371,14.67902790969579,6.4,30.291231343283588,41.35648320895525,72.4214085820894,62.65670793758493,205.1635685210313,31.863636363636363,16.09090909090909,2.727272727272727,39.0,9.363636363636363,255.0615078018997,72.97471166892818,7699,23.36667099623328,989.481818181818,12.100389105058364,2.847629562280816,8.743061564363654,14.678121364451195,6.4,30.26000000000001,41.33999999999996,72.60799999999999,71.08181818181818,128.26363636363635,30.59090909090909,15.454545454545457,2.636363636363636,67.68181818181819,13.227272727272728,244.29090909090905,69.2181818181818,-0.080532882646208,4.2988104802741445,0.0178891545912497,-0.770573660305849,0.041603723515835,0.0061761667047557,0.0,0.1032099910230528,0.0398723003272692,-0.2569846544603782,-11.852693782653242,59.95458598988904,4.160475482912335,4.11764705882352,3.448275862068962,-42.37743451981196,-29.209621993127147,4.408923259187917,5.427085416103249,True
ACCESS-ESM1-5,351002,detqm,calibration,historical,1981,2002,8035,23.01182327317984,1030.790493554953,12.264678668582455,2.8256864789307983,8.74669900352371,14.723951378704596,6.499999999999999,30.5,41.72182835820896,72.59504477611927,62.656707937584926,205.1635685210313,31.272727272727277,15.909090909090908,2.727272727272727,39.18181818181818,9.363636363636363,255.0615078018997,72.97471166892818,7699,23.36667099623328,989.481818181818,12.100389105058364,2.847629562280816,8.743061564363654,14.678121364451195,6.4,30.26000000000001,41.33999999999996,72.60799999999999,71.08181818181818,128.26363636363635,30.59090909090909,15.454545454545457,2.636363636363636,67.68181818181819,13.227272727272728,244.29090909090905,69.2181818181818,-1.5186062366806143,4.174778617866869,1.3577213269564448,-0.7705736603058178,0.041603723515835,0.3122335148719781,1.5624999999999805,0.7931262392596964,0.923629313519592,-0.017842694855558,-11.852693782653253,59.95458598988904,2.228826151560184,2.9411764705882266,3.448275862068962,-42.10879785090666,-29.209621993127147,4.408923259187917,5.427085416103249,True
ACCESS-ESM1-5,351002,qdm,calibration,historical,1981,2002,8035,23.34785314250156,1031.8815807327005,12.100956703688382,2.825313600014861,8.746362017678765,14.679177330372417,6.4,30.291231343283588,41.35648320895525,72.4214085820894,62.65670793758493,205.1634497964723,31.863636363636363,16.09090909090909,2.727272727272727,39.0,9.363636363636363,255.0615078018997,72.97471166892818,7699,23.36667099623328,989.481818181818,12.100389105058364,2.847629562280816,8.743061564363654,14.678121364451195,6.4,30.26000000000001,41.33999999999996,72.60799999999999,71.08181818181818,128.26363636363635,30.59090909090909,15.454545454545457,2.636363636363636,67.68181818181819,13.227272727272728,244.29090909090905,69.2181818181818,-0.080532882646208,4.285047160218887,0.0046907469263083,-0.7836680220471233,0.037749400376678,0.0071941489990585,0.0,0.1032099910230528,0.0398723003272692,-0.2569846544603782,-11.852693782653242,59.95449342697537,4.160475482912335,4.11764705882352,3.448275862068962,-42.37743451981196,-29.209621993127147,4.408923259187917,5.427085416103249,True
ACCESS-ESM1-5,351003,raw,calibration,historical,1981,2002,8035,28.52520224019913,356.1606818181818,3.4186452879581157,1.192926695706285,3.5170352169730825,6.019677735088192,1.9105,5.9857000000000005,9.97189999999997,26.84014000000024,31.21995454545455,83.00640909090909,5.227272727272728,1.681818181818182,0.3636363636363636,26.272727272727277,9.909090909090908,25.9365,11.318636363636363,7915,23.08275426405559,1326.0318181818182,15.967542419266556,3.7000126342387873,10.981539233742277,18.07936569686008,9.8,37.940000000000005,50.96999999999999,82.64800000000001,101.92272727272729,158.4409090909091,41.18181818181818,23.227272727272727,4.409090909090909,60.31818181818182,8.636363636363637,301.93181818181813,98.84090909090912,23.57798343249923,-73.14086457544212,-78.59003472047677,-67.75884804642813,-67.97320355450252,-66.70415413891621,-80.50510204081633,-84.22324723247232,-80.4357465175594,-67.52475558997165,-69.3689961200553,-47.61049430530453,-87.30684326710818,-92.75929549902152,-91.75257731958764,-56.44310474755086,14.736842105263143,-91.40981558148287,-88.54863186939528,False
ACCESS-ESM1-5,351003,qm,calibration,historical,1981,2002,8035,23.07405102675793,1346.01246690203,15.972100470250624,3.685410612550674,10.985067114294557,18.078792647405265,9.8,37.93206310679613,50.97065533980582,82.72540291262142,81.16033759929395,257.05767872903795,41.77272727272727,23.545454545454547,4.454545454545454,30.90909090909091,8.045454545454545,305.58633053839367,99.26340467784644,7915,23.08275426405559,1326.0318181818182,15.967542419266556,3.7000126342387873,10.981539233742277,18.07936569686008,9.8,37.940000000000005,50.96999999999999,82.64800000000001,101.92272727272729,158.4409090909091,41.18181818181818,23.227272727272727,4.409090909090909,60.31818181818182,8.636363636363637,301.93181818181813,98.84090909090912,-0.0377045009364785,1.5068000968188031,0.0285457264767816,-0.3946478872258793,0.0321255561464313,-0.0031696325215333,0.0,-0.0209195919975649,0.0012857363269347,0.0936537032008141,-20.37071635443666,62.241986746961445,1.4348785871964744,1.3698630136986385,1.0309278350515354,-48.75659382064808,-6.842105263157904,1.210376693182715,0.4274501224475318,False
